,Phonemes,No_Stress,Sonority,Type,Length,Prediction,Edit_Distance,Insertions,Deletions,Substitutions,Error_Indices
1539,"['ER', 'K', 'F']","['ER', 'K', 'F']",-1,VCC,3,"['ER', 'K', '<EOS>']",1,0,0,1,[3]
1540,"['K', 'F', 'AO']","['K', 'F', 'AO']",1,CCV,3,"['K', 'F', '<EOS>']",1,0,0,1,[3]
1541,"['AO', 'K', 'F']","['AO', 'K', 'F']",-1,VCC,3,"['AO', 'K', 'F']",0,0,0,0,[]
1542,"['K', 'F', 'UW']","['K', 'F', 'UW']",1,CCV,3,"['K', 'F', '<EOS>']",1,0,0,1,[3]
1543,"['UW', 'K', 'F']","['UW', 'K', 'F']",-1,VCC,3,"['UW', 'K', '<EOS>']",1,0,0,1,[3]
1544,"['K', 'F', 'IH']","['K', 'F', 'IH']",1,CCV,3,"['F', 'K', '<EOS>']",3,1,1,1,"[1, 2, 3]"
1545,"['IH', 'K', 'F']","['IH', 'K', 'F']",-1,VCC,3,"['IH', 'K', '<EOS>']",1,0,0,1,[3]
1546,"['K', 'F', 'EH']","['K', 'F', 'EH']",1,CCV,3,"['F', 'EH', '<EOS>']",2,1,1,0,"[1, 2, 3]"
1547,"['EH', 'K', 'F']","['EH', 'K', 'F']",-1,VCC,3,"['EH', 'K', '<EOS>']",1,0,0,1,[3]
1548,"['K', 'F', 'UH']","['K', 'F', 'UH']",1,CCV,3,"['K', 'UH', 'F']",2,1,1,0,"[2, 3]"
1549,"['UH', 'K', 'F']","['UH', 'K', 'F']",-1,VCC,3,"['UH', 'K', '<EOS>']",1,0,0,1,[3]
1550,"['K', 'F', 'IY']","['K', 'F', 'IY']",1,CCV,3,"['K', 'F', '<EOS>']",1,0,0,1,[3]
1551,"['IY', 'K', 'F']","['IY', 'K', 'F']",-1,VCC,3,"['K', 'F', '<EOS>']",2,1,1,0,"[1, 2, 3]"
1552,"['K', 'F', 'EY']","['K', 'F', 'EY']",1,CCV,3,"['F', 'EY', '<EOS>']",2,1,1,0,"[1, 2, 3]"
1553,"['EY', 'K', 'F']","['EY', 'K', 'F']",-1,VCC,3,"['AH', 'F', 'K']",3,1,1,1,"[1, 2, 3]"
1554,"['K', 'F', 'OW']","['K', 'F', 'OW']",1,CCV,3,"['F', 'OW', '<EOS>']",2,1,1,0,"[1, 2, 3]"
1555,"['OW', 'K', 'F']","['OW', 'K', 'F']",-1,VCC,3,"['OW', 'K', '<EOS>']",1,0,0,1,[3]
1556,"['K', 'F', 'AE']","['K', 'F', 'AE']",1,CCV,3,"['F', 'K', '<EOS>']",3,1,1,1,"[1, 2, 3]"
1557,"['AE', 'K', 'F']","['AE', 'K', 'F']",-1,VCC,3,"['AE', 'K', '<EOS>']",1,0,0,1,[3]
1558,"['K', 'F', 'AW']","['K', 'F', 'AW']",1,CCV,3,"['F', 'K', '<EOS>']",3,1,1,1,"[1, 2, 3]"
1559,"['AW', 'K', 'F']","['AW', 'K', 'F']",-1,VCC,3,"['AW', 'K', '<EOS>']",1,0,0,1,[3]
1560,"['K', 'TH', 'AH']","['K', 'TH', 'AH']",1,CCV,3,"['K', 'TH', '<EOS>']",1,0,0,1,[3]
1561,"['AH', 'K', 'TH']","['AH', 'K', 'TH']",-1,VCC,3,"['AH', 'K', 'TH']",0,0,0,0,[]
1562,"['K', 'TH', 'OY']","['K', 'TH', 'OY']",1,CCV,3,"['K', 'TH', '<EOS>']",1,0,0,1,[3]
1563,"['OY', 'K', 'TH']","['OY', 'K', 'TH']",-1,VCC,3,"['EH', 'TH', '<EOS>']",3,0,0,3,"[1, 2, 3]"
1564,"['K', 'TH', 'AA']","['K', 'TH', 'AA']",1,CCV,3,"['K', 'AA', '<EOS>']",2,0,0,2,"[2, 3]"
1565,"['AA', 'K', 'TH']","['AA', 'K', 'TH']",-1,VCC,3,"['AA', 'NG', '<EOS>']",2,0,0,2,"[2, 3]"
1566,"['K', 'TH', 'AY']","['K', 'TH', 'AY']",1,CCV,3,"['K', 'TH', '<EOS>']",1,0,0,1,[3]
1567,"['AY', 'K', 'TH']","['AY', 'K', 'TH']",-1,VCC,3,"['AY', 'K', '<EOS>']",1,0,0,1,[3]
1568,"['K', 'TH', 'ER']","['K', 'TH', 'ER']",1,CCV,3,"['K', 'TH', 'ER']",0,0,0,0,[]
1569,"['ER', 'K', 'TH']","['ER', 'K', 'TH']",-1,VCC,3,"['ER', 'K', '<EOS>']",1,0,0,1,[3]
1570,"['K', 'TH', 'AO']","['K', 'TH', 'AO']",1,CCV,3,"['K', 'AO', 'TH']",2,1,1,0,"[2, 3]"
1571,"['AO', 'K', 'TH']","['AO', 'K', 'TH']",-1,VCC,3,"['AO', 'K', 'TH']",0,0,0,0,[]
1572,"['K', 'TH', 'UW']","['K', 'TH', 'UW']",1,CCV,3,"['K', 'TH', '<EOS>']",1,0,0,1,[3]
1573,"['UW', 'K', 'TH']","['UW', 'K', 'TH']",-1,VCC,3,"['UW', 'K', 'TH']",0,0,0,0,[]
1574,"['K', 'TH', 'IH']","['K', 'TH', 'IH']",1,CCV,3,"['K', 'TH', '<EOS>']",1,0,0,1,[3]
1575,"['IH', 'K', 'TH']","['IH', 'K', 'TH']",-1,VCC,3,"['IH', 'K', 'TH']",0,0,0,0,[]
1576,"['K', 'TH', 'EH']","['K', 'TH', 'EH']",1,CCV,3,"['K', 'TH', '<EOS>']",1,0,0,1,[3]
1577,"['EH', 'K', 'TH']","['EH', 'K', 'TH']",-1,VCC,3,"['EH', 'K', 'TH']",0,0,0,0,[]
1578,"['K', 'TH', 'UH']","['K', 'TH', 'UH']",1,CCV,3,"['K', 'UH', 'TH']",2,1,1,0,"[2, 3]"
1579,"['UH', 'K', 'TH']","['UH', 'K', 'TH']",-1,VCC,3,"['UH', 'K', '<EOS>']",1,0,0,1,[3]
1580,"['K', 'TH', 'IY']","['K', 'TH', 'IY']",1,CCV,3,"['K', 'TH', '<EOS>']",1,0,0,1,[3]
1581,"['IY', 'K', 'TH']","['IY', 'K', 'TH']",-1,VCC,3,"['EH', 'TH', '<EOS>']",3,0,0,3,"[1, 2, 3]"
1582,"['K', 'TH', 'EY']","['K', 'TH', 'EY']",1,CCV,3,"['K', 'EY', 'TH']",2,1,1,0,"[2, 3]"
1583,"['EY', 'K', 'TH']","['EY', 'K', 'TH']",-1,VCC,3,"['EY', 'K', '<EOS>']",1,0,0,1,[3]
1584,"['K', 'TH', 'OW']","['K', 'TH', 'OW']",1,CCV,3,"['K', 'TH', '<EOS>']",1,0,0,1,[3]
1585,"['OW', 'K', 'TH']","['OW', 'K', 'TH']",-1,VCC,3,"['OW', 'K', '<EOS>']",1,0,0,1,[3]
1586,"['K', 'TH', 'AE']","['K', 'TH', 'AE']",1,CCV,3,"['K', 'AE', 'TH']",2,1,1,0,"[2, 3]"
1587,"['AE', 'K', 'TH']","['AE', 'K', 'TH']",-1,VCC,3,"['AE', 'K', 'TH']",0,0,0,0,[]
1588,"['K', 'TH', 'AW']","['K', 'TH', 'AW']",1,CCV,3,"['K', 'TH', '<EOS>']",1,0,0,1,[3]
1589,"['AW', 'K', 'TH']","['AW', 'K', 'TH']",-1,VCC,3,"['AW', 'K', '<EOS>']",1,0,0,1,[3]
1590,"['K', 'S', 'AH']","['K', 'S', 'AH']",1,CCV,3,"['K', 'AH', '<EOS>']",2,0,0,2,"[2, 3]"
1591,"['AH', 'K', 'S']","['AH', 'K', 'S']",-1,VCC,3,"['AH', 'K', '<EOS>']",1,0,0,1,[3]
1592,"['K', 'S', 'OY']","['K', 'S', 'OY']",1,CCV,3,"['K', 'OY', '<EOS>']",2,0,0,2,"[2, 3]"
1593,"['OY', 'K', 'S']","['OY', 'K', 'S']",-1,VCC,3,"['OY', 'K', 'S']",0,0,0,0,[]
1594,"['K', 'S', 'AA']","['K', 'S', 'AA']",1,CCV,3,"['K', 'AA', '<EOS>']",2,0,0,2,"[2, 3]"
1595,"['AA', 'K', 'S']","['AA', 'K', 'S']",-1,VCC,3,"['AA', 'K', '<EOS>']",1,0,0,1,[3]
1596,"['K', 'S', 'AY']","['K', 'S', 'AY']",1,CCV,3,"['S', 'AY', '<EOS>']",2,1,1,0,"[1, 2, 3]"
1597,"['AY', 'K', 'S']","['AY', 'K', 'S']",-1,VCC,3,"['AY', 'K', '<EOS>']",1,0,0,1,[3]
1598,"['K', 'S', 'ER']","['K', 'S', 'ER']",1,CCV,3,"['K', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
1599,"['ER', 'K', 'S']","['ER', 'K', 'S']",-1,VCC,3,"['ER', 'K', '<EOS>']",1,0,0,1,[3]
1600,"['K', 'S', 'AO']","['K', 'S', 'AO']",1,CCV,3,"['S', 'K', '<EOS>']",3,1,1,1,"[1, 2, 3]"
1601,"['AO', 'K', 'S']","['AO', 'K', 'S']",-1,VCC,3,"['AO', 'K', '<EOS>']",1,0,0,1,[3]
1602,"['K', 'S', 'UW']","['K', 'S', 'UW']",1,CCV,3,"['K', 'DH', '<EOS>']",2,0,0,2,"[2, 3]"
1603,"['UW', 'K', 'S']","['UW', 'K', 'S']",-1,VCC,3,"['UW', 'K', '<EOS>']",1,0,0,1,[3]
1604,"['K', 'S', 'IH']","['K', 'S', 'IH']",1,CCV,3,"['K', 'IH', 'S']",2,1,1,0,"[2, 3]"
1605,"['IH', 'K', 'S']","['IH', 'K', 'S']",-1,VCC,3,"['IH', 'K', '<EOS>']",1,0,0,1,[3]
1606,"['K', 'S', 'EH']","['K', 'S', 'EH']",1,CCV,3,"['K', 'DH', '<EOS>']",2,0,0,2,"[2, 3]"
1607,"['EH', 'K', 'S']","['EH', 'K', 'S']",-1,VCC,3,"['EH', 'K', '<EOS>']",1,0,0,1,[3]
1608,"['K', 'S', 'UH']","['K', 'S', 'UH']",1,CCV,3,"['S', 'UH', 'K']",2,1,1,0,"[1, 2, 3]"
1609,"['UH', 'K', 'S']","['UH', 'K', 'S']",-1,VCC,3,"['UH', 'K', '<EOS>']",1,0,0,1,[3]
1610,"['K', 'S', 'IY']","['K', 'S', 'IY']",1,CCV,3,"['K', 'DH', '<EOS>']",2,0,0,2,"[2, 3]"
1611,"['IY', 'K', 'S']","['IY', 'K', 'S']",-1,VCC,3,"['IY', 'K', 'S']",0,0,0,0,[]
1612,"['K', 'S', 'EY']","['K', 'S', 'EY']",1,CCV,3,"['K', 'EY', '<EOS>']",2,0,0,2,"[2, 3]"
1613,"['EY', 'K', 'S']","['EY', 'K', 'S']",-1,VCC,3,"['EY', 'K', '<EOS>']",1,0,0,1,[3]
1614,"['K', 'S', 'OW']","['K', 'S', 'OW']",1,CCV,3,"['S', 'OW', '<EOS>']",2,1,1,0,"[1, 2, 3]"
1615,"['OW', 'K', 'S']","['OW', 'K', 'S']",-1,VCC,3,"['OW', 'K', '<EOS>']",1,0,0,1,[3]
1616,"['K', 'S', 'AE']","['K', 'S', 'AE']",1,CCV,3,"['K', 'AE', '<EOS>']",2,0,0,2,"[2, 3]"
1617,"['AE', 'K', 'S']","['AE', 'K', 'S']",-1,VCC,3,"['AE', 'K', 'S']",0,0,0,0,[]
1618,"['K', 'S', 'AW']","['K', 'S', 'AW']",1,CCV,3,"['K', 'DH', '<EOS>']",2,0,0,2,"[2, 3]"
1619,"['AW', 'K', 'S']","['AW', 'K', 'S']",-1,VCC,3,"['AW', 'K', '<EOS>']",1,0,0,1,[3]
1620,"['K', 'SH', 'AH']","['K', 'SH', 'AH']",1,CCV,3,"['K', 'SH', '<EOS>']",1,0,0,1,[3]
1621,"['AH', 'K', 'SH']","['AH', 'K', 'SH']",-1,VCC,3,"['AH', 'K', 'SH']",0,0,0,0,[]
1622,"['K', 'SH', 'OY']","['K', 'SH', 'OY']",1,CCV,3,"['K', 'OY', '<EOS>']",2,0,0,2,"[2, 3]"
1623,"['OY', 'K', 'SH']","['OY', 'K', 'SH']",-1,VCC,3,"['SH', 'OY', '<EOS>']",3,1,1,1,"[1, 2, 3]"
1624,"['K', 'SH', 'AA']","['K', 'SH', 'AA']",1,CCV,3,"['K', 'SH', 'AA']",0,0,0,0,[]
1625,"['AA', 'K', 'SH']","['AA', 'K', 'SH']",-1,VCC,3,"['AA', 'K', 'SH']",0,0,0,0,[]
1626,"['K', 'SH', 'AY']","['K', 'SH', 'AY']",1,CCV,3,"['K', 'SH', '<EOS>']",1,0,0,1,[3]
1627,"['AY', 'K', 'SH']","['AY', 'K', 'SH']",-1,VCC,3,"['AY', 'K', '<EOS>']",1,0,0,1,[3]
1628,"['K', 'SH', 'ER']","['K', 'SH', 'ER']",1,CCV,3,"['K', 'SH', 'ER']",0,0,0,0,[]
1629,"['ER', 'K', 'SH']","['ER', 'K', 'SH']",-1,VCC,3,"['ER', 'K', '<EOS>']",1,0,0,1,[3]
1630,"['K', 'SH', 'AO']","['K', 'SH', 'AO']",1,CCV,3,"['K', 'SH', '<EOS>']",1,0,0,1,[3]
1631,"['AO', 'K', 'SH']","['AO', 'K', 'SH']",-1,VCC,3,"['AO', 'K', 'SH']",0,0,0,0,[]
1632,"['K', 'SH', 'UW']","['K', 'SH', 'UW']",1,CCV,3,"['K', 'SH', '<EOS>']",1,0,0,1,[3]
1633,"['UW', 'K', 'SH']","['UW', 'K', 'SH']",-1,VCC,3,"['UW', 'K', '<EOS>']",1,0,0,1,[3]
1634,"['K', 'SH', 'IH']","['K', 'SH', 'IH']",1,CCV,3,"['K', 'SH', '<EOS>']",1,0,0,1,[3]
1635,"['IH', 'K', 'SH']","['IH', 'K', 'SH']",-1,VCC,3,"['IH', 'K', '<EOS>']",1,0,0,1,[3]
1636,"['K', 'SH', 'EH']","['K', 'SH', 'EH']",1,CCV,3,"['K', 'SH', '<EOS>']",1,0,0,1,[3]
1637,"['EH', 'K', 'SH']","['EH', 'K', 'SH']",-1,VCC,3,"['EH', 'K', '<EOS>']",1,0,0,1,[3]
1638,"['K', 'SH', 'UH']","['K', 'SH', 'UH']",1,CCV,3,"['K', 'UH', 'SH']",2,1,1,0,"[2, 3]"
1639,"['UH', 'K', 'SH']","['UH', 'K', 'SH']",-1,VCC,3,"['UH', 'K', '<EOS>']",1,0,0,1,[3]
1640,"['K', 'SH', 'IY']","['K', 'SH', 'IY']",1,CCV,3,"['K', 'SH', '<EOS>']",1,0,0,1,[3]
1641,"['IY', 'K', 'SH']","['IY', 'K', 'SH']",-1,VCC,3,"['SH', 'K', '<EOS>']",2,0,0,2,"[1, 3]"
1642,"['K', 'SH', 'EY']","['K', 'SH', 'EY']",1,CCV,3,"['K', 'EY', 'SH']",2,1,1,0,"[2, 3]"
1643,"['EY', 'K', 'SH']","['EY', 'K', 'SH']",-1,VCC,3,"['AH', 'K', '<EOS>']",2,0,0,2,"[1, 3]"
1644,"['K', 'SH', 'OW']","['K', 'SH', 'OW']",1,CCV,3,"['K', 'SH', '<EOS>']",1,0,0,1,[3]
1645,"['OW', 'K', 'SH']","['OW', 'K', 'SH']",-1,VCC,3,"['OW', 'K', '<EOS>']",1,0,0,1,[3]
1646,"['K', 'SH', 'AE']","['K', 'SH', 'AE']",1,CCV,3,"['K', 'AE', 'SH']",2,1,1,0,"[2, 3]"
1647,"['AE', 'K', 'SH']","['AE', 'K', 'SH']",-1,VCC,3,"['AE', 'K', '<EOS>']",1,0,0,1,[3]
1648,"['K', 'SH', 'AW']","['K', 'SH', 'AW']",1,CCV,3,"['K', 'SH', '<EOS>']",1,0,0,1,[3]
1649,"['AW', 'K', 'SH']","['AW', 'K', 'SH']",-1,VCC,3,"['AW', 'K', '<EOS>']",1,0,0,1,[3]
1650,"['K', 'Z', 'AH']","['K', 'Z', 'AH']",1,CCV,3,"['K', 'Z', '<EOS>']",1,0,0,1,[3]
1651,"['AH', 'K', 'Z']","['AH', 'K', 'Z']",-1,VCC,3,"['AH', 'K', '<EOS>']",1,0,0,1,[3]
1652,"['K', 'Z', 'OY']","['K', 'Z', 'OY']",1,CCV,3,"['K', 'AH', '<EOS>']",2,0,0,2,"[2, 3]"
1653,"['OY', 'K', 'Z']","['OY', 'K', 'Z']",-1,VCC,3,"['OY', 'Z', '<EOS>']",2,0,0,2,"[2, 3]"
1654,"['K', 'Z', 'AA']","['K', 'Z', 'AA']",1,CCV,3,"['K', 'AA', 'Z']",2,1,1,0,"[2, 3]"
1655,"['AA', 'K', 'Z']","['AA', 'K', 'Z']",-1,VCC,3,"['AA', 'Z', '<EOS>']",2,0,0,2,"[2, 3]"
1656,"['K', 'Z', 'AY']","['K', 'Z', 'AY']",1,CCV,3,"['K', 'Z', '<EOS>']",1,0,0,1,[3]
1657,"['AY', 'K', 'Z']","['AY', 'K', 'Z']",-1,VCC,3,"['AY', 'K', '<EOS>']",1,0,0,1,[3]
1658,"['K', 'Z', 'ER']","['K', 'Z', 'ER']",1,CCV,3,"['K', 'Z', 'ER']",0,0,0,0,[]
1659,"['ER', 'K', 'Z']","['ER', 'K', 'Z']",-1,VCC,3,"['ER', 'K', '<EOS>']",1,0,0,1,[3]
1660,"['K', 'Z', 'AO']","['K', 'Z', 'AO']",1,CCV,3,"['K', 'AO', 'Z']",2,1,1,0,"[2, 3]"
1661,"['AO', 'K', 'Z']","['AO', 'K', 'Z']",-1,VCC,3,"['AO', 'Z', '<EOS>']",2,0,0,2,"[2, 3]"
1662,"['K', 'Z', 'UW']","['K', 'Z', 'UW']",1,CCV,3,"['K', 'Z', '<EOS>']",1,0,0,1,[3]
1663,"['UW', 'K', 'Z']","['UW', 'K', 'Z']",-1,VCC,3,"['UW', 'K', '<EOS>']",1,0,0,1,[3]
1664,"['K', 'Z', 'IH']","['K', 'Z', 'IH']",1,CCV,3,"['K', 'Z', '<EOS>']",1,0,0,1,[3]
1665,"['IH', 'K', 'Z']","['IH', 'K', 'Z']",-1,VCC,3,"['IH', 'Z', '<EOS>']",2,0,0,2,"[2, 3]"
1666,"['K', 'Z', 'EH']","['K', 'Z', 'EH']",1,CCV,3,"['K', 'Z', '<EOS>']",1,0,0,1,[3]
1667,"['EH', 'K', 'Z']","['EH', 'K', 'Z']",-1,VCC,3,"['EH', 'K', '<EOS>']",1,0,0,1,[3]
1668,"['K', 'Z', 'UH']","['K', 'Z', 'UH']",1,CCV,3,"['K', 'UH', 'Z']",2,1,1,0,"[2, 3]"
1669,"['UH', 'K', 'Z']","['UH', 'K', 'Z']",-1,VCC,3,"['UH', 'K', 'Z']",0,0,0,0,[]
1670,"['K', 'Z', 'IY']","['K', 'Z', 'IY']",1,CCV,3,"['K', 'AH', 'Z']",2,1,1,0,"[2, 3]"
1671,"['IY', 'K', 'Z']","['IY', 'K', 'Z']",-1,VCC,3,"['EH', 'K', 'Z']",1,0,0,1,[1]
1672,"['K', 'Z', 'EY']","['K', 'Z', 'EY']",1,CCV,3,"['K', 'EY', 'Z']",2,1,1,0,"[2, 3]"
1673,"['EY', 'K', 'Z']","['EY', 'K', 'Z']",-1,VCC,3,"['AH', 'K', '<EOS>']",2,0,0,2,"[1, 3]"
1674,"['K', 'Z', 'OW']","['K', 'Z', 'OW']",1,CCV,3,"['K', 'Z', '<EOS>']",1,0,0,1,[3]
1675,"['OW', 'K', 'Z']","['OW', 'K', 'Z']",-1,VCC,3,"['OW', 'K', '<EOS>']",1,0,0,1,[3]
1676,"['K', 'Z', 'AE']","['K', 'Z', 'AE']",1,CCV,3,"['K', 'AE', 'Z']",2,1,1,0,"[2, 3]"
1677,"['AE', 'K', 'Z']","['AE', 'K', 'Z']",-1,VCC,3,"['AE', 'Z', '<EOS>']",2,0,0,2,"[2, 3]"
1678,"['K', 'Z', 'AW']","['K', 'Z', 'AW']",1,CCV,3,"['K', 'AW', '<EOS>']",2,0,0,2,"[2, 3]"
1679,"['AW', 'K', 'Z']","['AW', 'K', 'Z']",-1,VCC,3,"['AW', 'K', '<EOS>']",1,0,0,1,[3]
1680,"['K', 'ZH', 'AH']","['K', 'ZH', 'AH']",1,CCV,3,"['K', 'ZH', '<EOS>']",1,0,0,1,[3]
1681,"['AH', 'K', 'ZH']","['AH', 'K', 'ZH']",-1,VCC,3,"['AH', 'K', '<EOS>']",1,0,0,1,[3]
1682,"['K', 'ZH', 'OY']","['K', 'ZH', 'OY']",1,CCV,3,"['K', 'OY', '<EOS>']",2,0,0,2,"[2, 3]"
1683,"['OY', 'K', 'ZH']","['OY', 'K', 'ZH']",-1,VCC,3,"['AY', 'K', '<EOS>']",2,0,0,2,"[1, 3]"
1684,"['K', 'ZH', 'AA']","['K', 'ZH', 'AA']",1,CCV,3,"['K', 'DH', '<EOS>']",2,0,0,2,"[2, 3]"
1685,"['AA', 'K', 'ZH']","['AA', 'K', 'ZH']",-1,VCC,3,"['AA', 'K', '<EOS>']",1,0,0,1,[3]
1686,"['K', 'ZH', 'AY']","['K', 'ZH', 'AY']",1,CCV,3,"['K', 'ZH', '<EOS>']",1,0,0,1,[3]
1687,"['AY', 'K', 'ZH']","['AY', 'K', 'ZH']",-1,VCC,3,"['AY', 'K', '<EOS>']",1,0,0,1,[3]
1688,"['K', 'ZH', 'ER']","['K', 'ZH', 'ER']",1,CCV,3,"['K', 'ZH', 'ER']",0,0,0,0,[]
1689,"['ER', 'K', 'ZH']","['ER', 'K', 'ZH']",-1,VCC,3,"['ER', 'K', '<EOS>']",1,0,0,1,[3]
1690,"['K', 'ZH', 'AO']","['K', 'ZH', 'AO']",1,CCV,3,"['K', 'AE', '<EOS>']",2,0,0,2,"[2, 3]"
1691,"['AO', 'K', 'ZH']","['AO', 'K', 'ZH']",-1,VCC,3,"['AO', 'K', '<EOS>']",1,0,0,1,[3]
1692,"['K', 'ZH', 'UW']","['K', 'ZH', 'UW']",1,CCV,3,"['K', 'UW', 'ZH']",2,1,1,0,"[2, 3]"
1693,"['UW', 'K', 'ZH']","['UW', 'K', 'ZH']",-1,VCC,3,"['UW', 'K', '<EOS>']",1,0,0,1,[3]
1694,"['K', 'ZH', 'IH']","['K', 'ZH', 'IH']",1,CCV,3,"['K', 'ZH', '<EOS>']",1,0,0,1,[3]
1695,"['IH', 'K', 'ZH']","['IH', 'K', 'ZH']",-1,VCC,3,"['IH', 'K', '<EOS>']",1,0,0,1,[3]
1696,"['K', 'ZH', 'EH']","['K', 'ZH', 'EH']",1,CCV,3,"['K', 'ZH', '<EOS>']",1,0,0,1,[3]
1697,"['EH', 'K', 'ZH']","['EH', 'K', 'ZH']",-1,VCC,3,"['EH', 'K', '<EOS>']",1,0,0,1,[3]
1698,"['K', 'ZH', 'UH']","['K', 'ZH', 'UH']",1,CCV,3,"['K', 'UH', '<EOS>']",2,0,0,2,"[2, 3]"
1699,"['UH', 'K', 'ZH']","['UH', 'K', 'ZH']",-1,VCC,3,"['UH', 'K', '<EOS>']",1,0,0,1,[3]
1700,"['K', 'ZH', 'IY']","['K', 'ZH', 'IY']",1,CCV,3,"['K', 'ZH', 'IY']",0,0,0,0,[]
1701,"['IY', 'K', 'ZH']","['IY', 'K', 'ZH']",-1,VCC,3,"['AE', 'K', '<EOS>']",2,0,0,2,"[1, 3]"
1702,"['K', 'ZH', 'EY']","['K', 'ZH', 'EY']",1,CCV,3,"['K', 'ZH', '<EOS>']",1,0,0,1,[3]
1703,"['EY', 'K', 'ZH']","['EY', 'K', 'ZH']",-1,VCC,3,"['EY', 'K', '<EOS>']",1,0,0,1,[3]
1704,"['K', 'ZH', 'OW']","['K', 'ZH', 'OW']",1,CCV,3,"['K', 'ZH', '<EOS>']",1,0,0,1,[3]
1705,"['OW', 'K', 'ZH']","['OW', 'K', 'ZH']",-1,VCC,3,"['OW', 'K', '<EOS>']",1,0,0,1,[3]
1706,"['K', 'ZH', 'AE']","['K', 'ZH', 'AE']",1,CCV,3,"['K', 'AE', '<EOS>']",2,0,0,2,"[2, 3]"
1707,"['AE', 'K', 'ZH']","['AE', 'K', 'ZH']",-1,VCC,3,"['AE', 'K', '<EOS>']",1,0,0,1,[3]
1708,"['K', 'ZH', 'AW']","['K', 'ZH', 'AW']",1,CCV,3,"['K', 'AW', '<EOS>']",2,0,0,2,"[2, 3]"
1709,"['AW', 'K', 'ZH']","['AW', 'K', 'ZH']",-1,VCC,3,"['AW', 'K', '<EOS>']",1,0,0,1,[3]
1710,"['K', 'V', 'AH']","['K', 'V', 'AH']",1,CCV,3,"['K', 'V', '<EOS>']",1,0,0,1,[3]
1711,"['AH', 'K', 'V']","['AH', 'K', 'V']",-1,VCC,3,"['AH', 'K', '<EOS>']",1,0,0,1,[3]
1712,"['K', 'V', 'OY']","['K', 'V', 'OY']",1,CCV,3,"['K', 'R', '<EOS>']",2,0,0,2,"[2, 3]"
1713,"['OY', 'K', 'V']","['OY', 'K', 'V']",-1,VCC,3,"['UW', 'V', '<EOS>']",3,0,0,3,"[1, 2, 3]"
1714,"['K', 'V', 'AA']","['K', 'V', 'AA']",1,CCV,3,"['K', 'AA', 'V']",2,1,1,0,"[2, 3]"
1715,"['AA', 'K', 'V']","['AA', 'K', 'V']",-1,VCC,3,"['AA', 'K', 'V']",0,0,0,0,[]
1716,"['K', 'V', 'AY']","['K', 'V', 'AY']",1,CCV,3,"['K', 'V', '<EOS>']",1,0,0,1,[3]
1717,"['AY', 'K', 'V']","['AY', 'K', 'V']",-1,VCC,3,"['AY', 'V', '<EOS>']",2,0,0,2,"[2, 3]"
1718,"['K', 'V', 'ER']","['K', 'V', 'ER']",1,CCV,3,"['K', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
1719,"['ER', 'K', 'V']","['ER', 'K', 'V']",-1,VCC,3,"['ER', 'V', '<EOS>']",2,0,0,2,"[2, 3]"
1720,"['K', 'V', 'AO']","['K', 'V', 'AO']",1,CCV,3,"['K', 'AO', 'V']",2,1,1,0,"[2, 3]"
1721,"['AO', 'K', 'V']","['AO', 'K', 'V']",-1,VCC,3,"['AO', 'K', 'V']",0,0,0,0,[]
1722,"['K', 'V', 'UW']","['K', 'V', 'UW']",1,CCV,3,"['K', 'UW', 'V']",2,1,1,0,"[2, 3]"
1723,"['UW', 'K', 'V']","['UW', 'K', 'V']",-1,VCC,3,"['UW', 'V', '<EOS>']",2,0,0,2,"[2, 3]"
1724,"['K', 'V', 'IH']","['K', 'V', 'IH']",1,CCV,3,"['K', 'V', '<EOS>']",1,0,0,1,[3]
1725,"['IH', 'K', 'V']","['IH', 'K', 'V']",-1,VCC,3,"['IH', 'V', '<EOS>']",2,0,0,2,"[2, 3]"
1726,"['K', 'V', 'EH']","['K', 'V', 'EH']",1,CCV,3,"['K', 'V', '<EOS>']",1,0,0,1,[3]
1727,"['EH', 'K', 'V']","['EH', 'K', 'V']",-1,VCC,3,"['EH', 'K', '<EOS>']",1,0,0,1,[3]
1728,"['K', 'V', 'UH']","['K', 'V', 'UH']",1,CCV,3,"['K', 'UH', 'V']",2,1,1,0,"[2, 3]"
1729,"['UH', 'K', 'V']","['UH', 'K', 'V']",-1,VCC,3,"['UH', 'K', '<EOS>']",1,0,0,1,[3]
1730,"['K', 'V', 'IY']","['K', 'V', 'IY']",1,CCV,3,"['K', 'IY', '<EOS>']",2,0,0,2,"[2, 3]"
1731,"['IY', 'K', 'V']","['IY', 'K', 'V']",-1,VCC,3,"['UW', 'K', '<EOS>']",2,0,0,2,"[1, 3]"
1732,"['K', 'V', 'EY']","['K', 'V', 'EY']",1,CCV,3,"['K', 'EY', '<EOS>']",2,0,0,2,"[2, 3]"
1733,"['EY', 'K', 'V']","['EY', 'K', 'V']",-1,VCC,3,"['UW', 'K', '<EOS>']",2,0,0,2,"[1, 3]"
1734,"['K', 'V', 'OW']","['K', 'V', 'OW']",1,CCV,3,"['K', 'OW', '<EOS>']",2,0,0,2,"[2, 3]"
1735,"['OW', 'K', 'V']","['OW', 'K', 'V']",-1,VCC,3,"['OW', 'K', '<EOS>']",1,0,0,1,[3]
