,No_Stress,Sonority,Type,Prediction
1344,"['B', 'R', 'UH']",4,CCV,"['B', 'R', 'UH']"
1345,"['B', 'R', 'IY']",4,CCV,"['B', 'R', 'IY']"
1346,"['B', 'R', 'EY']",4,CCV,"['B', 'R', 'EY']"
1347,"['B', 'R', 'OW']",4,CCV,"['B', 'R', 'OW']"
1348,"['B', 'R', 'AE']",4,CCV,"['B', 'R', 'AE']"
1349,"['B', 'R', 'AW']",4,CCV,"['B', 'R', 'AW']"
1350,"['B', 'W', 'AH']",5,CCV,"['B', 'Y', 'AH']"
1351,"['B', 'W', 'OY']",5,CCV,"['B', 'OY', 'EH']"
1352,"['B', 'W', 'AA']",5,CCV,"['B', 'W', 'AA']"
1353,"['B', 'W', 'AY']",5,CCV,"['B', 'AY', 'EH']"
1354,"['B', 'W', 'ER']",5,CCV,"['B', 'W', 'ER']"
1355,"['B', 'W', 'AO']",5,CCV,"['B', 'AO', 'SH']"
1356,"['B', 'W', 'UW']",5,CCV,"['B', 'UW', 'W']"
1357,"['B', 'W', 'IH']",5,CCV,"['B', 'IH', 'W']"
1358,"['B', 'W', 'EH']",5,CCV,"['B', 'EH', 'W']"
1359,"['B', 'W', 'UH']",5,CCV,"['B', 'UH', 'N']"
1360,"['B', 'W', 'IY']",5,CCV,"['B', 'W', 'IY']"
1361,"['B', 'W', 'EY']",5,CCV,"['B', 'W', 'EY']"
1362,"['B', 'W', 'OW']",5,CCV,"['B', 'OW', 'W']"
1363,"['B', 'W', 'AE']",5,CCV,"['B', 'AE', 'L']"
1364,"['B', 'W', 'AW']",5,CCV,"['B', 'W', 'AW']"
1365,"['B', 'Y', 'AH']",5,CCV,"['B', 'Y', 'AH']"
1366,"['B', 'Y', 'OY']",5,CCV,"['B', 'Y', 'OY']"
1367,"['B', 'Y', 'AA']",5,CCV,"['B', 'Y', 'AA']"
1368,"['B', 'Y', 'AY']",5,CCV,"['B', 'Y', 'AY']"
1369,"['B', 'Y', 'ER']",5,CCV,"['B', 'Y', 'ER']"
1370,"['B', 'Y', 'AO']",5,CCV,"['B', 'Y', 'AO']"
1371,"['B', 'Y', 'UW']",5,CCV,"['B', 'Y', 'UW']"
1372,"['B', 'Y', 'IH']",5,CCV,"['B', 'IH', 'Y']"
1373,"['B', 'Y', 'EH']",5,CCV,"['B', 'Y', 'EH']"
1374,"['B', 'Y', 'UH']",5,CCV,"['B', 'Y', 'UH']"
1375,"['B', 'Y', 'IY']",5,CCV,"['B', 'Y', 'IY']"
1376,"['B', 'Y', 'EY']",5,CCV,"['B', 'Y', 'EY']"
1377,"['B', 'Y', 'OW']",5,CCV,"['B', 'Y', 'OW']"
1378,"['B', 'Y', 'AE']",5,CCV,"['B', 'Y', 'AE']"
1379,"['B', 'Y', 'AW']",5,CCV,"['B', 'Y', 'AW']"
1380,"['D', 'P', 'AH']",0,CCV,"['D', 'P', 'AH']"
1381,"['D', 'P', 'OY']",0,CCV,"['D', 'OY', 'P']"
1382,"['D', 'P', 'AA']",0,CCV,"['D', 'P', 'AA']"
1383,"['D', 'P', 'AY']",0,CCV,"['D', 'P', 'AY']"
1384,"['D', 'P', 'ER']",0,CCV,"['D', 'P', 'ER']"
1385,"['D', 'P', 'AO']",0,CCV,"['D', 'P', 'AO']"
1386,"['D', 'P', 'UW']",0,CCV,"['D', 'P', 'UW']"
1387,"['D', 'P', 'IH']",0,CCV,"['D', 'P', 'IH']"
1388,"['D', 'P', 'EH']",0,CCV,"['D', 'P', 'EH']"
1389,"['D', 'P', 'UH']",0,CCV,"['D', 'P', 'UH']"
1390,"['D', 'P', 'IY']",0,CCV,"['D', 'P', 'IY']"
1391,"['D', 'P', 'EY']",0,CCV,"['D', 'P', 'EY']"
1392,"['D', 'P', 'OW']",0,CCV,"['D', 'P', 'OW']"
1393,"['D', 'P', 'AE']",0,CCV,"['D', 'P', 'AE']"
1394,"['D', 'P', 'AW']",0,CCV,"['D', 'P', 'AW']"
1395,"['D', 'T', 'AH']",0,CCV,"['D', 'T', 'AH']"
1396,"['D', 'T', 'OY']",0,CCV,"['D', 'OY', 'T']"
1397,"['D', 'T', 'AA']",0,CCV,"['D', 'AA', 'T']"
1398,"['D', 'T', 'AY']",0,CCV,"['D', 'AY', 'T']"
1399,"['D', 'T', 'ER']",0,CCV,"['D', 'ER', 'T']"
1400,"['D', 'T', 'AO']",0,CCV,"['D', 'AO', 'T']"
1401,"['D', 'T', 'UW']",0,CCV,"['D', 'T', 'UW']"
1402,"['D', 'T', 'IH']",0,CCV,"['D', 'IH', 'T']"
1403,"['D', 'T', 'EH']",0,CCV,"['D', 'EH', 'T']"
1404,"['D', 'T', 'UH']",0,CCV,"['D', 'UH', 'T']"
1405,"['D', 'T', 'IY']",0,CCV,"['D', 'IY', 'T']"
1406,"['D', 'T', 'EY']",0,CCV,"['D', 'EY', 'T']"
1407,"['D', 'T', 'OW']",0,CCV,"['D', 'OW', 'T']"
1408,"['D', 'T', 'AE']",0,CCV,"['D', 'AE', 'T']"
1409,"['D', 'T', 'AW']",0,CCV,"['T', 'AW', 'D']"
1410,"['D', 'K', 'AH']",0,CCV,"['D', 'K', 'AH']"
1411,"['D', 'K', 'OY']",0,CCV,"['D', 'K', 'OY']"
1412,"['D', 'K', 'AA']",0,CCV,"['D', 'K', 'AA']"
1413,"['D', 'K', 'AY']",0,CCV,"['D', 'K', 'AY']"
1414,"['D', 'K', 'ER']",0,CCV,"['D', 'K', 'ER']"
1415,"['D', 'K', 'AO']",0,CCV,"['D', 'K', 'AO']"
1416,"['D', 'K', 'UW']",0,CCV,"['D', 'UW', 'K']"
1417,"['D', 'K', 'IH']",0,CCV,"['D', 'K', 'IH']"
1418,"['D', 'K', 'EH']",0,CCV,"['D', 'EH', 'K']"
1419,"['D', 'K', 'UH']",0,CCV,"['D', 'UH', 'K']"
1420,"['D', 'K', 'IY']",0,CCV,"['D', 'K', 'IY']"
1421,"['D', 'K', 'EY']",0,CCV,"['D', 'EY', 'K']"
1422,"['D', 'K', 'OW']",0,CCV,"['D', 'K', 'OW']"
1423,"['D', 'K', 'AE']",0,CCV,"['D', 'AE', 'K']"
1424,"['D', 'K', 'AW']",0,CCV,"['D', 'AW', 'K']"
1425,"['D', 'B', 'AH']",0,CCV,"['D', 'B', 'AH']"
1426,"['D', 'B', 'OY']",0,CCV,"['D', 'OY', 'B']"
1427,"['D', 'B', 'AA']",0,CCV,"['D', 'B', 'AA']"
1428,"['D', 'B', 'AY']",0,CCV,"['D', 'AY', 'B']"
1429,"['D', 'B', 'ER']",0,CCV,"['D', 'B', 'ER']"
1430,"['D', 'B', 'AO']",0,CCV,"['D', 'AO', 'SH']"
1431,"['D', 'B', 'UW']",0,CCV,"['D', 'B', 'UW']"
1432,"['D', 'B', 'IH']",0,CCV,"['D', 'IH', 'B']"
1433,"['D', 'B', 'EH']",0,CCV,"['D', 'B', 'EH']"
1434,"['D', 'B', 'UH']",0,CCV,"['D', 'UH', 'B']"
1435,"['D', 'B', 'IY']",0,CCV,"['D', 'B', 'IY']"
1436,"['D', 'B', 'EY']",0,CCV,"['D', 'EY', 'B']"
1437,"['D', 'B', 'OW']",0,CCV,"['D', 'OW', 'B']"
1438,"['D', 'B', 'AE']",0,CCV,"['D', 'AE', 'B']"
1439,"['D', 'B', 'AW']",0,CCV,"['D', 'AW', 'B']"
1440,"['D', 'G', 'AH']",0,CCV,"['D', 'G', 'AH']"
1441,"['D', 'G', 'OY']",0,CCV,"['D', 'OY', 'G']"
1442,"['D', 'G', 'AA']",0,CCV,"['D', 'G', 'AA']"
1443,"['D', 'G', 'AY']",0,CCV,"['G', 'AY', 'D']"
1444,"['D', 'G', 'ER']",0,CCV,"['D', 'G', 'ER']"
1445,"['D', 'G', 'AO']",0,CCV,"['D', 'AO', 'G']"
1446,"['D', 'G', 'UW']",0,CCV,"['D', 'G', 'UW']"
1447,"['D', 'G', 'IH']",0,CCV,"['D', 'G', 'IH']"
1448,"['D', 'G', 'EH']",0,CCV,"['D', 'G', 'EH']"
1449,"['D', 'G', 'UH']",0,CCV,"['D', 'UH', 'G']"
1450,"['D', 'G', 'IY']",0,CCV,"['D', 'G', 'IY']"
1451,"['D', 'G', 'EY']",0,CCV,"['D', 'EY', 'G']"
1452,"['D', 'G', 'OW']",0,CCV,"['D', 'G', 'OW']"
1453,"['D', 'G', 'AE']",0,CCV,"['D', 'AE', 'G']"
1454,"['D', 'G', 'AW']",0,CCV,"['D', 'G', 'AW']"
1455,"['D', 'F', 'AH']",1,CCV,"['D', 'F', 'AH']"
1456,"['D', 'F', 'OY']",1,CCV,"['D', 'F', 'OY']"
1457,"['D', 'F', 'AA']",1,CCV,"['D', 'F', 'AA']"
1458,"['D', 'F', 'AY']",1,CCV,"['D', 'F', 'AY']"
1459,"['D', 'F', 'ER']",1,CCV,"['F', 'ER', 'D']"
1460,"['D', 'F', 'AO']",1,CCV,"['D', 'AO', 'F']"
1461,"['D', 'F', 'UW']",1,CCV,"['D', 'F', 'UW']"
1462,"['D', 'F', 'IH']",1,CCV,"['D', 'F', 'IH']"
1463,"['D', 'F', 'EH']",1,CCV,"['D', 'F', 'EH']"
1464,"['D', 'F', 'UH']",1,CCV,"['D', 'UH', 'F']"
1465,"['D', 'F', 'IY']",1,CCV,"['D', 'F', 'IY']"
1466,"['D', 'F', 'EY']",1,CCV,"['D', 'EY', 'F']"
1467,"['D', 'F', 'OW']",1,CCV,"['D', 'F', 'OW']"
1468,"['D', 'F', 'AE']",1,CCV,"['D', 'AE', 'F']"
1469,"['D', 'F', 'AW']",1,CCV,"['D', 'F', 'AW']"
1470,"['D', 'TH', 'AH']",1,CCV,"['D', 'TH', 'AH']"
1471,"['D', 'TH', 'OY']",1,CCV,"['D', 'TH', 'OY']"
1472,"['D', 'TH', 'AA']",1,CCV,"['D', 'TH', 'AA']"
1473,"['D', 'TH', 'AY']",1,CCV,"['D', 'TH', 'AY']"
1474,"['D', 'TH', 'ER']",1,CCV,"['D', 'TH', 'ER']"
1475,"['D', 'TH', 'AO']",1,CCV,"['D', 'AO', 'TH']"
1476,"['D', 'TH', 'UW']",1,CCV,"['D', 'TH', 'UW']"
1477,"['D', 'TH', 'IH']",1,CCV,"['D', 'TH', 'IH']"
1478,"['D', 'TH', 'EH']",1,CCV,"['D', 'TH', 'EH']"
1479,"['D', 'TH', 'UH']",1,CCV,"['D', 'TH', 'UH']"
1480,"['D', 'TH', 'IY']",1,CCV,"['D', 'TH', 'IY']"
1481,"['D', 'TH', 'EY']",1,CCV,"['D', 'EY', 'TH']"
1482,"['D', 'TH', 'OW']",1,CCV,"['D', 'TH', 'OW']"
1483,"['D', 'TH', 'AE']",1,CCV,"['D', 'AE', 'TH']"
1484,"['D', 'TH', 'AW']",1,CCV,"['D', 'TH', 'AW']"
1485,"['D', 'S', 'AH']",1,CCV,"['D', 'S', 'AH']"
1486,"['D', 'S', 'OY']",1,CCV,"['D', 'OY', 'L']"
1487,"['D', 'S', 'AA']",1,CCV,"['D', 'AA', 'S']"
1488,"['D', 'S', 'AY']",1,CCV,"['D', 'AY', 'S']"
1489,"['D', 'S', 'ER']",1,CCV,"['D', 'S', 'ER']"
1490,"['D', 'S', 'AO']",1,CCV,"['D', 'AO', 'S']"
1491,"['D', 'S', 'UW']",1,CCV,"['D', 'UW', 'S']"
1492,"['D', 'S', 'IH']",1,CCV,"['D', 'IH', 'S']"
1493,"['D', 'S', 'EH']",1,CCV,"['D', 'EH', 'S']"
1494,"['D', 'S', 'UH']",1,CCV,"['D', 'UH', 'S']"
1495,"['D', 'S', 'IY']",1,CCV,"['D', 'S', 'IY']"
1496,"['D', 'S', 'EY']",1,CCV,"['D', 'S', 'EY']"
1497,"['D', 'S', 'OW']",1,CCV,"['D', 'S', 'OW']"
1498,"['D', 'S', 'AE']",1,CCV,"['D', 'AE', 'S']"
1499,"['D', 'S', 'AW']",1,CCV,"['D', 'S', 'AW']"
1500,"['D', 'SH', 'AH']",1,CCV,"['D', 'SH', 'AH']"
1501,"['D', 'SH', 'OY']",1,CCV,"['D', 'SH', 'OY']"
1502,"['D', 'SH', 'AA']",1,CCV,"['D', 'SH', 'AA']"
1503,"['D', 'SH', 'AY']",1,CCV,"['D', 'SH', 'AY']"
1504,"['D', 'SH', 'ER']",1,CCV,"['D', 'SH', 'ER']"
1505,"['D', 'SH', 'AO']",1,CCV,"['D', 'SH', 'AO']"
1506,"['D', 'SH', 'UW']",1,CCV,"['D', 'SH', 'UW']"
1507,"['D', 'SH', 'IH']",1,CCV,"['D', 'SH', 'IH']"
1508,"['D', 'SH', 'EH']",1,CCV,"['D', 'SH', 'EH']"
1509,"['D', 'SH', 'UH']",1,CCV,"['D', 'SH', 'UH']"
1510,"['D', 'SH', 'IY']",1,CCV,"['D', 'SH', 'IY']"
1511,"['D', 'SH', 'EY']",1,CCV,"['D', 'EY', 'SH']"
1512,"['D', 'SH', 'OW']",1,CCV,"['D', 'SH', 'OW']"
1513,"['D', 'SH', 'AE']",1,CCV,"['D', 'AE', 'SH']"
1514,"['D', 'SH', 'AW']",1,CCV,"['D', 'SH', 'AW']"
1515,"['D', 'Z', 'AH']",1,CCV,"['D', 'Z', 'AH']"
1516,"['D', 'Z', 'OY']",1,CCV,"['D', 'EH', 'Z']"
1517,"['D', 'Z', 'AA']",1,CCV,"['D', 'AA', 'Z']"
1518,"['D', 'Z', 'AY']",1,CCV,"['D', 'AY', 'Z']"
1519,"['D', 'Z', 'ER']",1,CCV,"['D', 'Z', 'ER']"
1520,"['D', 'Z', 'AO']",1,CCV,"['D', 'AO', 'Z']"
1521,"['D', 'Z', 'UW']",1,CCV,"['D', 'UW', 'Z']"
1522,"['D', 'Z', 'IH']",1,CCV,"['D', 'IH', 'Z']"
1523,"['D', 'Z', 'EH']",1,CCV,"['D', 'Z', 'EH']"
1524,"['D', 'Z', 'UH']",1,CCV,"['D', 'Z', 'UH']"
1525,"['D', 'Z', 'IY']",1,CCV,"['D', 'Z', 'IY']"
1526,"['D', 'Z', 'EY']",1,CCV,"['D', 'EY', 'Z']"
1527,"['D', 'Z', 'OW']",1,CCV,"['D', 'OW', 'Z']"
1528,"['D', 'Z', 'AE']",1,CCV,"['D', 'AE', 'Z']"
1529,"['D', 'Z', 'AW']",1,CCV,"['D', 'AW', 'Z']"
1530,"['D', 'ZH', 'AH']",1,CCV,"['D', 'ZH', 'AH']"
1531,"['D', 'ZH', 'OY']",1,CCV,"['D', 'ZH', 'OY']"
1532,"['D', 'ZH', 'AA']",1,CCV,"['D', 'ZH', 'AA']"
1533,"['D', 'ZH', 'AY']",1,CCV,"['D', 'ZH', 'AY']"
1534,"['D', 'ZH', 'ER']",1,CCV,"['D', 'ZH', 'ER']"
1535,"['D', 'ZH', 'AO']",1,CCV,"['D', 'ZH', 'AO']"
1536,"['D', 'ZH', 'UW']",1,CCV,"['D', 'UW', 'ZH']"
1537,"['D', 'ZH', 'IH']",1,CCV,"['D', 'ZH', 'IH']"
1538,"['D', 'ZH', 'EH']",1,CCV,"['D', 'ZH', 'EH']"
1539,"['D', 'ZH', 'UH']",1,CCV,"['D', 'ZH', 'UH']"
1540,"['D', 'ZH', 'IY']",1,CCV,"['D', 'ZH', 'IY']"
1541,"['D', 'ZH', 'EY']",1,CCV,"['D', 'ZH', 'EY']"
1542,"['D', 'ZH', 'OW']",1,CCV,"['D', 'ZH', 'OW']"
1543,"['D', 'ZH', 'AE']",1,CCV,"['D', 'ZH', 'AE']"
1544,"['D', 'ZH', 'AW']",1,CCV,"['D', 'ZH', 'AW']"
1545,"['D', 'V', 'AH']",1,CCV,"['D', 'V', 'AH']"
1546,"['D', 'V', 'OY']",1,CCV,"['D', 'V', 'OY']"
1547,"['D', 'V', 'AA']",1,CCV,"['D', 'V', 'AA']"
1548,"['D', 'V', 'AY']",1,CCV,"['D', 'V', 'AY']"
1549,"['D', 'V', 'ER']",1,CCV,"['D', 'V', 'ER']"
1550,"['D', 'V', 'AO']",1,CCV,"['D', 'V', 'AO']"
1551,"['D', 'V', 'UW']",1,CCV,"['D', 'V', 'UW']"
1552,"['D', 'V', 'IH']",1,CCV,"['D', 'V', 'IH']"
1553,"['D', 'V', 'EH']",1,CCV,"['D', 'V', 'EH']"
1554,"['D', 'V', 'UH']",1,CCV,"['D', 'V', 'UH']"
1555,"['D', 'V', 'IY']",1,CCV,"['D', 'V', 'IY']"
1556,"['D', 'V', 'EY']",1,CCV,"['D', 'V', 'EY']"
1557,"['D', 'V', 'OW']",1,CCV,"['D', 'V', 'OW']"
1558,"['D', 'V', 'AE']",1,CCV,"['D', 'V', 'AE']"
1559,"['D', 'V', 'AW']",1,CCV,"['D', 'V', 'AW']"
1560,"['D', 'DH', 'AH']",1,CCV,"['DH', 'AH', 'D']"
1561,"['D', 'DH', 'OY']",1,CCV,"['D', 'DH', 'OY']"
1562,"['D', 'DH', 'AA']",1,CCV,"['D', 'DH', 'AA']"
1563,"['D', 'DH', 'AY']",1,CCV,"['D', 'DH', 'AY']"
1564,"['D', 'DH', 'ER']",1,CCV,"['D', 'DH', 'ER']"
1565,"['D', 'DH', 'AO']",1,CCV,"['D', 'DH', 'AO']"
1566,"['D', 'DH', 'UW']",1,CCV,"['D', 'DH', 'UW']"
1567,"['D', 'DH', 'IH']",1,CCV,"['DH', 'IH', 'K']"
1568,"['D', 'DH', 'EH']",1,CCV,"['DH', 'EH', 'D']"
1569,"['D', 'DH', 'UH']",1,CCV,"['D', 'DH', 'UH']"
1570,"['D', 'DH', 'IY']",1,CCV,"['DH', 'D', 'IY']"
1571,"['D', 'DH', 'EY']",1,CCV,"['D', 'DH', 'EY']"
1572,"['D', 'DH', 'OW']",1,CCV,"['D', 'DH', 'OW']"
1573,"['D', 'DH', 'AE']",1,CCV,"['DH', 'AE', 'SH']"
1574,"['D', 'DH', 'AW']",1,CCV,"['DH', 'AW', 'N']"
1575,"['D', 'HH', 'AH']",1,CCV,"['HH', 'AH', '<EOS>']"
1576,"['D', 'HH', 'OY']",1,CCV,"['HH', 'OY', 'D']"
1577,"['D', 'HH', 'AA']",1,CCV,"['HH', 'AA', 'D']"
1578,"['D', 'HH', 'AY']",1,CCV,"['HH', 'AY', 'D']"
1579,"['D', 'HH', 'ER']",1,CCV,"['HH', 'ER', 'D']"
1580,"['D', 'HH', 'AO']",1,CCV,"['D', 'HH', 'AO']"
1581,"['D', 'HH', 'UW']",1,CCV,"['D', 'HH', 'UW']"
1582,"['D', 'HH', 'IH']",1,CCV,"['HH', 'IH', '<EOS>']"
1583,"['D', 'HH', 'EH']",1,CCV,"['HH', 'EH', 'D']"
1584,"['D', 'HH', 'UH']",1,CCV,"['HH', 'UH', 'D']"
1585,"['D', 'HH', 'IY']",1,CCV,"['HH', 'IY', 'D']"
1586,"['D', 'HH', 'EY']",1,CCV,"['HH', 'EY', 'SH']"
1587,"['D', 'HH', 'OW']",1,CCV,"['HH', 'OW', 'D']"
1588,"['D', 'HH', 'AE']",1,CCV,"['HH', 'AE', 'SH']"
1589,"['D', 'HH', 'AW']",1,CCV,"['HH', 'AW', 'D']"
1590,"['D', 'CH', 'AH']",2,CCV,"['D', 'CH', 'AH']"
1591,"['D', 'CH', 'OY']",2,CCV,"['D', 'CH', 'OY']"
1592,"['D', 'CH', 'AA']",2,CCV,"['D', 'EY', 'CH']"
1593,"['D', 'CH', 'AY']",2,CCV,"['D', 'AY', 'CH']"
1594,"['D', 'CH', 'ER']",2,CCV,"['D', 'CH', 'ER']"
1595,"['D', 'CH', 'AO']",2,CCV,"['D', 'CH', 'AO']"
1596,"['D', 'CH', 'UW']",2,CCV,"['D', 'CH', 'UW']"
1597,"['D', 'CH', 'IH']",2,CCV,"['D', 'IH', 'CH']"
1598,"['D', 'CH', 'EH']",2,CCV,"['D', 'EH', 'CH']"
1599,"['D', 'CH', 'UH']",2,CCV,"['D', 'UH', 'CH']"
1600,"['D', 'CH', 'IY']",2,CCV,"['D', 'CH', 'IY']"
1601,"['D', 'CH', 'EY']",2,CCV,"['D', 'EY', 'CH']"
1602,"['D', 'CH', 'OW']",2,CCV,"['D', 'OW', 'CH']"
1603,"['D', 'CH', 'AE']",2,CCV,"['D', 'AE', 'CH']"
1604,"['D', 'CH', 'AW']",2,CCV,"['D', 'EY', 'V']"
1605,"['D', 'JH', 'AH']",2,CCV,"['D', 'JH', 'AH']"
1606,"['D', 'JH', 'OY']",2,CCV,"['D', 'OY', 'JH']"
1607,"['D', 'JH', 'AA']",2,CCV,"['D', 'AA', 'JH']"
1608,"['D', 'JH', 'AY']",2,CCV,"['D', 'AY', 'JH']"
1609,"['D', 'JH', 'ER']",2,CCV,"['D', 'ER', 'JH']"
1610,"['D', 'JH', 'AO']",2,CCV,"['D', 'AO', 'JH']"
1611,"['D', 'JH', 'UW']",2,CCV,"['D', 'UW', 'JH']"
1612,"['D', 'JH', 'IH']",2,CCV,"['D', 'IH', 'JH']"
1613,"['D', 'JH', 'EH']",2,CCV,"['D', 'EH', 'JH']"
1614,"['D', 'JH', 'UH']",2,CCV,"['D', 'UH', 'JH']"
1615,"['D', 'JH', 'IY']",2,CCV,"['D', 'IY', 'JH']"
1616,"['D', 'JH', 'EY']",2,CCV,"['D', 'EY', 'JH']"
1617,"['D', 'JH', 'OW']",2,CCV,"['D', 'OW', 'JH']"
1618,"['D', 'JH', 'AE']",2,CCV,"['D', 'AE', 'JH']"
1619,"['D', 'JH', 'AW']",2,CCV,"['D', 'AW', 'JH']"
1620,"['D', 'M', 'AH']",3,CCV,"['D', 'M', 'AH']"
1621,"['D', 'M', 'OY']",3,CCV,"['D', 'M', 'OY']"
1622,"['D', 'M', 'AA']",3,CCV,"['D', 'M', 'AA']"
1623,"['D', 'M', 'AY']",3,CCV,"['D', 'M', 'AY']"
1624,"['D', 'M', 'ER']",3,CCV,"['D', 'M', 'ER']"
1625,"['D', 'M', 'AO']",3,CCV,"['D', 'M', 'AO']"
1626,"['D', 'M', 'UW']",3,CCV,"['D', 'M', 'UW']"
1627,"['D', 'M', 'IH']",3,CCV,"['D', 'M', 'IH']"
1628,"['D', 'M', 'EH']",3,CCV,"['D', 'M', 'EH']"
1629,"['D', 'M', 'UH']",3,CCV,"['D', 'M', 'UH']"
1630,"['D', 'M', 'IY']",3,CCV,"['D', 'M', 'IY']"
1631,"['D', 'M', 'EY']",3,CCV,"['D', 'M', 'EY']"
1632,"['D', 'M', 'OW']",3,CCV,"['D', 'M', 'OW']"
1633,"['D', 'M', 'AE']",3,CCV,"['D', 'AE', 'M']"
1634,"['D', 'M', 'AW']",3,CCV,"['D', 'M', 'AW']"
1635,"['D', 'N', 'AH']",3,CCV,"['D', 'N', 'AH']"
1636,"['D', 'N', 'OY']",3,CCV,"['D', 'OY', 'N']"
1637,"['D', 'N', 'AA']",3,CCV,"['D', 'AA', 'N']"
1638,"['D', 'N', 'AY']",3,CCV,"['D', 'AY', 'N']"
1639,"['D', 'N', 'ER']",3,CCV,"['D', 'N', 'ER']"
1640,"['D', 'N', 'AO']",3,CCV,"['D', 'AO', 'N']"
1641,"['D', 'N', 'UW']",3,CCV,"['D', 'UW', 'N']"
1642,"['D', 'N', 'IH']",3,CCV,"['D', 'IH', 'N']"
1643,"['D', 'N', 'EH']",3,CCV,"['D', 'EH', 'N']"
1644,"['D', 'N', 'UH']",3,CCV,"['D', 'UH', 'N']"
1645,"['D', 'N', 'IY']",3,CCV,"['D', 'N', 'IY']"
1646,"['D', 'N', 'EY']",3,CCV,"['D', 'EY', 'N']"
1647,"['D', 'N', 'OW']",3,CCV,"['D', 'OW', 'N']"
1648,"['D', 'N', 'AE']",3,CCV,"['D', 'AE', 'N']"
1649,"['D', 'N', 'AW']",3,CCV,"['D', 'AW', 'N']"
1650,"['D', 'NG', 'AH']",3,CCV,"['D', 'NG', '<EOS>']"
1651,"['D', 'NG', 'OY']",3,CCV,"['D', 'NG', 'OY']"
1652,"['D', 'NG', 'AA']",3,CCV,"['D', 'AA', 'NG']"
1653,"['D', 'NG', 'AY']",3,CCV,"['D', 'AY', 'NG']"
1654,"['D', 'NG', 'ER']",3,CCV,"['D', 'NG', 'ER']"
1655,"['D', 'NG', 'AO']",3,CCV,"['D', 'NG', 'AO']"
1656,"['D', 'NG', 'UW']",3,CCV,"['D', 'NG', 'UW']"
1657,"['D', 'NG', 'IH']",3,CCV,"['D', 'IH', 'NG']"
1658,"['D', 'NG', 'EH']",3,CCV,"['D', 'EH', 'NG']"
1659,"['D', 'NG', 'UH']",3,CCV,"['D', 'UH', 'NG']"
1660,"['D', 'NG', 'IY']",3,CCV,"['D', 'NG', 'IY']"
1661,"['D', 'NG', 'EY']",3,CCV,"['D', 'EY', 'NG']"
1662,"['D', 'NG', 'OW']",3,CCV,"['D', 'OW', 'NG']"
1663,"['D', 'NG', 'AE']",3,CCV,"['D', 'AE', 'NG']"
1664,"['D', 'NG', 'AW']",3,CCV,"['D', 'NG', 'AW']"
1665,"['D', 'L', 'AH']",4,CCV,"['D', 'L', 'AH']"
1666,"['D', 'L', 'OY']",4,CCV,"['D', 'L', 'OY']"
1667,"['D', 'L', 'AA']",4,CCV,"['D', 'L', 'AA']"
1668,"['D', 'L', 'AY']",4,CCV,"['D', 'L', 'AY']"
1669,"['D', 'L', 'ER']",4,CCV,"['D', 'L', 'ER']"
1670,"['D', 'L', 'AO']",4,CCV,"['D', 'L', 'AO']"
1671,"['D', 'L', 'UW']",4,CCV,"['D', 'L', 'UW']"
1672,"['D', 'L', 'IH']",4,CCV,"['D', 'L', 'IH']"
1673,"['D', 'L', 'EH']",4,CCV,"['D', 'L', 'EH']"
1674,"['D', 'L', 'UH']",4,CCV,"['D', 'L', 'UH']"
1675,"['D', 'L', 'IY']",4,CCV,"['D', 'L', 'IY']"
1676,"['D', 'L', 'EY']",4,CCV,"['D', 'L', 'EY']"
1677,"['D', 'L', 'OW']",4,CCV,"['D', 'L', 'OW']"
1678,"['D', 'L', 'AE']",4,CCV,"['D', 'L', 'AE']"
1679,"['D', 'L', 'AW']",4,CCV,"['D', 'L', 'AW']"
1680,"['D', 'R', 'AH']",4,CCV,"['D', 'R', 'AH']"
1681,"['D', 'R', 'OY']",4,CCV,"['D', 'R', 'OY']"
1682,"['D', 'R', 'AA']",4,CCV,"['D', 'R', 'AA']"
1683,"['D', 'R', 'AY']",4,CCV,"['D', 'R', 'AY']"
1684,"['D', 'R', 'ER']",4,CCV,"['D', 'R', 'ER']"
1685,"['D', 'R', 'AO']",4,CCV,"['D', 'R', 'AO']"
1686,"['D', 'R', 'UW']",4,CCV,"['D', 'R', 'UW']"
1687,"['D', 'R', 'IH']",4,CCV,"['D', 'R', 'IH']"
1688,"['D', 'R', 'EH']",4,CCV,"['D', 'R', 'EH']"
1689,"['D', 'R', 'UH']",4,CCV,"['D', 'R', 'UH']"
1690,"['D', 'R', 'IY']",4,CCV,"['D', 'R', 'IY']"
1691,"['D', 'R', 'EY']",4,CCV,"['D', 'R', 'EY']"
1692,"['D', 'R', 'OW']",4,CCV,"['D', 'R', 'OW']"
1693,"['D', 'R', 'AE']",4,CCV,"['D', 'R', 'AE']"
1694,"['D', 'R', 'AW']",4,CCV,"['D', 'R', 'AW']"
1695,"['D', 'W', 'AH']",5,CCV,"['D', 'W', 'AH']"
1696,"['D', 'W', 'OY']",5,CCV,"['D', 'W', 'OY']"
1697,"['D', 'W', 'AA']",5,CCV,"['D', 'W', 'AA']"
1698,"['D', 'W', 'AY']",5,CCV,"['D', 'W', 'AY']"
1699,"['D', 'W', 'ER']",5,CCV,"['D', 'W', 'ER']"
1700,"['D', 'W', 'AO']",5,CCV,"['D', 'W', 'AO']"
1701,"['D', 'W', 'UW']",5,CCV,"['D', 'W', 'UW']"
