,Word,Frequency,Zipf_Frequency,Part_of_Speech,Phonemes,No_Stress
5485,alike,1.35e-05,4.13,ADV,"['AH0', 'L', 'AY1', 'K']","['AH', 'L', 'AY', 'K']"
5486,applicable,1.35e-05,4.13,ADJ,"['AE1', 'P', 'L', 'AH0', 'K', 'AH0', 'B', 'AH0', 'L']","['AE', 'P', 'L', 'AH', 'K', 'AH', 'B', 'AH', 'L']"
5487,arrow,1.35e-05,4.13,NOUN,"['AE1', 'R', 'OW0']","['AE', 'R', 'OW']"
5488,availability,1.35e-05,4.13,NOUN,"['AH0', 'V', 'EY2', 'L', 'AH0', 'B', 'IH1', 'L', 'AH0', 'T', 'IY0']","['AH', 'V', 'EY', 'L', 'AH', 'B', 'IH', 'L', 'AH', 'T', 'IY']"
5489,bend,1.35e-05,4.13,VERB,"['B', 'EH1', 'N', 'D']","['B', 'EH', 'N', 'D']"
5490,boundary,1.35e-05,4.13,NOUN,"['B', 'AW1', 'N', 'D', 'ER0', 'IY0']","['B', 'AW', 'N', 'D', 'ER', 'IY']"
5491,breach,1.35e-05,4.13,NOUN,"['B', 'R', 'IY1', 'CH']","['B', 'R', 'IY', 'CH']"
5492,cabin,1.35e-05,4.13,NOUN,"['K', 'AE1', 'B', 'AH0', 'N']","['K', 'AE', 'B', 'AH', 'N']"
5493,cage,1.35e-05,4.13,NOUN,"['K', 'EY1', 'JH']","['K', 'EY', 'JH']"
5494,chancellor,1.35e-05,4.13,PROPN,"['CH', 'AE1', 'N', 'S', 'AH0', 'L', 'ER0']","['CH', 'AE', 'N', 'S', 'AH', 'L', 'ER']"
5495,cheers,1.35e-05,4.13,NOUN,"['CH', 'IH1', 'R', 'Z']","['CH', 'IH', 'R', 'Z']"
5496,circles,1.35e-05,4.13,NOUN,"['S', 'ER1', 'K', 'AH0', 'L', 'Z']","['S', 'ER', 'K', 'AH', 'L', 'Z']"
5497,closet,1.35e-05,4.13,NOUN,"['K', 'L', 'AA1', 'Z', 'AH0', 'T']","['K', 'L', 'AA', 'Z', 'AH', 'T']"
5498,combine,1.35e-05,4.13,VERB,"['K', 'AA1', 'M', 'B', 'AY0', 'N']","['K', 'AA', 'M', 'B', 'AY', 'N']"
5499,companion,1.35e-05,4.13,NOUN,"['K', 'AH0', 'M', 'P', 'AE1', 'N', 'Y', 'AH0', 'N']","['K', 'AH', 'M', 'P', 'AE', 'N', 'Y', 'AH', 'N']"
5500,comparing,1.35e-05,4.13,VERB,"['K', 'AH0', 'M', 'P', 'EH1', 'R', 'IH0', 'NG']","['K', 'AH', 'M', 'P', 'EH', 'R', 'IH', 'NG']"
5501,consciousness,1.35e-05,4.13,NOUN,"['K', 'AA1', 'N', 'SH', 'AH0', 'S', 'N', 'AH0', 'S']","['K', 'AA', 'N', 'SH', 'AH', 'S', 'N', 'AH', 'S']"
5502,consultant,1.35e-05,4.13,NOUN,"['K', 'AH0', 'N', 'S', 'AH1', 'L', 'T', 'AH0', 'N', 'T']","['K', 'AH', 'N', 'S', 'AH', 'L', 'T', 'AH', 'N', 'T']"
5503,controller,1.35e-05,4.13,NOUN,"['K', 'AH0', 'N', 'T', 'R', 'OW1', 'L', 'ER0']","['K', 'AH', 'N', 'T', 'R', 'OW', 'L', 'ER']"
5504,corresponding,1.35e-05,4.13,VERB,"['K', 'AO2', 'R', 'AH0', 'S', 'P', 'AA1', 'N', 'D', 'IH0', 'NG']","['K', 'AO', 'R', 'AH', 'S', 'P', 'AA', 'N', 'D', 'IH', 'NG']"
5505,courtesy,1.35e-05,4.13,NOUN,"['K', 'ER1', 'T', 'AH0', 'S', 'IY0']","['K', 'ER', 'T', 'AH', 'S', 'IY']"
5506,cuba,1.35e-05,4.13,PROPN,"['K', 'Y', 'UW1', 'B', 'AH0']","['K', 'Y', 'UW', 'B', 'AH']"
5507,damages,1.35e-05,4.13,NOUN,"['D', 'AE1', 'M', 'AH0', 'JH', 'AH0', 'Z']","['D', 'AE', 'M', 'AH', 'JH', 'AH', 'Z']"
5508,demanding,1.35e-05,4.13,VERB,"['D', 'IH0', 'M', 'AE1', 'N', 'D', 'IH0', 'NG']","['D', 'IH', 'M', 'AE', 'N', 'D', 'IH', 'NG']"
5509,disc,1.35e-05,4.13,NOUN,"['D', 'IH1', 'S', 'K']","['D', 'IH', 'S', 'K']"
5510,dishes,1.35e-05,4.13,NOUN,"['D', 'IH1', 'SH', 'AH0', 'Z']","['D', 'IH', 'SH', 'AH', 'Z']"
5511,dozens,1.35e-05,4.13,NOUN,"['D', 'AH1', 'Z', 'AH0', 'N', 'Z']","['D', 'AH', 'Z', 'AH', 'N', 'Z']"
5512,eagle,1.35e-05,4.13,PROPN,"['IY1', 'G', 'AH0', 'L']","['IY', 'G', 'AH', 'L']"
5513,eaten,1.35e-05,4.13,VERB,"['IY1', 'T', 'AH0', 'N']","['IY', 'T', 'AH', 'N']"
5514,embassy,1.35e-05,4.13,NOUN,"['EH1', 'M', 'B', 'AH0', 'S', 'IY0']","['EH', 'M', 'B', 'AH', 'S', 'IY']"
5515,engaging,1.35e-05,4.13,VERB,"['EH0', 'N', 'G', 'EY1', 'JH', 'IH0', 'NG']","['EH', 'N', 'G', 'EY', 'JH', 'IH', 'NG']"
5516,fascinating,1.35e-05,4.13,ADJ,"['F', 'AE1', 'S', 'AH0', 'N', 'EY2', 'T', 'IH0', 'NG']","['F', 'AE', 'S', 'AH', 'N', 'EY', 'T', 'IH', 'NG']"
5517,financing,1.35e-05,4.13,VERB,"['F', 'AH0', 'N', 'AE1', 'N', 'S', 'IH0', 'NG']","['F', 'AH', 'N', 'AE', 'N', 'S', 'IH', 'NG']"
5518,fitted,1.35e-05,4.13,VERB,"['F', 'IH1', 'T', 'AH0', 'D']","['F', 'IH', 'T', 'AH', 'D']"
5519,flexible,1.35e-05,4.13,ADJ,"['F', 'L', 'EH1', 'K', 'S', 'AH0', 'B', 'AH0', 'L']","['F', 'L', 'EH', 'K', 'S', 'AH', 'B', 'AH', 'L']"
5520,gaining,1.35e-05,4.13,VERB,"['G', 'EY1', 'N', 'IH0', 'NG']","['G', 'EY', 'N', 'IH', 'NG']"
5521,gentlemen,1.35e-05,4.13,NOUN,"['JH', 'EH1', 'N', 'T', 'AH0', 'L', 'M', 'IH0', 'N']","['JH', 'EH', 'N', 'T', 'AH', 'L', 'M', 'IH', 'N']"
5522,goodness,1.35e-05,4.13,NOUN,"['G', 'UH1', 'D', 'N', 'AH0', 'S']","['G', 'UH', 'D', 'N', 'AH', 'S']"
5523,guilt,1.35e-05,4.13,NOUN,"['G', 'IH1', 'L', 'T']","['G', 'IH', 'L', 'T']"
5524,haven,1.35e-05,4.13,NOUN,"['HH', 'EY1', 'V', 'AH0', 'N']","['HH', 'EY', 'V', 'AH', 'N']"
5525,helicopter,1.35e-05,4.13,NOUN,"['HH', 'EH1', 'L', 'IH0', 'K', 'AA2', 'P', 'T', 'ER0']","['HH', 'EH', 'L', 'IH', 'K', 'AA', 'P', 'T', 'ER']"
5526,homework,1.35e-05,4.13,NOUN,"['HH', 'OW1', 'M', 'W', 'ER2', 'K']","['HH', 'OW', 'M', 'W', 'ER', 'K']"
5527,households,1.35e-05,4.13,NOUN,"['HH', 'AW1', 'S', 'HH', 'OW2', 'L', 'D', 'Z']","['HH', 'AW', 'S', 'HH', 'OW', 'L', 'D', 'Z']"
5528,infected,1.35e-05,4.13,VERB,"['IH0', 'N', 'F', 'EH1', 'K', 'T', 'AH0', 'D']","['IH', 'N', 'F', 'EH', 'K', 'T', 'AH', 'D']"
5529,keen,1.35e-05,4.13,VERB,"['K', 'IY1', 'N']","['K', 'IY', 'N']"
5530,kenya,1.35e-05,4.13,PROPN,"['K', 'EH1', 'N', 'Y', 'AH0']","['K', 'EH', 'N', 'Y', 'AH']"
5531,lesser,1.35e-05,4.13,ADJ,"['L', 'EH1', 'S', 'ER0']","['L', 'EH', 'S', 'ER']"
5532,liberals,1.35e-05,4.13,NOUN,"['L', 'IH1', 'B', 'ER0', 'AH0', 'L', 'Z']","['L', 'IH', 'B', 'ER', 'AH', 'L', 'Z']"
5533,lip,1.35e-05,4.13,NOUN,"['L', 'IH1', 'P']","['L', 'IH', 'P']"
5534,mandatory,1.35e-05,4.13,ADJ,"['M', 'AE1', 'N', 'D', 'AH0', 'T', 'AO2', 'R', 'IY0']","['M', 'AE', 'N', 'D', 'AH', 'T', 'AO', 'R', 'IY']"
5535,manufactured,1.35e-05,4.13,VERB,"['M', 'AE2', 'N', 'Y', 'AH0', 'F', 'AE1', 'K', 'CH', 'ER0', 'D']","['M', 'AE', 'N', 'Y', 'AH', 'F', 'AE', 'K', 'CH', 'ER', 'D']"
5536,mechanics,1.35e-05,4.13,NOUN,"['M', 'AH0', 'K', 'AE1', 'N', 'IH0', 'K', 'S']","['M', 'AH', 'K', 'AE', 'N', 'IH', 'K', 'S']"
5537,mere,1.35e-05,4.13,ADJ,"['M', 'IH1', 'R']","['M', 'IH', 'R']"
5538,miracle,1.35e-05,4.13,NOUN,"['M', 'IH1', 'R', 'AH0', 'K', 'AH0', 'L']","['M', 'IH', 'R', 'AH', 'K', 'AH', 'L']"
5539,mud,1.35e-05,4.13,NOUN,"['M', 'AH1', 'D']","['M', 'AH', 'D']"
5540,murphy,1.35e-05,4.13,PROPN,"['M', 'ER1', 'F', 'IY0']","['M', 'ER', 'F', 'IY']"
5541,nathan,1.35e-05,4.13,PROPN,"['N', 'EY1', 'TH', 'AH0', 'N']","['N', 'EY', 'TH', 'AH', 'N']"
5542,observation,1.35e-05,4.13,NOUN,"['AA2', 'B', 'Z', 'ER0', 'V', 'EY1', 'SH', 'AH0', 'N']","['AA', 'B', 'Z', 'ER', 'V', 'EY', 'SH', 'AH', 'N']"
5543,operates,1.35e-05,4.13,VERB,"['AA1', 'P', 'ER0', 'EY2', 'T', 'S']","['AA', 'P', 'ER', 'EY', 'T', 'S']"
5544,owe,1.35e-05,4.13,VERB,['OW1'],['OW']
5545,permitted,1.35e-05,4.13,VERB,"['P', 'ER0', 'M', 'IH1', 'T', 'AH0', 'D']","['P', 'ER', 'M', 'IH', 'T', 'AH', 'D']"
5546,phenomenon,1.35e-05,4.13,NOUN,"['F', 'AH0', 'N', 'AA1', 'M', 'AH0', 'N', 'AA2', 'N']","['F', 'AH', 'N', 'AA', 'M', 'AH', 'N', 'AA', 'N']"
5547,pittsburgh,1.35e-05,4.13,PROPN,"['P', 'IH1', 'T', 'S', 'B', 'ER0', 'G']","['P', 'IH', 'T', 'S', 'B', 'ER', 'G']"
5548,playoff,1.35e-05,4.13,NOUN,"['P', 'L', 'EY1', 'AO2', 'F']","['P', 'L', 'EY', 'AO', 'F']"
5549,precise,1.35e-05,4.13,ADJ,"['P', 'R', 'IH0', 'S', 'AY1', 'S']","['P', 'R', 'IH', 'S', 'AY', 'S']"
5550,profession,1.35e-05,4.13,NOUN,"['P', 'R', 'AH0', 'F', 'EH1', 'SH', 'AH0', 'N']","['P', 'R', 'AH', 'F', 'EH', 'SH', 'AH', 'N']"
5551,prospect,1.35e-05,4.13,NOUN,"['P', 'R', 'AA1', 'S', 'P', 'EH0', 'K', 'T']","['P', 'R', 'AA', 'S', 'P', 'EH', 'K', 'T']"
5552,protective,1.35e-05,4.13,ADJ,"['P', 'R', 'AH0', 'T', 'EH1', 'K', 'T', 'IH0', 'V']","['P', 'R', 'AH', 'T', 'EH', 'K', 'T', 'IH', 'V']"
5553,providers,1.35e-05,4.13,NOUN,"['P', 'R', 'AH0', 'V', 'AY1', 'D', 'ER0', 'Z']","['P', 'R', 'AH', 'V', 'AY', 'D', 'ER', 'Z']"
5554,publisher,1.35e-05,4.13,NOUN,"['P', 'AH1', 'B', 'L', 'IH0', 'SH', 'ER0']","['P', 'AH', 'B', 'L', 'IH', 'SH', 'ER']"
5555,reportedly,1.35e-05,4.13,ADV,"['R', 'IH0', 'P', 'AO1', 'R', 'T', 'AH0', 'D', 'L', 'IY0']","['R', 'IH', 'P', 'AO', 'R', 'T', 'AH', 'D', 'L', 'IY']"
5556,retreat,1.35e-05,4.13,NOUN,"['R', 'IY0', 'T', 'R', 'IY1', 'T']","['R', 'IY', 'T', 'R', 'IY', 'T']"
5557,rookie,1.35e-05,4.13,NOUN,"['R', 'UH1', 'K', 'IY0']","['R', 'UH', 'K', 'IY']"
5558,sandwich,1.35e-05,4.13,NOUN,"['S', 'AE1', 'N', 'D', 'W', 'IH0', 'CH']","['S', 'AE', 'N', 'D', 'W', 'IH', 'CH']"
5559,seeks,1.35e-05,4.13,VERB,"['S', 'IY1', 'K', 'S']","['S', 'IY', 'K', 'S']"
5560,sentences,1.35e-05,4.13,NOUN,"['S', 'EH1', 'N', 'T', 'AH0', 'N', 'S', 'AH0', 'Z']","['S', 'EH', 'N', 'T', 'AH', 'N', 'S', 'AH', 'Z']"
5561,separation,1.35e-05,4.13,NOUN,"['S', 'EH2', 'P', 'ER0', 'EY1', 'SH', 'AH0', 'N']","['S', 'EH', 'P', 'ER', 'EY', 'SH', 'AH', 'N']"
5562,sexually,1.35e-05,4.13,ADV,"['S', 'EH1', 'K', 'SH', 'UW0', 'AH0', 'L', 'IY0']","['S', 'EH', 'K', 'SH', 'UW', 'AH', 'L', 'IY']"
5563,ski,1.35e-05,4.13,VERB,"['S', 'K', 'IY1']","['S', 'K', 'IY']"
5564,skilled,1.35e-05,4.13,ADJ,"['S', 'K', 'IH1', 'L', 'D']","['S', 'K', 'IH', 'L', 'D']"
5565,sterling,1.35e-05,4.13,NOUN,"['S', 'T', 'ER1', 'L', 'IH0', 'NG']","['S', 'T', 'ER', 'L', 'IH', 'NG']"
5566,stuart,1.35e-05,4.13,PROPN,"['S', 'T', 'UW1', 'ER0', 'T']","['S', 'T', 'UW', 'ER', 'T']"
5567,surgeon,1.35e-05,4.13,NOUN,"['S', 'ER1', 'JH', 'AH0', 'N']","['S', 'ER', 'JH', 'AH', 'N']"
5568,theft,1.35e-05,4.13,NOUN,"['TH', 'EH1', 'F', 'T']","['TH', 'EH', 'F', 'T']"
5569,um,1.35e-05,4.13,INTJ,"['AH1', 'M']","['AH', 'M']"
5570,understands,1.35e-05,4.13,VERB,"['AH2', 'N', 'D', 'ER0', 'S', 'T', 'AE1', 'N', 'D', 'Z']","['AH', 'N', 'D', 'ER', 'S', 'T', 'AE', 'N', 'D', 'Z']"
5571,valve,1.35e-05,4.13,NOUN,"['V', 'AE1', 'L', 'V']","['V', 'AE', 'L', 'V']"
5572,visa,1.35e-05,4.13,NOUN,"['V', 'IY1', 'Z', 'AH0']","['V', 'IY', 'Z', 'AH']"
5573,washing,1.35e-05,4.13,VERB,"['W', 'AA1', 'SH', 'IH0', 'NG']","['W', 'AA', 'SH', 'IH', 'NG']"
5574,adjacent,1.32e-05,4.12,VERB,"['AH0', 'JH', 'EY1', 'S', 'AH0', 'N', 'T']","['AH', 'JH', 'EY', 'S', 'AH', 'N', 'T']"
5575,agreements,1.32e-05,4.12,NOUN,"['AH0', 'G', 'R', 'IY1', 'M', 'AH0', 'N', 'T', 'S']","['AH', 'G', 'R', 'IY', 'M', 'AH', 'N', 'T', 'S']"
5576,appreciation,1.32e-05,4.12,NOUN,"['AH0', 'P', 'R', 'IY2', 'SH', 'IY0', 'EY1', 'SH', 'AH0', 'N']","['AH', 'P', 'R', 'IY', 'SH', 'IY', 'EY', 'SH', 'AH', 'N']"
5577,arabia,1.32e-05,4.12,PROPN,"['ER0', 'EY1', 'B', 'IY0', 'AH0']","['ER', 'EY', 'B', 'IY', 'AH']"
5578,athletic,1.32e-05,4.12,ADJ,"['AE0', 'TH', 'L', 'EH1', 'T', 'IH0', 'K']","['AE', 'TH', 'L', 'EH', 'T', 'IH', 'K']"
5579,authorized,1.32e-05,4.12,VERB,"['AO1', 'TH', 'ER0', 'AY2', 'Z', 'D']","['AO', 'TH', 'ER', 'AY', 'Z', 'D']"
5580,banner,1.32e-05,4.12,NOUN,"['B', 'AE1', 'N', 'ER0']","['B', 'AE', 'N', 'ER']"
5581,beijing,1.32e-05,4.12,PROPN,"['B', 'EY2', 'ZH', 'IH1', 'NG']","['B', 'EY', 'ZH', 'IH', 'NG']"
5582,blew,1.32e-05,4.12,VERB,"['B', 'L', 'UW1']","['B', 'L', 'UW']"
5583,blocking,1.32e-05,4.12,VERB,"['B', 'L', 'AA1', 'K', 'IH0', 'NG']","['B', 'L', 'AA', 'K', 'IH', 'NG']"
5584,brad,1.32e-05,4.12,PROPN,"['B', 'R', 'AE1', 'D']","['B', 'R', 'AE', 'D']"
5585,caribbean,1.32e-05,4.12,ADJ,"['K', 'ER0', 'IH1', 'B', 'IY0', 'AH0', 'N']","['K', 'ER', 'IH', 'B', 'IY', 'AH', 'N']"
5586,charm,1.32e-05,4.12,NOUN,"['CH', 'AA1', 'R', 'M']","['CH', 'AA', 'R', 'M']"
5587,chasing,1.32e-05,4.12,VERB,"['CH', 'EY1', 'S', 'IH0', 'NG']","['CH', 'EY', 'S', 'IH', 'NG']"
5588,climbing,1.32e-05,4.12,VERB,"['K', 'L', 'AY1', 'M', 'IH0', 'NG']","['K', 'L', 'AY', 'M', 'IH', 'NG']"
5589,colony,1.32e-05,4.12,NOUN,"['K', 'AA1', 'L', 'AH0', 'N', 'IY0']","['K', 'AA', 'L', 'AH', 'N', 'IY']"
5590,complaining,1.32e-05,4.12,VERB,"['K', 'AH0', 'M', 'P', 'L', 'EY1', 'N', 'IH0', 'NG']","['K', 'AH', 'M', 'P', 'L', 'EY', 'N', 'IH', 'NG']"
5591,cookies,1.32e-05,4.12,NOUN,"['K', 'UH1', 'K', 'IY0', 'Z']","['K', 'UH', 'K', 'IY', 'Z']"
5592,cruel,1.32e-05,4.12,ADJ,"['K', 'R', 'UW1', 'AH0', 'L']","['K', 'R', 'UW', 'AH', 'L']"
5593,curriculum,1.32e-05,4.12,NOUN,"['K', 'ER0', 'IH1', 'K', 'Y', 'AH0', 'L', 'AH0', 'M']","['K', 'ER', 'IH', 'K', 'Y', 'AH', 'L', 'AH', 'M']"
5594,deadline,1.32e-05,4.12,NOUN,"['D', 'EH1', 'D', 'L', 'AY2', 'N']","['D', 'EH', 'D', 'L', 'AY', 'N']"
5595,deer,1.32e-05,4.12,NOUN,"['D', 'IH1', 'R']","['D', 'IH', 'R']"
5596,delta,1.32e-05,4.12,NOUN,"['D', 'EH1', 'L', 'T', 'AH0']","['D', 'EH', 'L', 'T', 'AH']"
5597,demanded,1.32e-05,4.12,VERB,"['D', 'IH0', 'M', 'AE1', 'N', 'D', 'AH0', 'D']","['D', 'IH', 'M', 'AE', 'N', 'D', 'AH', 'D']"
5598,dive,1.32e-05,4.12,VERB,"['D', 'AY1', 'V']","['D', 'AY', 'V']"
5599,divide,1.32e-05,4.12,VERB,"['D', 'IH0', 'V', 'AY1', 'D']","['D', 'IH', 'V', 'AY', 'D']"
5600,easter,1.32e-05,4.12,NOUN,"['IY1', 'S', 'T', 'ER0']","['IY', 'S', 'T', 'ER']"
5601,electoral,1.32e-05,4.12,PROPN,"['IH0', 'L', 'EH1', 'K', 'T', 'ER0', 'AH0', 'L']","['IH', 'L', 'EH', 'K', 'T', 'ER', 'AH', 'L']"
5602,eleven,1.32e-05,4.12,NUM,"['IH0', 'L', 'EH1', 'V', 'AH0', 'N']","['IH', 'L', 'EH', 'V', 'AH', 'N']"
5603,entity,1.32e-05,4.12,NOUN,"['EH1', 'N', 'T', 'AH0', 'T', 'IY0']","['EH', 'N', 'T', 'AH', 'T', 'IY']"
5604,excessive,1.32e-05,4.12,ADJ,"['IH0', 'K', 'S', 'EH1', 'S', 'IH0', 'V']","['IH', 'K', 'S', 'EH', 'S', 'IH', 'V']"
5605,exercises,1.32e-05,4.12,NOUN,"['EH1', 'K', 'S', 'ER0', 'S', 'AY2', 'Z', 'AH0', 'Z']","['EH', 'K', 'S', 'ER', 'S', 'AY', 'Z', 'AH', 'Z']"
5606,feminist,1.32e-05,4.12,NOUN,"['F', 'EH1', 'M', 'AH0', 'N', 'AH0', 'S', 'T']","['F', 'EH', 'M', 'AH', 'N', 'AH', 'S', 'T']"
5607,governing,1.32e-05,4.12,VERB,"['G', 'AH1', 'V', 'ER0', 'N', 'IH0', 'NG']","['G', 'AH', 'V', 'ER', 'N', 'IH', 'NG']"
5608,ham,1.32e-05,4.12,PROPN,"['HH', 'AE1', 'M']","['HH', 'AE', 'M']"
5609,heal,1.32e-05,4.12,VERB,"['HH', 'IY1', 'L']","['HH', 'IY', 'L']"
5610,interface,1.32e-05,4.12,NOUN,"['IH1', 'N', 'T', 'ER0', 'F', 'EY2', 'S']","['IH', 'N', 'T', 'ER', 'F', 'EY', 'S']"
5611,ios,1.32e-05,4.12,PROPN,"['IY1', 'OW0', 'S']","['IY', 'OW', 'S']"
5612,jewelry,1.32e-05,4.12,NOUN,"['JH', 'UW1', 'AH0', 'L', 'R', 'IY0']","['JH', 'UW', 'AH', 'L', 'R', 'IY']"
5613,journalism,1.32e-05,4.12,NOUN,"['JH', 'ER1', 'N', 'AH0', 'L', 'IH2', 'Z', 'AH0', 'M']","['JH', 'ER', 'N', 'AH', 'L', 'IH', 'Z', 'AH', 'M']"
5614,juan,1.32e-05,4.12,PROPN,"['W', 'AA1', 'N']","['W', 'AA', 'N']"
5615,julia,1.32e-05,4.12,PROPN,"['JH', 'UW1', 'L', 'Y', 'AH0']","['JH', 'UW', 'L', 'Y', 'AH']"
5616,jungle,1.32e-05,4.12,NOUN,"['JH', 'AH1', 'NG', 'G', 'AH0', 'L']","['JH', 'AH', 'NG', 'G', 'AH', 'L']"
5617,linear,1.32e-05,4.12,NOUN,"['L', 'IH1', 'N', 'IY0', 'ER0']","['L', 'IH', 'N', 'IY', 'ER']"
5618,occasional,1.32e-05,4.12,ADJ,"['AH0', 'K', 'EY1', 'ZH', 'AH0', 'N', 'AH0', 'L']","['AH', 'K', 'EY', 'ZH', 'AH', 'N', 'AH', 'L']"
5619,oriented,1.32e-05,4.12,VERB,"['AO1', 'R', 'IY0', 'EH2', 'N', 'T', 'AH0', 'D']","['AO', 'R', 'IY', 'EH', 'N', 'T', 'AH', 'D']"
5620,pete,1.32e-05,4.12,PROPN,"['P', 'IY1', 'T']","['P', 'IY', 'T']"
5621,pilots,1.32e-05,4.12,NOUN,"['P', 'AY1', 'L', 'AH0', 'T', 'S']","['P', 'AY', 'L', 'AH', 'T', 'S']"
5622,prayers,1.32e-05,4.12,NOUN,"['P', 'R', 'EH1', 'R', 'Z']","['P', 'R', 'EH', 'R', 'Z']"
5623,predicted,1.32e-05,4.12,VERB,"['P', 'R', 'IH0', 'D', 'IH1', 'K', 'T', 'IH0', 'D']","['P', 'R', 'IH', 'D', 'IH', 'K', 'T', 'IH', 'D']"
5624,pressed,1.32e-05,4.12,VERB,"['P', 'R', 'EH1', 'S', 'T']","['P', 'R', 'EH', 'S', 'T']"
5625,preventing,1.32e-05,4.12,VERB,"['P', 'R', 'IH0', 'V', 'EH1', 'N', 'T', 'IH0', 'NG']","['P', 'R', 'IH', 'V', 'EH', 'N', 'T', 'IH', 'NG']"
5626,provisions,1.32e-05,4.12,NOUN,"['P', 'R', 'AH0', 'V', 'IH1', 'ZH', 'AH0', 'N', 'Z']","['P', 'R', 'AH', 'V', 'IH', 'ZH', 'AH', 'N', 'Z']"
5627,pursuit,1.32e-05,4.12,NOUN,"['P', 'ER0', 'S', 'UW1', 'T']","['P', 'ER', 'S', 'UW', 'T']"
5628,rap,1.32e-05,4.12,NOUN,"['R', 'AE1', 'P']","['R', 'AE', 'P']"
5629,reflected,1.32e-05,4.12,VERB,"['R', 'AH0', 'F', 'L', 'EH1', 'K', 'T', 'AH0', 'D']","['R', 'AH', 'F', 'L', 'EH', 'K', 'T', 'AH', 'D']"
5630,reminder,1.32e-05,4.12,NOUN,"['R', 'IY0', 'M', 'AY1', 'N', 'D', 'ER0']","['R', 'IY', 'M', 'AY', 'N', 'D', 'ER']"
5631,restored,1.32e-05,4.12,VERB,"['R', 'IH0', 'S', 'T', 'AO1', 'R', 'D']","['R', 'IH', 'S', 'T', 'AO', 'R', 'D']"
5632,resume,1.32e-05,4.12,VERB,"['R', 'IH0', 'Z', 'UW1', 'M']","['R', 'IH', 'Z', 'UW', 'M']"
5633,rev,1.32e-05,4.12,PROPN,"['R', 'EH1', 'V']","['R', 'EH', 'V']"
5634,richmond,1.32e-05,4.12,PROPN,"['R', 'IH1', 'CH', 'M', 'AH0', 'N', 'D']","['R', 'IH', 'CH', 'M', 'AH', 'N', 'D']"
5635,ridge,1.32e-05,4.12,PROPN,"['R', 'IH1', 'JH']","['R', 'IH', 'JH']"
5636,samsung,1.32e-05,4.12,PROPN,"['S', 'AE1', 'M', 'S', 'AH2', 'NG']","['S', 'AE', 'M', 'S', 'AH', 'NG']"
5637,scholars,1.32e-05,4.12,NOUN,"['S', 'K', 'AA1', 'L', 'ER0', 'Z']","['S', 'K', 'AA', 'L', 'ER', 'Z']"
5638,sealed,1.32e-05,4.12,VERB,"['S', 'IY1', 'L', 'D']","['S', 'IY', 'L', 'D']"
5639,sounded,1.32e-05,4.12,VERB,"['S', 'AW1', 'N', 'D', 'AH0', 'D']","['S', 'AW', 'N', 'D', 'AH', 'D']"
5640,sri,1.32e-05,4.12,PROPN,"['SH', 'R', 'IY1']","['SH', 'R', 'IY']"
5641,streams,1.32e-05,4.12,NOUN,"['S', 'T', 'R', 'IY1', 'M', 'Z']","['S', 'T', 'R', 'IY', 'M', 'Z']"
5642,strongest,1.32e-05,4.12,ADJ,"['S', 'T', 'R', 'AO1', 'NG', 'G', 'AH0', 'S', 'T']","['S', 'T', 'R', 'AO', 'NG', 'G', 'AH', 'S', 'T']"
5643,tends,1.32e-05,4.12,VERB,"['T', 'EH1', 'N', 'D', 'Z']","['T', 'EH', 'N', 'D', 'Z']"
5644,tribe,1.32e-05,4.12,NOUN,"['T', 'R', 'AY1', 'B']","['T', 'R', 'AY', 'B']"
5645,unfortunate,1.32e-05,4.12,ADJ,"['AH0', 'N', 'F', 'AO1', 'R', 'CH', 'AH0', 'N', 'AH0', 'T']","['AH', 'N', 'F', 'AO', 'R', 'CH', 'AH', 'N', 'AH', 'T']"
5646,variable,1.32e-05,4.12,NOUN,"['V', 'EH1', 'R', 'IY0', 'AH0', 'B', 'AH0', 'L']","['V', 'EH', 'R', 'IY', 'AH', 'B', 'AH', 'L']"
5647,victorian,1.32e-05,4.12,ADJ,"['V', 'IH0', 'K', 'T', 'AO1', 'R', 'IY0', 'AH0', 'N']","['V', 'IH', 'K', 'T', 'AO', 'R', 'IY', 'AH', 'N']"
5648,worrying,1.32e-05,4.12,VERB,"['W', 'ER1', 'IY0', 'IH0', 'NG']","['W', 'ER', 'IY', 'IH', 'NG']"
5649,xi,1.32e-05,4.12,PROPN,"['SH', 'IY1']","['SH', 'IY']"
5650,zones,1.32e-05,4.12,NOUN,"['Z', 'OW1', 'N', 'Z']","['Z', 'OW', 'N', 'Z']"
5651,ace,1.29e-05,4.11,NOUN,"['EY1', 'S']","['EY', 'S']"
5652,adjusted,1.29e-05,4.11,VERB,"['AH0', 'JH', 'AH1', 'S', 'T', 'AH0', 'D']","['AH', 'JH', 'AH', 'S', 'T', 'AH', 'D']"
5653,alternate,1.29e-05,4.11,VERB,"['AO1', 'L', 'T', 'ER0', 'N', 'AH0', 'T']","['AO', 'L', 'T', 'ER', 'N', 'AH', 'T']"
5654,arrives,1.29e-05,4.11,VERB,"['ER0', 'AY1', 'V', 'Z']","['ER', 'AY', 'V', 'Z']"
5655,artwork,1.29e-05,4.11,VERB,"['AA1', 'R', 'T', 'W', 'ER2', 'K']","['AA', 'R', 'T', 'W', 'ER', 'K']"
