,Word,Phonemes,No Stress,Length
4577,secianen,"['S', 'EH1', 'SH', 'AH0', 'N', 'AH0', 'N']","['S', 'EH', 'SH', 'AH', 'N', 'AH', 'N']",7
4578,embroria,"['EH0', 'M', 'B', 'R', 'AO1', 'IY0', 'AH0']","['EH', 'M', 'B', 'R', 'AO', 'IY', 'AH']",7
4606,effecul,"['EH1', 'F', 'AH0', 'K', 'Y', 'UW2', 'L']","['EH', 'F', 'AH', 'K', 'Y', 'UW', 'L']",7
4608,festomin,"['F', 'EH1', 'S', 'AH0', 'M', 'AH0', 'N']","['F', 'EH', 'S', 'AH', 'M', 'AH', 'N']",7
4616,durvican,"['D', 'ER1', 'V', 'IH0', 'K', 'AH0', 'N']","['D', 'ER', 'V', 'IH', 'K', 'AH', 'N']",7
4623,modmant,"['M', 'AA1', 'D', 'M', 'AH0', 'N', 'T']","['M', 'AA', 'D', 'M', 'AH', 'N', 'T']",7
4632,spriefor,"['S', 'P', 'R', 'IY1', 'F', 'AO0', 'R']","['S', 'P', 'R', 'IY', 'F', 'AO', 'R']",7
4644,resconbu,"['R', 'IY0', 'S', 'K', 'AH1', 'N', 'B', 'UW0']","['R', 'IY', 'S', 'K', 'AH', 'N', 'B', 'UW']",8
4653,leturelv,"['L', 'EH1', 'T', 'ER0', 'V', 'AH0', 'L']","['L', 'EH', 'T', 'ER', 'V', 'AH', 'L']",7
4659,educassi,"['IH0', 'D', 'AH2', 'K', 'AA1', 'S', 'IY0']","['IH', 'D', 'AH', 'K', 'AA', 'S', 'IY']",7
4660,paincopm,"['P', 'EY1', 'N', 'K', 'AA2', 'M', 'P']","['P', 'EY', 'N', 'K', 'AA', 'M', 'P']",7
4661,attrogra,"['AH0', 'T', 'R', 'AA1', 'G', 'R', 'AH0']","['AH', 'T', 'R', 'AA', 'G', 'R', 'AH']",7
4666,catimed,"['K', 'AE1', 'T', 'AH0', 'M', 'AY0', 'D']","['K', 'AE', 'T', 'AH', 'M', 'AY', 'D']",7
4668,worposin,"['W', 'ER1', 'P', 'AH0', 'S', 'AH0', 'N']","['W', 'ER', 'P', 'AH', 'S', 'AH', 'N']",7
4681,breatica,"['B', 'R', 'EY0', 'T', 'IY1', 'K', 'AH0']","['B', 'R', 'EY', 'T', 'IY', 'K', 'AH']",7
4682,expearie,"['IH0', 'K', 'S', 'P', 'IH1', 'R', 'IY0']","['IH', 'K', 'S', 'P', 'IH', 'R', 'IY']",7
4683,satimati,"['S', 'AE2', 'T', 'AH0', 'M', 'EY1', 'T', 'IY0']","['S', 'AE', 'T', 'AH', 'M', 'EY', 'T', 'IY']",8
4689,montomin,"['M', 'AA1', 'N', 'T', 'AH0', 'M', 'IH0', 'N']","['M', 'AA', 'N', 'T', 'AH', 'M', 'IH', 'N']",8
4694,recatete,"['R', 'IH0', 'K', 'AE1', 'T', 'AH0', 'T']","['R', 'IH', 'K', 'AE', 'T', 'AH', 'T']",7
4698,freastio,"['F', 'R', 'IY1', 'S', 'T', 'IY0', 'OW0']","['F', 'R', 'IY', 'S', 'T', 'IY', 'OW']",7
4701,comelope,"['K', 'OW1', 'M', 'AH0', 'L', 'OW2', 'P']","['K', 'OW', 'M', 'AH', 'L', 'OW', 'P']",7
4706,broterri,"['B', 'R', 'OW0', 'T', 'EH1', 'R', 'IY0']","['B', 'R', 'OW', 'T', 'EH', 'R', 'IY']",7
4709,advadard,"['AH0', 'D', 'V', 'AE1', 'D', 'ER0', 'D']","['AH', 'D', 'V', 'AE', 'D', 'ER', 'D']",7
4727,baciabur,"['B', 'EY1', 'CH', 'AH0', 'B', 'AO2', 'R']","['B', 'EY', 'CH', 'AH', 'B', 'AO', 'R']",7
4728,satual,"['S', 'AE1', 'CH', 'AH0', 'W', 'AH0', 'L']","['S', 'AE', 'CH', 'AH', 'W', 'AH', 'L']",7
4729,diarlati,"['D', 'IY0', 'AA1', 'R', 'L', 'AH0', 'T', 'IY0']","['D', 'IY', 'AA', 'R', 'L', 'AH', 'T', 'IY']",8
4739,fighamic,"['F', 'IY0', 'G', 'HH', 'AE1', 'M', 'IH0', 'K']","['F', 'IY', 'G', 'HH', 'AE', 'M', 'IH', 'K']",8
4752,baturant,"['B', 'AE1', 'T', 'UH0', 'R', 'AH0', 'N', 'T']","['B', 'AE', 'T', 'UH', 'R', 'AH', 'N', 'T']",8
4753,carkshag,"['K', 'AA1', 'R', 'K', 'SH', 'AE2', 'G']","['K', 'AA', 'R', 'K', 'SH', 'AE', 'G']",7
4761,concathi,"['K', 'AH0', 'N', 'K', 'AA1', 'TH', 'IY0']","['K', 'AH', 'N', 'K', 'AA', 'TH', 'IY']",7
4763,embilitu,"['EH0', 'M', 'B', 'IH1', 'L', 'IY0', 'AH0', 'T']","['EH', 'M', 'B', 'IH', 'L', 'IY', 'AH', 'T']",8
4767,jacrefor,"['K', 'AE1', 'K', 'R', 'IH0', 'F', 'ER0']","['K', 'AE', 'K', 'R', 'IH', 'F', 'ER']",7
4771,misposit,"['M', 'IH0', 'S', 'P', 'OW1', 'S', 'AH0', 'T']","['M', 'IH', 'S', 'P', 'OW', 'S', 'AH', 'T']",8
4772,eleciall,"['IH0', 'L', 'IY1', 'S', 'IY0', 'AH0', 'L']","['IH', 'L', 'IY', 'S', 'IY', 'AH', 'L']",7
4778,smerythi,"['S', 'M', 'EH1', 'R', 'IY0', 'TH', 'IY0']","['S', 'M', 'EH', 'R', 'IY', 'TH', 'IY']",7
4779,ancreenc,"['AE1', 'N', 'K', 'R', 'IY0', 'N', 'AH0', 'K']","['AE', 'N', 'K', 'R', 'IY', 'N', 'AH', 'K']",8
4781,enotboad,"['IH0', 'N', 'OW1', 'T', 'B', 'AO2', 'D']","['IH', 'N', 'OW', 'T', 'B', 'AO', 'D']",7
4784,angethin,"['AE1', 'NG', 'G', 'IH0', 'TH', 'IH0', 'N']","['AE', 'NG', 'G', 'IH', 'TH', 'IH', 'N']",7
4795,rehical,"['R', 'EH1', 'HH', 'IH0', 'K', 'AH0', 'L']","['R', 'EH', 'HH', 'IH', 'K', 'AH', 'L']",7
4802,cariviti,"['K', 'ER0', 'IH1', 'V', 'AH0', 'T', 'IY0']","['K', 'ER', 'IH', 'V', 'AH', 'T', 'IY']",7
4808,vehabili,"['V', 'EH2', 'HH', 'AH0', 'B', 'IH1', 'L', 'IY0']","['V', 'EH', 'HH', 'AH', 'B', 'IH', 'L', 'IY']",8
4810,brogral,"['B', 'R', 'OW1', 'G', 'R', 'AH0', 'L']","['B', 'R', 'OW', 'G', 'R', 'AH', 'L']",7
4812,orgares,"['AO0', 'R', 'G', 'AA1', 'R', 'EH0', 'S']","['AO', 'R', 'G', 'AA', 'R', 'EH', 'S']",7
4829,namsessi,"['N', 'AA0', 'M', 'S', 'EH1', 'S', 'IY0']","['N', 'AA', 'M', 'S', 'EH', 'S', 'IY']",7
4832,marmthip,"['M', 'AA1', 'R', 'M', 'TH', 'P', 'AY2', 'M']","['M', 'AA', 'R', 'M', 'TH', 'P', 'AY', 'M']",8
4842,bederisi,"['B', 'EH0', 'D', 'ER0', 'IY1', 'S', 'IY0']","['B', 'EH', 'D', 'ER', 'IY', 'S', 'IY']",7
4847,limplial,"['L', 'IH1', 'M', 'P', 'L', 'IY0', 'AH0']","['L', 'IH', 'M', 'P', 'L', 'IY', 'AH']",7
4860,michapsy,"['M', 'IH0', 'K', 'AA1', 'S', 'EH0', 'F', 'IY0']","['M', 'IH', 'K', 'AA', 'S', 'EH', 'F', 'IY']",8
4865,proviall,"['P', 'R', 'OW1', 'V', 'IY0', 'AH0', 'L']","['P', 'R', 'OW', 'V', 'IY', 'AH', 'L']",7
4870,marnespe,"['M', 'AA1', 'R', 'N', 'S', 'P', 'EY2']","['M', 'AA', 'R', 'N', 'S', 'P', 'EY']",7
4872,betestry,"['B', 'EH1', 'T', 'S', 'AH0', 'T', 'R', 'IY0']","['B', 'EH', 'T', 'S', 'AH', 'T', 'R', 'IY']",8
4874,condscra,"['K', 'AA1', 'N', 'D', 'K', 'S', 'R', 'AH0']","['K', 'AA', 'N', 'D', 'K', 'S', 'R', 'AH']",8
4876,maxings,"['M', 'AE1', 'K', 'S', 'IH0', 'NG', 'Z']","['M', 'AE', 'K', 'S', 'IH', 'NG', 'Z']",7
4887,asladiat,"['AH0', 'S', 'L', 'EY1', 'D', 'IY0', 'AH0', 'T']","['AH', 'S', 'L', 'EY', 'D', 'IY', 'AH', 'T']",8
4890,loyantio,"['L', 'OW0', 'AA0', 'N', 'IY1', 'CH', 'IY0', 'OW0']","['L', 'OW', 'AA', 'N', 'IY', 'CH', 'IY', 'OW']",8
4892,cappormi,"['K', 'AH0', 'P', 'AO1', 'R', 'M', 'IY0']","['K', 'AH', 'P', 'AO', 'R', 'M', 'IY']",7
4900,cinivila,"['S', 'IH2', 'N', 'IH0', 'V', 'IH1', 'L', 'AH0']","['S', 'IH', 'N', 'IH', 'V', 'IH', 'L', 'AH']",8
4911,fachantr,"['F', 'EY1', 'SH', 'AA2', 'N', 'T', 'ER0']","['F', 'EY', 'SH', 'AA', 'N', 'T', 'ER']",7
4918,ameryona,"['AE2', 'M', 'ER0', 'IY0', 'OW1', 'N', 'AH0']","['AE', 'M', 'ER', 'IY', 'OW', 'N', 'AH']",7
4922,extrard,"['EH1', 'K', 'S', 'T', 'R', 'AA0', 'R', 'D']","['EH', 'K', 'S', 'T', 'R', 'AA', 'R', 'D']",8
4928,hightnua,"['HH', 'IH0', 'T', 'UW1', 'N', 'Y', 'AH0']","['HH', 'IH', 'T', 'UW', 'N', 'Y', 'AH']",7
4931,fealitio,"['F', 'IY0', 'L', 'IY1', 'CH', 'IY0', 'OW0']","['F', 'IY', 'L', 'IY', 'CH', 'IY', 'OW']",7
4932,mistect,"['M', 'IH0', 'S', 'T', 'EH1', 'K', 'T']","['M', 'IH', 'S', 'T', 'EH', 'K', 'T']",7
4939,resposar,"['R', 'IY0', 'S', 'P', 'AA1', 'S', 'ER0']","['R', 'IY', 'S', 'P', 'AA', 'S', 'ER']",7
4950,pargety,"['P', 'AA1', 'R', 'JH', 'AH0', 'T', 'IY0']","['P', 'AA', 'R', 'JH', 'AH', 'T', 'IY']",7
4951,socumes,"['S', 'AA1', 'K', 'Y', 'UW2', 'M', 'Z']","['S', 'AA', 'K', 'Y', 'UW', 'M', 'Z']",7
4953,ameryons,"['AE1', 'M', 'ER0', 'Y', 'AH0', 'N', 'Z']","['AE', 'M', 'ER', 'Y', 'AH', 'N', 'Z']",7
4959,therinit,"['TH', 'EH1', 'R', 'IH0', 'N', 'IH0', 'T']","['TH', 'EH', 'R', 'IH', 'N', 'IH', 'T']",7
4974,durrotan,"['D', 'AO1', 'R', 'AH0', 'T', 'AH0', 'N']","['D', 'AO', 'R', 'AH', 'T', 'AH', 'N']",7
4977,modgetio,"['M', 'OW0', 'JH', 'EH1', 'T', 'IY0', 'OW0']","['M', 'OW', 'JH', 'EH', 'T', 'IY', 'OW']",7
4978,reprovem,"['R', 'IY0', 'P', 'R', 'UW1', 'V', 'AH0', 'M']","['R', 'IY', 'P', 'R', 'UW', 'V', 'AH', 'M']",8
4982,begimact,"['B', 'IH0', 'G', 'IH1', 'M', 'AE0', 'T']","['B', 'IH', 'G', 'IH', 'M', 'AE', 'T']",7
4990,byzancer,"['B', 'IH1', 'Z', 'AH0', 'N', 'S', 'ER0']","['B', 'IH', 'Z', 'AH', 'N', 'S', 'ER']",7
4992,ratends,"['R', 'EY1', 'T', 'AH0', 'N', 'D', 'Z']","['R', 'EY', 'T', 'AH', 'N', 'D', 'Z']",7
5005,givitude,"['G', 'IH1', 'V', 'AH0', 'T', 'UW2', 'D']","['G', 'IH', 'V', 'AH', 'T', 'UW', 'D']",7
5013,delitick,"['D', 'EH1', 'L', 'AH0', 'T', 'IH2', 'K']","['D', 'EH', 'L', 'AH', 'T', 'IH', 'K']",7
5023,amerythi,"['AH0', 'M', 'EH1', 'R', 'IH0', 'CH', 'IY0']","['AH', 'M', 'EH', 'R', 'IH', 'CH', 'IY']",7
5030,taspinch,"['T', 'AE1', 'S', 'P', 'IH0', 'N', 'CH']","['T', 'AE', 'S', 'P', 'IH', 'N', 'CH']",7
5036,eldepite,"['EH1', 'L', 'D', 'AH0', 'P', 'AY2', 'T']","['EH', 'L', 'D', 'AH', 'P', 'AY', 'T']",7
5039,voctembe,"['V', 'AA0', 'K', 'T', 'EH1', 'M', 'B', 'AH0']","['V', 'AA', 'K', 'T', 'EH', 'M', 'B', 'AH']",8
5048,telatme,"['T', 'EH1', 'L', 'T', 'M', 'EY2', 'T']","['T', 'EH', 'L', 'T', 'M', 'EY', 'T']",7
5050,sessart,"['S', 'EH1', 'S', 'T', 'AA0', 'R', 'T']","['S', 'EH', 'S', 'T', 'AA', 'R', 'T']",7
5051,sliggion,"['S', 'L', 'IH1', 'G', 'IY0', 'AH0', 'N']","['S', 'L', 'IH', 'G', 'IY', 'AH', 'N']",7
5052,glayerda,"['G', 'L', 'EY0', 'Y', 'EH1', 'R', 'D', 'AH0']","['G', 'L', 'EY', 'Y', 'EH', 'R', 'D', 'AH']",8
5061,sinuiren,"['S', 'AY1', 'N', 'W', 'EH0', 'R', 'N']","['S', 'AY', 'N', 'W', 'EH', 'R', 'N']",7
5064,fuccest,"['F', 'Y', 'UW1', 'S', 'T', 'EH0', 'K']","['F', 'Y', 'UW', 'S', 'T', 'EH', 'K']",7
5065,trestry,"['T', 'R', 'EH1', 'S', 'T', 'R', 'IY0']","['T', 'R', 'EH', 'S', 'T', 'R', 'IY']",7
5066,hartica,"['HH', 'AA1', 'R', 'T', 'IH0', 'K', 'AH0']","['HH', 'AA', 'R', 'T', 'IH', 'K', 'AH']",7
5072,anywaric,"['AE2', 'N', 'W', 'IY0', 'EH1', 'R', 'IH0', 'K']","['AE', 'N', 'W', 'IY', 'EH', 'R', 'IH', 'K']",8
5077,metuarib,"['M', 'EH2', 'T', 'UW0', 'AA1', 'R', 'B', 'IY0']","['M', 'EH', 'T', 'UW', 'AA', 'R', 'B', 'IY']",8
5082,hantifie,"['HH', 'AE1', 'N', 'T', 'AH0', 'F', 'AY2']","['HH', 'AE', 'N', 'T', 'AH', 'F', 'AY']",7
5084,wantecti,"['W', 'AA0', 'N', 'T', 'EH1', 'K', 'T', 'IY0']","['W', 'AA', 'N', 'T', 'EH', 'K', 'T', 'IY']",8
5085,useffite,"['Y', 'UW1', 'S', 'AH0', 'F', 'T', 'AY2', 'T']","['Y', 'UW', 'S', 'AH', 'F', 'T', 'AY', 'T']",8
5095,yourcial,"['Y', 'UH1', 'R', 'S', 'IY0', 'AH0', 'L']","['Y', 'UH', 'R', 'S', 'IY', 'AH', 'L']",7
5111,creself,"['K', 'R', 'EH1', 'S', 'AH0', 'L', 'F']","['K', 'R', 'EH', 'S', 'AH', 'L', 'F']",7
5127,recomidu,"['R', 'IH0', 'K', 'AH1', 'M', 'AH0', 'D', 'UW2']","['R', 'IH', 'K', 'AH', 'M', 'AH', 'D', 'UW']",8
5134,whassidu,"['HH', 'AH0', 'S', 'IH1', 'D', 'UW2', 'AH0', 'M']","['HH', 'AH', 'S', 'IH', 'D', 'UW', 'AH', 'M']",8
5135,orgarall,"['AO0', 'R', 'G', 'AA1', 'R', 'AH0', 'L']","['AO', 'R', 'G', 'AA', 'R', 'AH', 'L']",7
5140,slinchin,"['S', 'L', 'IH1', 'N', 'K', 'IH0', 'N']","['S', 'L', 'IH', 'N', 'K', 'IH', 'N']",7
5160,agenipli,"['AH0', 'JH', 'EH1', 'N', 'AH0', 'P', 'L', 'IY0']","['AH', 'JH', 'EH', 'N', 'AH', 'P', 'L', 'IY']",8
5161,novealic,"['N', 'OW0', 'V', 'AE1', 'L', 'IH0', 'K']","['N', 'OW', 'V', 'AE', 'L', 'IH', 'K']",7
5162,stormor,"['S', 'T', 'AO1', 'R', 'M', 'AO2', 'R']","['S', 'T', 'AO', 'R', 'M', 'AO', 'R']",7
5172,zioloman,"['Z', 'AY1', 'AH0', 'L', 'AH0', 'M', 'AH0', 'N']","['Z', 'AY', 'AH', 'L', 'AH', 'M', 'AH', 'N']",8
5173,commalig,"['K', 'AA1', 'M', 'AH0', 'L', 'IH0', 'JH']","['K', 'AA', 'M', 'AH', 'L', 'IH', 'JH']",7
5182,billecti,"['B', 'IH0', 'L', 'EH1', 'K', 'T', 'IY0']","['B', 'IH', 'L', 'EH', 'K', 'T', 'IY']",7
5193,chocenta,"['CH', 'OW0', 'S', 'EH1', 'N', 'T', 'AH0']","['CH', 'OW', 'S', 'EH', 'N', 'T', 'AH']",7
5199,fignibly,"['F', 'IH1', 'G', 'N', 'AH0', 'B', 'L', 'IY0']","['F', 'IH', 'G', 'N', 'AH', 'B', 'L', 'IY']",8
5211,enditare,"['EH1', 'N', 'D', 'AH0', 'T', 'EH2', 'R']","['EH', 'N', 'D', 'AH', 'T', 'EH', 'R']",7
5217,ranalry,"['R', 'AE1', 'N', 'AH0', 'L', 'R', 'IY0']","['R', 'AE', 'N', 'AH', 'L', 'R', 'IY']",7
5225,jospitim,"['JH', 'AA1', 'S', 'P', 'IH0', 'T', 'IH2', 'T']","['JH', 'AA', 'S', 'P', 'IH', 'T', 'IH', 'T']",8
5226,jagetain,"['JH', 'AE1', 'JH', 'AH0', 'T', 'AH0', 'N']","['JH', 'AE', 'JH', 'AH', 'T', 'AH', 'N']",7
5227,bittomit,"['B', 'IH1', 'T', 'AH0', 'M', 'AH0', 'T']","['B', 'IH', 'T', 'AH', 'M', 'AH', 'T']",7
5228,fruselve,"['F', 'R', 'UW1', 'S', 'EH1', 'L', 'V']","['F', 'R', 'UW', 'S', 'EH', 'L', 'V']",7
5236,pancessi,"['P', 'AA0', 'N', 'CH', 'EH1', 'S', 'IY0']","['P', 'AA', 'N', 'CH', 'EH', 'S', 'IY']",7
5237,univan,"['Y', 'UW1', 'N', 'IH0', 'V', 'AE2', 'N']","['Y', 'UW', 'N', 'IH', 'V', 'AE', 'N']",7
5247,regartal,"['R', 'IH0', 'G', 'AA1', 'R', 'T', 'AH0', 'L']","['R', 'IH', 'G', 'AA', 'R', 'T', 'AH', 'L']",8
5272,discred,"['D', 'IH1', 'S', 'K', 'R', 'IH0', 'D']","['D', 'IH', 'S', 'K', 'R', 'IH', 'D']",7
5273,ghetissis,"['G', 'AH0', 'T', 'IH1', 'S', 'AH0', 'S']","['G', 'AH', 'T', 'IH', 'S', 'AH', 'S']",7
5276,matione,"['M', 'AA0', 'T', 'IY0', 'OW1', 'N', 'IY0']","['M', 'AA', 'T', 'IY', 'OW', 'N', 'IY']",7
5278,bremseado,"['B', 'R', 'EH0', 'M', 'S', 'IY1', 'D', 'OW0']","['B', 'R', 'EH', 'M', 'S', 'IY', 'D', 'OW']",8
5280,adveratio,"['AE2', 'D', 'V', 'R', 'EY1', 'T', 'IY0']","['AE', 'D', 'V', 'R', 'EY', 'T', 'IY']",7
5281,denossas,"['D', 'IH0', 'N', 'OW1', 'S', 'AH0', 'S']","['D', 'IH', 'N', 'OW', 'S', 'AH', 'S']",7
5288,telliamen,"['T', 'EH1', 'L', 'IY0', 'AH0', 'M', 'AH0', 'N']","['T', 'EH', 'L', 'IY', 'AH', 'M', 'AH', 'N']",8
5297,ordnetan,"['AO0', 'R', 'D', 'N', 'EH1', 'T', 'AH0', 'N']","['AO', 'R', 'D', 'N', 'EH', 'T', 'AH', 'N']",8
5298,pictort,"['P', 'IH1', 'K', 'T', 'AO2', 'R', 'T']","['P', 'IH', 'K', 'T', 'AO', 'R', 'T']",7
5306,sighlielt,"['S', 'IH1', 'G', 'L', 'IY0', 'AH0', 'T']","['S', 'IH', 'G', 'L', 'IY', 'AH', 'T']",7
5311,bustureld,"['B', 'AH1', 'S', 'CH', 'ER0', 'AH0', 'L', 'D']","['B', 'AH', 'S', 'CH', 'ER', 'AH', 'L', 'D']",8
5320,quildin,"['K', 'W', 'IH1', 'L', 'D', 'IH0', 'N']","['K', 'W', 'IH', 'L', 'D', 'IH', 'N']",7
5326,elexan,"['EH1', 'L', 'AH0', 'S', 'K', 'AE2', 'N']","['EH', 'L', 'AH', 'S', 'K', 'AE', 'N']",7
5327,deventute,"['D', 'EH1', 'V', 'AH0', 'N', 'T', 'UW2', 'T']","['D', 'EH', 'V', 'AH', 'N', 'T', 'UW', 'T']",8
5335,surcuity,"['S', 'ER0', 'K', 'W', 'EY1', 'S', 'T', 'IY0']","['S', 'ER', 'K', 'W', 'EY', 'S', 'T', 'IY']",8
5342,opiksones,"['OW1', 'P', 'AH0', 'K', 'S', 'OW2', 'N', 'Z']","['OW', 'P', 'AH', 'K', 'S', 'OW', 'N', 'Z']",8
5344,abanstall,"['AH0', 'B', 'AE1', 'N', 'S', 'T', 'AH0', 'L']","['AH', 'B', 'AE', 'N', 'S', 'T', 'AH', 'L']",8
5351,typortude,"['T', 'AY1', 'P', 'ER0', 'T', 'UW2', 'D']","['T', 'AY', 'P', 'ER', 'T', 'UW', 'D']",7
5352,dipormans,"['D', 'IH1', 'P', 'ER0', 'M', 'AH0', 'N', 'Z']","['D', 'IH', 'P', 'ER', 'M', 'AH', 'N', 'Z']",8
5359,opectry,"['OW1', 'P', 'AH0', 'K', 'T', 'R', 'IY0']","['OW', 'P', 'AH', 'K', 'T', 'R', 'IY']",7
5360,islamized,"['IH1', 'S', 'L', 'AH0', 'M', 'AY2', 'Z', 'D']","['IH', 'S', 'L', 'AH', 'M', 'AY', 'Z', 'D']",8
5370,poplage,"['P', 'AA1', 'P', 'AH0', 'L', 'IH0', 'JH']","['P', 'AA', 'P', 'AH', 'L', 'IH', 'JH']",7
5372,littocold,"['L', 'IH1', 'T', 'AH0', 'K', 'AH0', 'L', 'D']","['L', 'IH', 'T', 'AH', 'K', 'AH', 'L', 'D']",8
5375,kilmeforh,"['K', 'IH1', 'L', 'M', 'AH0', 'F', 'AO2', 'R']","['K', 'IH', 'L', 'M', 'AH', 'F', 'AO', 'R']",8
5376,typitimes,"['T', 'IH1', 'P', 'AH0', 'T', 'AY2', 'M', 'Z']","['T', 'IH', 'P', 'AH', 'T', 'AY', 'M', 'Z']",8
5379,enoundant,"['EH0', 'N', 'AW1', 'N', 'D', 'AH0', 'N', 'T']","['EH', 'N', 'AW', 'N', 'D', 'AH', 'N', 'T']",8
5381,govests,"['G', 'OW1', 'V', 'IH0', 'S', 'T', 'S']","['G', 'OW', 'V', 'IH', 'S', 'T', 'S']",7
5382,hiscuter,"['HH', 'IH1', 'S', 'K', 'Y', 'UW2', 'T', 'ER0']","['HH', 'IH', 'S', 'K', 'Y', 'UW', 'T', 'ER']",8
5393,placklenc,"['P', 'AE1', 'L', 'K', 'AH0', 'NG', 'K']","['P', 'AE', 'L', 'K', 'AH', 'NG', 'K']",7
5396,idenioned,"['AY0', 'D', 'IY1', 'N', 'Y', 'AH0', 'N', 'D']","['AY', 'D', 'IY', 'N', 'Y', 'AH', 'N', 'D']",8
5397,locinst,"['L', 'OW1', 'S', 'IH0', 'N', 'S', 'T']","['L', 'OW', 'S', 'IH', 'N', 'S', 'T']",7
5411,weeldhon,"['W', 'IY1', 'L', 'HH', 'HH', 'AH0', 'N', 'D']","['W', 'IY', 'L', 'HH', 'HH', 'AH', 'N', 'D']",8
5415,idestary,"['AY1', 'D', 'S', 'T', 'EH2', 'R', 'IY0']","['AY', 'D', 'S', 'T', 'EH', 'R', 'IY']",7
5420,cloballis,"['K', 'L', 'AA1', 'B', 'AH0', 'L', 'IH0', 'S']","['K', 'L', 'AA', 'B', 'AH', 'L', 'IH', 'S']",8
5423,doluming,"['D', 'AA1', 'L', 'AH0', 'M', 'IH0', 'NG']","['D', 'AA', 'L', 'AH', 'M', 'IH', 'NG']",7
5428,fuesent,"['F', 'Y', 'UW1', 'Z', 'AH0', 'N', 'T']","['F', 'Y', 'UW', 'Z', 'AH', 'N', 'T']",7
5433,sextect,"['S', 'EH1', 'K', 'S', 'T', 'EH2', 'K', 'T']","['S', 'EH', 'K', 'S', 'T', 'EH', 'K', 'T']",8
5435,ressasibl,"['R', 'IH0', 'S', 'AE1', 'S', 'B', 'AH0', 'L']","['R', 'IH', 'S', 'AE', 'S', 'B', 'AH', 'L']",8
5436,roboden,"['R', 'AA1', 'B', 'AH0', 'D', 'AH0', 'N']","['R', 'AA', 'B', 'AH', 'D', 'AH', 'N']",7
5437,getrectoo,"['G', 'EH0', 'T', 'R', 'EH1', 'K', 'T', 'OW0']","['G', 'EH', 'T', 'R', 'EH', 'K', 'T', 'OW']",8
5439,dintext,"['D', 'IH1', 'N', 'T', 'EH2', 'K', 'S', 'T']","['D', 'IH', 'N', 'T', 'EH', 'K', 'S', 'T']",8
5442,mormits,"['M', 'AO1', 'R', 'M', 'IH0', 'T', 'S']","['M', 'AO', 'R', 'M', 'IH', 'T', 'S']",7
5443,numociona,"['N', 'UW0', 'M', 'OW0', 'S', 'IY1', 'N', 'AH0']","['N', 'UW', 'M', 'OW', 'S', 'IY', 'N', 'AH']",8
5444,lissromou,"['L', 'IH1', 'S', 'R', 'AH0', 'M', 'UW2']","['L', 'IH', 'S', 'R', 'AH', 'M', 'UW']",7
5476,winnitic,"['W', 'IH1', 'N', 'IH0', 'T', 'IH0', 'K']","['W', 'IH', 'N', 'IH', 'T', 'IH', 'K']",7
5478,flonomy,"['F', 'L', 'AA1', 'N', 'AH0', 'M', 'IY0']","['F', 'L', 'AA', 'N', 'AH', 'M', 'IY']",7
5481,alrehom,"['AE1', 'L', 'R', 'IH0', 'HH', 'AA0', 'M']","['AE', 'L', 'R', 'IH', 'HH', 'AA', 'M']",7
5483,israident,"['IH2', 'S', 'R', 'AY0', 'D', 'EY1', 'N', 'T']","['IH', 'S', 'R', 'AY', 'D', 'EY', 'N', 'T']",8
5489,littlitin,"['L', 'IH1', 'T', 'AH0', 'L', 'T', 'IH0', 'N']","['L', 'IH', 'T', 'AH', 'L', 'T', 'IH', 'N']",8
5490,surpormas,"['S', 'ER0', 'P', 'AO1', 'R', 'M', 'AH0', 'Z']","['S', 'ER', 'P', 'AO', 'R', 'M', 'AH', 'Z']",8
5501,uneasic,"['Y', 'UW2', 'N', 'IY1', 'S', 'IH0', 'K']","['Y', 'UW', 'N', 'IY', 'S', 'IH', 'K']",7
5503,hartoonai,"['HH', 'AA0', 'R', 'T', 'UW0', 'N', 'OY1']","['HH', 'AA', 'R', 'T', 'UW', 'N', 'OY']",7
5505,talkinsit,"['T', 'AO1', 'K', 'L', 'IH1', 'N', 'S', 'T']","['T', 'AO', 'K', 'L', 'IH', 'N', 'S', 'T']",8
5507,famplinly,"['F', 'AE1', 'M', 'P', 'L', 'IH0', 'N', 'IY0']","['F', 'AE', 'M', 'P', 'L', 'IH', 'N', 'IY']",8
5508,franspher,"['F', 'R', 'AE1', 'N', 'S', 'F', 'ER0']","['F', 'R', 'AE', 'N', 'S', 'F', 'ER']",7
5509,estaball,"['EH0', 'S', 'T', 'AE1', 'B', 'AH0', 'L']","['EH', 'S', 'T', 'AE', 'B', 'AH', 'L']",7
5515,deactly,"['D', 'IY1', 'CH', 'AH0', 'T', 'L', 'IY0']","['D', 'IY', 'CH', 'AH', 'T', 'L', 'IY']",7
5519,spectinge,"['S', 'P', 'EH1', 'K', 'T', 'IH0', 'NG']","['S', 'P', 'EH', 'K', 'T', 'IH', 'NG']",7
5523,travingto,"['T', 'R', 'AH0', 'V', 'IH1', 'NG', 'T', 'OW0']","['T', 'R', 'AH', 'V', 'IH', 'NG', 'T', 'OW']",8
5535,crepand,"['K', 'R', 'IY1', 'P', 'AH0', 'N', 'D']","['K', 'R', 'IY', 'P', 'AH', 'N', 'D']",7
5538,agairstin,"['AE1', 'G', 'ER0', 'S', 'T', 'IH2', 'N']","['AE', 'G', 'ER', 'S', 'T', 'IH', 'N']",7
