,Word,Phonemes,No Stress,Length
3579,febanti,"['F', 'EH0', 'B', 'AE1', 'N', 'T', 'IY0']","['F', 'EH', 'B', 'AE', 'N', 'T', 'IY']",7
3582,audices,"['AO1', 'D', 'IH0', 'S', 'AH0', 'Z']","['AO', 'D', 'IH', 'S', 'AH', 'Z']",6
3583,patiety,"['P', 'AE1', 'SH', 'AH0', 'T', 'IY0']","['P', 'AE', 'SH', 'AH', 'T', 'IY']",6
3584,jervici,"['JH', 'ER0', 'V', 'IY1', 'S', 'IY0']","['JH', 'ER', 'V', 'IY', 'S', 'IY']",6
3586,inticin,"['IH1', 'N', 'T', 'IH0', 'S', 'IH0', 'N']","['IH', 'N', 'T', 'IH', 'S', 'IH', 'N']",7
3587,micordi,"['M', 'AY0', 'K', 'AO1', 'R', 'D', 'IY0']","['M', 'AY', 'K', 'AO', 'R', 'D', 'IY']",7
3591,dissiam,"['D', 'IH1', 'S', 'IY0', 'AH0', 'M']","['D', 'IH', 'S', 'IY', 'AH', 'M']",6
3592,morkety,"['M', 'AO1', 'R', 'K', 'AH0', 'T', 'IY0']","['M', 'AO', 'R', 'K', 'AH', 'T', 'IY']",7
3593,aniquay,"['AE1', 'N', 'IH0', 'K', 'W', 'EY2']","['AE', 'N', 'IH', 'K', 'W', 'EY']",6
3594,chandev,"['CH', 'AE1', 'N', 'D', 'AH0', 'V']","['CH', 'AE', 'N', 'D', 'AH', 'V']",6
3596,somewic,"['S', 'AH1', 'M', 'W', 'IH2', 'K']","['S', 'AH', 'M', 'W', 'IH', 'K']",6
3597,camitor,"['K', 'AE1', 'M', 'IH0', 'T', 'ER0']","['K', 'AE', 'M', 'IH', 'T', 'ER']",6
3598,zomily,"['Z', 'AA1', 'M', 'AH0', 'L', 'IY0']","['Z', 'AA', 'M', 'AH', 'L', 'IY']",6
3599,opentry,"['OW1', 'P', 'AH0', 'N', 'T', 'R', 'IY0']","['OW', 'P', 'AH', 'N', 'T', 'R', 'IY']",7
3600,proween,"['P', 'R', 'OW0', 'IY1', 'V', 'N']","['P', 'R', 'OW', 'IY', 'V', 'N']",6
3602,wheatra,"['W', 'IY1', 'T', 'R', 'AH0']","['W', 'IY', 'T', 'R', 'AH']",5
3603,patioug,"['P', 'AE1', 'T', 'IY0', 'AO0', 'JH']","['P', 'AE', 'T', 'IY', 'AO', 'JH']",6
3604,rananut,"['R', 'AE1', 'N', 'AH0', 'N', 'AH2', 'T']","['R', 'AE', 'N', 'AH', 'N', 'AH', 'T']",7
3606,amoteat,"['AH0', 'M', 'OW1', 'T', 'IY0', 'AH0']","['AH', 'M', 'OW', 'T', 'IY', 'AH']",6
3607,simpanc,"['S', 'IH1', 'M', 'P', 'AE0', 'NG', 'K']","['S', 'IH', 'M', 'P', 'AE', 'NG', 'K']",7
3609,pressio,"['P', 'R', 'EH1', 'SH', 'IY0', 'OW0']","['P', 'R', 'EH', 'SH', 'IY', 'OW']",6
3611,votoin,"['V', 'OW0', 'T', 'OW1', 'N', 'IH0', 'N']","['V', 'OW', 'T', 'OW', 'N', 'IH', 'N']",7
3616,eitiort,"['AY1', 'T', 'IY0', 'ER0', 'T']","['AY', 'T', 'IY', 'ER', 'T']",5
3619,rompori,"['R', 'AA0', 'M', 'P', 'AO1', 'R', 'IY0']","['R', 'AA', 'M', 'P', 'AO', 'R', 'IY']",7
3621,knound,"['N', 'AW1', 'N', 'D']","['N', 'AW', 'N', 'D']",4
3623,permals,"['P', 'ER1', 'M', 'AH0', 'L', 'Z']","['P', 'ER', 'M', 'AH', 'L', 'Z']",6
3626,asseupt,"['AH0', 'S', 'UW1', 'P', 'T']","['AH', 'S', 'UW', 'P', 'T']",5
3627,fachere,"['F', 'AE1', 'K', 'ER0']","['F', 'AE', 'K', 'ER']",4
3628,thowthi,"['TH', 'AW1', 'T', 'IY0']","['TH', 'AW', 'T', 'IY']",4
3635,stylude,"['S', 'T', 'AY1', 'L', 'D', 'UW2', 'D']","['S', 'T', 'AY', 'L', 'D', 'UW', 'D']",7
3638,usuarip,"['Y', 'UW1', 'S', 'AH0', 'W', 'ER0', 'IH0', 'NG']","['Y', 'UW', 'S', 'AH', 'W', 'ER', 'IH', 'NG']",8
3639,scienso,"['S', 'IY0', 'EH1', 'N', 'S', 'OW0']","['S', 'IY', 'EH', 'N', 'S', 'OW']",6
3647,delerna,"['D', 'IH0', 'L', 'EH1', 'R', 'N', 'AH0']","['D', 'IH', 'L', 'EH', 'R', 'N', 'AH']",7
3652,cembern,"['S', 'EH1', 'M', 'B', 'ER0', 'N']","['S', 'EH', 'M', 'B', 'ER', 'N']",6
3653,cocily,"['K', 'OW1', 'S', 'AH0', 'L', 'IY0']","['K', 'OW', 'S', 'AH', 'L', 'IY']",6
3655,acquesd,"['EY1', 'K', 'W', 'EH2', 'S', 'T']","['EY', 'K', 'W', 'EH', 'S', 'T']",6
3656,sodical,"['S', 'AA1', 'D', 'AH0', 'K', 'AH0', 'L']","['S', 'AA', 'D', 'AH', 'K', 'AH', 'L']",7
3658,miseady,"['M', 'IH0', 'S', 'IY1', 'D', 'IY0']","['M', 'IH', 'S', 'IY', 'D', 'IY']",6
3659,tesocra,"['T', 'EH2', 'S', 'AH0', 'K', 'R', 'IY1', 'AH0']","['T', 'EH', 'S', 'AH', 'K', 'R', 'IY', 'AH']",8
3662,wederol,"['W', 'EH1', 'D', 'ER0', 'AO2', 'L']","['W', 'EH', 'D', 'ER', 'AO', 'L']",6
3663,consing,"['K', 'AA1', 'N', 'S', 'IH0', 'NG']","['K', 'AA', 'N', 'S', 'IH', 'NG']",6
3664,opecue,"['OW1', 'P', 'CH', 'UW0', 'K']","['OW', 'P', 'CH', 'UW', 'K']",5
3665,worric,"['W', 'ER1', 'IH0', 'K']","['W', 'ER', 'IH', 'K']",4
3666,peoplic,"['P', 'IY1', 'P', 'AH0', 'L', 'IH0', 'K']","['P', 'IY', 'P', 'AH', 'L', 'IH', 'K']",7
3667,slonsli,"['S', 'L', 'AA1', 'N', 'L', 'IY0']","['S', 'L', 'AA', 'N', 'L', 'IY']",6
3668,everyth,"['EH1', 'V', 'R', 'IY0', 'TH']","['EH', 'V', 'R', 'IY', 'TH']",5
3669,fightio,"['F', 'AY1', 'T', 'IY0', 'OW0']","['F', 'AY', 'T', 'IY', 'OW']",5
3677,explion,"['IH0', 'K', 'S', 'P', 'L', 'IY1', 'AH0', 'N']","['IH', 'K', 'S', 'P', 'L', 'IY', 'AH', 'N']",8
3678,stansol,"['S', 'T', 'AE1', 'N', 'S', 'AH0', 'L']","['S', 'T', 'AE', 'N', 'S', 'AH', 'L']",7
3682,winagen,"['W', 'IH1', 'N', 'AH0', 'JH', 'AH0', 'N']","['W', 'IH', 'N', 'AH', 'JH', 'AH', 'N']",7
3683,ordisti,"['AO0', 'R', 'D', 'IH1', 'S', 'T', 'IY0']","['AO', 'R', 'D', 'IH', 'S', 'T', 'IY']",7
3685,stancia,"['S', 'T', 'AE1', 'N', 'S', 'IY0', 'AH0']","['S', 'T', 'AE', 'N', 'S', 'IY', 'AH']",7
3690,caluela,"['K', 'AA0', 'L', 'UW1', 'Y', 'AH0', 'L']","['K', 'AA', 'L', 'UW', 'Y', 'AH', 'L']",7
3691,broween,"['B', 'R', 'OW1', 'W', 'EH0', 'N']","['B', 'R', 'OW', 'W', 'EH', 'N']",6
3693,purough,"['P', 'UH1', 'R', 'AW0']","['P', 'UH', 'R', 'AW']",4
3697,onlatin,"['AA1', 'N', 'L', 'AH0', 'T', 'AH0', 'N']","['AA', 'N', 'L', 'AH', 'T', 'AH', 'N']",7
3698,resulab,"['R', 'EH1', 'S', 'AH0', 'L', 'AH0', 'B']","['R', 'EH', 'S', 'AH', 'L', 'AH', 'B']",7
3699,alreemi,"['AA0', 'L', 'R', 'EH1', 'M', 'IY0']","['AA', 'L', 'R', 'EH', 'M', 'IY']",6
3700,higuld,"['HH', 'AY1', 'G', 'AH0', 'L', 'D']","['HH', 'AY', 'G', 'AH', 'L', 'D']",6
3702,wantroy,"['W', 'AA1', 'N', 'T', 'R', 'OY2']","['W', 'AA', 'N', 'T', 'R', 'OY']",6
3704,plepit,"['P', 'L', 'EH1', 'P', 'IH0', 'T']","['P', 'L', 'EH', 'P', 'IH', 'T']",6
3706,hamanbe,"['HH', 'AH0', 'M', 'AE1', 'N', 'B', 'IY0']","['HH', 'AH', 'M', 'AE', 'N', 'B', 'IY']",7
3710,indifor,"['IH1', 'N', 'D', 'IH0', 'F', 'ER0']","['IH', 'N', 'D', 'IH', 'F', 'ER']",6
3711,brovelf,"['B', 'R', 'OW1', 'V', 'L', 'IH0', 'F']","['B', 'R', 'OW', 'V', 'L', 'IH', 'F']",7
3712,syntain,"['S', 'IH0', 'N', 'T', 'EY1', 'N']","['S', 'IH', 'N', 'T', 'EY', 'N']",6
3714,cootany,"['K', 'UW1', 'T', 'AA2', 'N', 'IY0']","['K', 'UW', 'T', 'AA', 'N', 'IY']",6
3715,antegor,"['AE1', 'N', 'T', 'AH0', 'G', 'AO2', 'R']","['AE', 'N', 'T', 'AH', 'G', 'AO', 'R']",7
3723,pedust,"['P', 'EH1', 'D', 'AH0', 'S', 'T']","['P', 'EH', 'D', 'AH', 'S', 'T']",6
3724,moncat,"['M', 'AA1', 'N', 'K', 'AE0', 'T']","['M', 'AA', 'N', 'K', 'AE', 'T']",6
3727,miscuti,"['M', 'IH0', 'S', 'K', 'UW1', 'T', 'IY0']","['M', 'IH', 'S', 'K', 'UW', 'T', 'IY']",7
3728,stratio,"['S', 'T', 'R', 'EY1', 'T', 'IY0', 'OW0']","['S', 'T', 'R', 'EY', 'T', 'IY', 'OW']",7
3729,vilieve,"['V', 'IY0', 'L', 'IY1', 'V', 'IY0']","['V', 'IY', 'L', 'IY', 'V', 'IY']",6
3731,nummana,"['N', 'UW0', 'M', 'AA1', 'N', 'AH0']","['N', 'UW', 'M', 'AA', 'N', 'AH']",6
3732,grovion,"['G', 'R', 'OW1', 'V', 'IY0', 'AH0', 'N']","['G', 'R', 'OW', 'V', 'IY', 'AH', 'N']",7
3734,gettlat,"['G', 'EH1', 'T', 'T', 'AH0', 'L']","['G', 'EH', 'T', 'T', 'AH', 'L']",6
3735,tastori,"['T', 'AA0', 'S', 'T', 'AO1', 'R', 'IY0']","['T', 'AA', 'S', 'T', 'AO', 'R', 'IY']",7
3737,natervi,"['N', 'AA0', 'T', 'ER1', 'V']","['N', 'AA', 'T', 'ER', 'V']",5
3741,smothdo,"['S', 'M', 'AA1', 'TH', 'D', 'OW0']","['S', 'M', 'AA', 'TH', 'D', 'OW']",6
3743,appore,"['AH0', 'P', 'AO1', 'R']","['AH', 'P', 'AO', 'R']",4
3746,becorti,"['B', 'EH0', 'K', 'AO1', 'R', 'IY0']","['B', 'EH', 'K', 'AO', 'R', 'IY']",6
3747,virroid,"['V', 'IH1', 'R', 'OY0', 'D']","['V', 'IH', 'R', 'OY', 'D']",5
3748,washwar,"['W', 'AA1', 'SH', 'W', 'ER2']","['W', 'AA', 'SH', 'W', 'ER']",5
3752,dialle,"['D', 'AY0', 'AE1', 'L']","['D', 'AY', 'AE', 'L']",4
3753,equissi,"['IH0', 'K', 'W', 'IY1', 'S', 'IY0']","['IH', 'K', 'W', 'IY', 'S', 'IY']",6
3755,gravide,"['G', 'R', 'AE1', 'V', 'IH0', 'D']","['G', 'R', 'AE', 'V', 'IH', 'D']",6
3756,conthed,"['K', 'AA1', 'N', 'TH', 'AH0', 'D']","['K', 'AA', 'N', 'TH', 'AH', 'D']",6
3758,recorma,"['R', 'IY0', 'K', 'AO1', 'R', 'M', 'AH0']","['R', 'IY', 'K', 'AO', 'R', 'M', 'AH']",7
3759,emeryth,"['EH1', 'M', 'ER0', 'IH0', 'TH']","['EH', 'M', 'ER', 'IH', 'TH']",5
3762,incong,"['IH1', 'NG', 'K', 'AO0', 'NG']","['IH', 'NG', 'K', 'AO', 'NG']",5
3763,interwi,"['IH1', 'N', 'T', 'W', 'ER2', 'W', 'IY0']","['IH', 'N', 'T', 'W', 'ER', 'W', 'IY']",7
3767,ghoween,"['G', 'AW1', 'IY0', 'N']","['G', 'AW', 'IY', 'N']",4
3770,attrage,"['AE1', 'T', 'R', 'AH0', 'JH']","['AE', 'T', 'R', 'AH', 'JH']",5
3771,breckin,"['B', 'R', 'EH1', 'K', 'IH0', 'N']","['B', 'R', 'EH', 'K', 'IH', 'N']",6
3772,redusac,"['R', 'IY2', 'D', 'Y', 'UW1', 'S', 'AE0', 'K']","['R', 'IY', 'D', 'Y', 'UW', 'S', 'AE', 'K']",8
3773,luxuals,"['L', 'AH1', 'K', 'S', 'UW2', 'AH0', 'L', 'Z']","['L', 'AH', 'K', 'S', 'UW', 'AH', 'L', 'Z']",8
3775,presial,"['P', 'R', 'IY1', 'Z', 'IY0', 'AH0', 'L']","['P', 'R', 'IY', 'Z', 'IY', 'AH', 'L']",7
3776,mothina,"['M', 'OW0', 'TH', 'IY1', 'N', 'AH0']","['M', 'OW', 'TH', 'IY', 'N', 'AH']",6
3778,hollity,"['HH', 'AA1', 'L', 'IY0', 'T', 'IY0']","['HH', 'AA', 'L', 'IY', 'T', 'IY']",6
3781,surtgal,"['S', 'ER1', 'T', 'G', 'AH0', 'L']","['S', 'ER', 'T', 'G', 'AH', 'L']",6
3782,behicom,"['B', 'IY1', 'HH', 'IH0', 'K', 'AH0', 'M']","['B', 'IY', 'HH', 'IH', 'K', 'AH', 'M']",7
3783,toupitt,"['T', 'UW1', 'P', 'IH0', 'T']","['T', 'UW', 'P', 'IH', 'T']",5
3785,infause,"['IH0', 'N', 'F', 'AW1', 'S']","['IH', 'N', 'F', 'AW', 'S']",5
3794,lemeor,"['L', 'EH1', 'M', 'AY0', 'ER0']","['L', 'EH', 'M', 'AY', 'ER']",5
3795,thocher,"['CH', 'AA1', 'K', 'ER0']","['CH', 'AA', 'K', 'ER']",4
3796,montile,"['M', 'AA0', 'N', 'T', 'IH1', 'L']","['M', 'AA', 'N', 'T', 'IH', 'L']",6
3799,appordi,"['AH0', 'P', 'AO1', 'R', 'D', 'IY0']","['AH', 'P', 'AO', 'R', 'D', 'IY']",6
3800,becommo,"['B', 'IH0', 'K', 'OW1', 'M', 'OW0']","['B', 'IH', 'K', 'OW', 'M', 'OW']",6
3803,embuque,"['IH0', 'M', 'B', 'K', 'Y', 'UW1']","['IH', 'M', 'B', 'K', 'Y', 'UW']",6
3805,surrice,"['S', 'ER1', 'AH0', 'S']","['S', 'ER', 'AH', 'S']",4
3806,involab,"['IH0', 'N', 'V', 'AA1', 'L', 'AH0', 'B']","['IH', 'N', 'V', 'AA', 'L', 'AH', 'B']",7
3807,opergy,"['OW1', 'P', 'ER0', 'JH', 'IY0']","['OW', 'P', 'ER', 'JH', 'IY']",5
3808,preaket,"['P', 'R', 'IY1', 'K', 'AH0', 'T']","['P', 'R', 'IY', 'K', 'AH', 'T']",6
3817,postrat,"['P', 'OW1', 'S', 'T', 'R', 'AE2', 'T']","['P', 'OW', 'S', 'T', 'R', 'AE', 'T']",7
3818,wookent,"['W', 'UH1', 'K', 'AH0', 'N', 'T']","['W', 'UH', 'K', 'AH', 'N', 'T']",6
3820,materip,"['M', 'EY1', 'T', 'ER0', 'IH2', 'P']","['M', 'EY', 'T', 'ER', 'IH', 'P']",6
3821,fritcho,"['F', 'R', 'IH1', 'CH', 'OW0']","['F', 'R', 'IH', 'CH', 'OW']",5
3822,dynance,"['D', 'AY1', 'N', 'AH0', 'N', 'S']","['D', 'AY', 'N', 'AH', 'N', 'S']",6
3825,courche,"['K', 'AO1', 'R', 'SH']","['K', 'AO', 'R', 'SH']",4
3829,cherve,"['CH', 'ER1', 'V']","['CH', 'ER', 'V']",3
3833,regurie,"['R', 'EH1', 'G', 'Y', 'ER0', 'IY0']","['R', 'EH', 'G', 'Y', 'ER', 'IY']",6
3835,socurio,"['S', 'OW0', 'K', 'UH1', 'R', 'IY0', 'OW0']","['S', 'OW', 'K', 'UH', 'R', 'IY', 'OW']",7
3836,deserma,"['D', 'IH0', 'Z', 'ER1', 'M', 'AH0']","['D', 'IH', 'Z', 'ER', 'M', 'AH']",6
3837,minnect,"['M', 'IH1', 'N', 'IH0', 'K', 'T']","['M', 'IH', 'N', 'IH', 'K', 'T']",6
3838,collauc,"['K', 'AA1', 'L', 'AA0', 'K']","['K', 'AA', 'L', 'AA', 'K']",5
3841,unnuati,"['AH2', 'N', 'UW0', 'JH', 'AA1', 'T', 'IY0']","['AH', 'N', 'UW', 'JH', 'AA', 'T', 'IY']",7
3846,elseado,"['EH0', 'L', 'S', 'IY0', 'D', 'OW1']","['EH', 'L', 'S', 'IY', 'D', 'OW']",6
3847,beawant,"['B', 'Y', 'UW1', 'AH0', 'N', 'T']","['B', 'Y', 'UW', 'AH', 'N', 'T']",6
3849,camselm,"['K', 'AE1', 'M', 'S', 'AH0', 'L', 'M']","['K', 'AE', 'M', 'S', 'AH', 'L', 'M']",7
3852,matimat,"['M', 'AE1', 'T', 'AH0', 'M', 'AE0', 'T']","['M', 'AE', 'T', 'AH', 'M', 'AE', 'T']",7
3853,sinempt,"['S', 'IH1', 'N', 'AH0', 'M', 'P', 'T']","['S', 'IH', 'N', 'AH', 'M', 'P', 'T']",7
3859,wartinc,"['W', 'AO1', 'R', 'T', 'IH0', 'NG', 'K']","['W', 'AO', 'R', 'T', 'IH', 'NG', 'K']",7
3860,abildre,"['AE1', 'B', 'AH0', 'L', 'D', 'R', 'AH0']","['AE', 'B', 'AH', 'L', 'D', 'R', 'AH']",7
3861,lissida,"['L', 'IH0', 'S', 'IY1', 'D', 'AH0']","['L', 'IH', 'S', 'IY', 'D', 'AH']",6
3862,meeiniq,"['M', 'IY2', 'IY2', 'N', 'IY1', 'T', 'IY0']","['M', 'IY', 'IY', 'N', 'IY', 'T', 'IY']",7
3864,grestic,"['G', 'R', 'EH1', 'S', 'T', 'IH0', 'K']","['G', 'R', 'EH', 'S', 'T', 'IH', 'K']",7
3866,posides,"['P', 'AH0', 'Z', 'AY1', 'D', 'Z']","['P', 'AH', 'Z', 'AY', 'D', 'Z']",6
3868,secase,"['S', 'IH0', 'K', 'EY1', 'S']","['S', 'IH', 'K', 'EY', 'S']",5
3869,callrol,"['K', 'AE1', 'L', 'R', 'AO0', 'L']","['K', 'AE', 'L', 'R', 'AO', 'L']",6
3870,ignoyin,"['IH0', 'G', 'N', 'OY1', 'AH0', 'N']","['IH', 'G', 'N', 'OY', 'AH', 'N']",6
3873,itabbil,"['IH0', 'T', 'AE1', 'B', 'AH0', 'L']","['IH', 'T', 'AE', 'B', 'AH', 'L']",6
3878,leveran,"['L', 'EH1', 'V', 'ER0', 'AH0', 'N']","['L', 'EH', 'V', 'ER', 'AH', 'N']",6
3879,undept,"['D', 'AH1', 'N', 'D', 'P', 'EH2', 'T']","['D', 'AH', 'N', 'D', 'P', 'EH', 'T']",7
3880,socusel,"['S', 'AH0', 'K', 'UW1', 'S', 'AH0', 'L']","['S', 'AH', 'K', 'UW', 'S', 'AH', 'L']",7
3882,sullage,"['S', 'AH1', 'L', 'AH0', 'JH']","['S', 'AH', 'L', 'AH', 'JH']",5
3883,barase,"['B', 'ER0', 'AA1', 'S', 'IY0']","['B', 'ER', 'AA', 'S', 'IY']",5
3884,cuilies,"['K', 'Y', 'UW1', 'L', 'IY0', 'Z']","['K', 'Y', 'UW', 'L', 'IY', 'Z']",6
3888,freedin,"['F', 'R', 'IY1', 'D', 'IH0', 'N']","['F', 'R', 'IY', 'D', 'IH', 'N']",6
3891,rettemy,"['R', 'EH1', 'T', 'IY0', 'M', 'IY0']","['R', 'EH', 'T', 'IY', 'M', 'IY']",6
3894,vehinee,"['V', 'EH2', 'HH', 'IY0', 'N', 'IY1', 'AH0']","['V', 'EH', 'HH', 'IY', 'N', 'IY', 'AH']",7
3895,irazon,"['IH0', 'R', 'AA1', 'Z', 'AH0', 'N']","['IH', 'R', 'AA', 'Z', 'AH', 'N']",6
3896,tomplab,"['T', 'AA1', 'M', 'P', 'L', 'AE2', 'B']","['T', 'AA', 'M', 'P', 'L', 'AE', 'B']",7
3899,entitio,"['EH0', 'N', 'T', 'IY1', 'T', 'IY0', 'OW0']","['EH', 'N', 'T', 'IY', 'T', 'IY', 'OW']",7
3900,univent,"['Y', 'UW1', 'N', 'AH0', 'V', 'EH2', 'N', 'T']","['Y', 'UW', 'N', 'AH', 'V', 'EH', 'N', 'T']",8
3903,wastaur,"['W', 'AO1', 'S', 'T', 'AW0', 'R']","['W', 'AO', 'S', 'T', 'AW', 'R']",6
3910,tweecti,"['T', 'W', 'EH1', 'T', 'S', 'K', 'IY0']","['T', 'W', 'EH', 'T', 'S', 'K', 'IY']",7
3911,befenti,"['B', 'EH0', 'F', 'EH1', 'N', 'T', 'IY0']","['B', 'EH', 'F', 'EH', 'N', 'T', 'IY']",7
3915,undestr,"['AH1', 'N', 'D', 'EH2', 'S', 'T', 'ER0']","['AH', 'N', 'D', 'EH', 'S', 'T', 'ER']",7
3916,enotero,"['EH0', 'N', 'OW1', 'T', 'R', 'OW0']","['EH', 'N', 'OW', 'T', 'R', 'OW']",6
3917,becembe,"['B', 'IH0', 'S', 'EH1', 'M', 'B']","['B', 'IH', 'S', 'EH', 'M', 'B']",6
3919,eascipl,"['IY1', 'S', 'AH0', 'P', 'AH0', 'L']","['IY', 'S', 'AH', 'P', 'AH', 'L']",6
3920,wittica,"['W', 'IH1', 'T', 'IH0', 'K', 'AH0']","['W', 'IH', 'T', 'IH', 'K', 'AH']",6
3921,remethy,"['R', 'EH1', 'M', 'IH0', 'TH', 'IY0']","['R', 'EH', 'M', 'IH', 'TH', 'IY']",6
3922,eleates,"['EH1', 'L', 'IY0', 'T', 'S']","['EH', 'L', 'IY', 'T', 'S']",5
3923,dechnio,"['D', 'EH1', 'K', 'N', 'IY0', 'OW0']","['D', 'EH', 'K', 'N', 'IY', 'OW']",6
3924,bathiga,"['B', 'AE0', 'TH', 'IY1', 'G', 'AH0']","['B', 'AE', 'TH', 'IY', 'G', 'AH']",6
3925,uncough,"['AH0', 'N', 'K', 'AW1']","['AH', 'N', 'K', 'AW']",4
3930,refrach,"['R', 'EH1', 'F', 'R', 'AE0', 'K']","['R', 'EH', 'F', 'R', 'AE', 'K']",6
3931,sousen,"['S', 'AW1', 'S', 'AH0', 'N']","['S', 'AW', 'S', 'AH', 'N']",5
3933,maildin,"['M', 'EY1', 'L', 'D', 'IH0', 'N']","['M', 'EY', 'L', 'D', 'IH', 'N']",6
3934,chroure,"['K', 'R', 'UW1', 'R']","['K', 'R', 'UW', 'R']",4
3935,anowthe,"['AH0', 'N', 'UW1', 'DH']","['AH', 'N', 'UW', 'DH']",4
3938,defortm,"['D', 'IH0', 'F', 'AO1', 'R', 'T', 'M']","['D', 'IH', 'F', 'AO', 'R', 'T', 'M']",7
3940,pradied,"['P', 'R', 'EY1', 'D', 'IY0', 'D']","['P', 'R', 'EY', 'D', 'IY', 'D']",6
3941,memagor,"['M', 'EH1', 'M', 'AH0', 'G', 'AO2', 'R']","['M', 'EH', 'M', 'AH', 'G', 'AO', 'R']",7
3943,culticu,"['K', 'AH1', 'L', 'T', 'IH0', 'K', 'Y', 'UW2']","['K', 'AH', 'L', 'T', 'IH', 'K', 'Y', 'UW']",8
3946,distica,"['D', 'IH0', 'S', 'T', 'IH1', 'K', 'AH0']","['D', 'IH', 'S', 'T', 'IH', 'K', 'AH']",7
3947,upgrent,"['AH1', 'P', 'G', 'R', 'AH0', 'N', 'T']","['AH', 'P', 'G', 'R', 'AH', 'N', 'T']",7
3948,evidays,"['EH1', 'V', 'AH0', 'D', 'EY2', 'Z']","['EH', 'V', 'AH', 'D', 'EY', 'Z']",6
3949,cabylly,"['K', 'AE1', 'B', 'AH0', 'L', 'IY0']","['K', 'AE', 'B', 'AH', 'L', 'IY']",6
3951,syselop,"['S', 'AY1', 'S', 'L', 'AA2', 'P']","['S', 'AY', 'S', 'L', 'AA', 'P']",6
3954,eitchon,"['AY1', 'CH', 'AH0', 'N']","['AY', 'CH', 'AH', 'N']",4
3957,anxices,"['AE1', 'NG', 'K', 'S', 'AH0', 'S', 'IH0', 'Z']","['AE', 'NG', 'K', 'S', 'AH', 'S', 'IH', 'Z']",8
3961,upcolve,"['AH0', 'P', 'K', 'AH1', 'L', 'V']","['AH', 'P', 'K', 'AH', 'L', 'V']",6
3965,hondlex,"['HH', 'AA1', 'N', 'D', 'L', 'AH0', 'K', 'S']","['HH', 'AA', 'N', 'D', 'L', 'AH', 'K', 'S']",8
3966,michana,"['M', 'IH0', 'K', 'AA1', 'N', 'AH0']","['M', 'IH', 'K', 'AA', 'N', 'AH']",6
3969,ninica,"['N', 'IH1', 'N', 'IH0', 'K', 'AH0']","['N', 'IH', 'N', 'IH', 'K', 'AH']",6
3971,befortm,"['B', 'IH0', 'F', 'AO1', 'R', 'M', 'T']","['B', 'IH', 'F', 'AO', 'R', 'M', 'T']",7
3974,hisserf,"['HH', 'IH1', 'S', 'ER0', 'F']","['HH', 'IH', 'S', 'ER', 'F']",5
3975,incounc,"['IH0', 'N', 'K', 'AW1', 'N']","['IH', 'N', 'K', 'AW', 'N']",5
3976,whessio,"['W', 'EH1', 'S', 'IY0', 'OW0']","['W', 'EH', 'S', 'IY', 'OW']",5
3977,clandat,"['K', 'L', 'AE1', 'N', 'D', 'AE0', 'T']","['K', 'L', 'AE', 'N', 'D', 'AE', 'T']",7
3980,degisti,"['D', 'IH0', 'JH', 'IH1', 'S', 'T', 'IY0']","['D', 'IH', 'JH', 'IH', 'S', 'T', 'IY']",7
3983,notegra,"['N', 'OW0', 'T', 'EH1', 'G', 'R', 'AH0']","['N', 'OW', 'T', 'EH', 'G', 'R', 'AH']",7
3986,pervati,"['P', 'ER0', 'V', 'AA1', 'T', 'IY0']","['P', 'ER', 'V', 'AA', 'T', 'IY']",6
3990,comethe,"['K', 'AH1', 'M', 'DH', 'EH2']","['K', 'AH', 'M', 'DH', 'EH']",5
3991,octuils,"['AA1', 'K', 'T', 'UW2', 'L', 'Z']","['AA', 'K', 'T', 'UW', 'L', 'Z']",6
3992,olyiner,"['OW0', 'L', 'IY0', 'IH1', 'N', 'ER0']","['OW', 'L', 'IY', 'IH', 'N', 'ER']",6
3994,editral,"['EH1', 'D', 'AH0', 'T', 'R', 'AH0', 'L']","['EH', 'D', 'AH', 'T', 'R', 'AH', 'L']",7
3996,gazakin,"['G', 'AE1', 'Z', 'AH0', 'K', 'IH0', 'N']","['G', 'AE', 'Z', 'AH', 'K', 'IH', 'N']",7
3997,cresion,"['K', 'R', 'EH1', 'ZH', 'IH0', 'N']","['K', 'R', 'EH', 'ZH', 'IH', 'N']",6
3998,inswed,"['IH1', 'N', 'S', 'T']","['IH', 'N', 'S', 'T']",4
4001,buicifi,"['B', 'Y', 'UW0', 'S', 'IY1', 'F', 'IY0']","['B', 'Y', 'UW', 'S', 'IY', 'F', 'IY']",7
4002,nortgur,"['N', 'AO1', 'R', 'T', 'G', 'ER0']","['N', 'AO', 'R', 'T', 'G', 'ER']",6
4004,peoplat,"['P', 'EH1', 'P', 'AH0', 'L', 'T']","['P', 'EH', 'P', 'AH', 'L', 'T']",6
4005,degison,"['D', 'EH1', 'JH', 'IH0', 'S', 'AH0', 'N']","['D', 'EH', 'JH', 'IH', 'S', 'AH', 'N']",7
4007,advels,"['AE1', 'D', 'V', 'AH0', 'L', 'Z']","['AE', 'D', 'V', 'AH', 'L', 'Z']",6
4011,nobilat,"['N', 'AA1', 'B', 'AH0', 'L', 'AH0', 'T']","['N', 'AA', 'B', 'AH', 'L', 'AH', 'T']",7
