,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf Frequency,Phonemes,No Stress,Part of Speech
173,unmistade,PLC,pseudo,long,complex,,8,,"['AH1', 'N', 'M', 'IH0', 'S', 'T', 'AE2', 'D']","['AH', 'N', 'M', 'IH', 'S', 'T', 'AE', 'D']",
174,witifully,PLC,pseudo,long,complex,,8,,"['W', 'IH1', 'T', 'IH0', 'F', 'AH0', 'L', 'IY0']","['W', 'IH', 'T', 'IH', 'F', 'AH', 'L', 'IY']",
175,underlity,PLC,pseudo,long,complex,,8,,"['AH0', 'N', 'D', 'ER1', 'L', 'AE0', 'T', 'IY0']","['AH', 'N', 'D', 'ER', 'L', 'AE', 'T', 'IY']",
176,rederlity,PLC,pseudo,long,complex,,8,,"['R', 'EH1', 'D', 'ER0', 'L', 'AH0', 'T', 'IY0']","['R', 'EH', 'D', 'ER', 'L', 'AH', 'T', 'IY']",
177,sprictal,PLC,pseudo,long,complex,,8,,"['S', 'P', 'R', 'IH1', 'K', 'T', 'AA2', 'L']","['S', 'P', 'R', 'IH', 'K', 'T', 'AA', 'L']",
178,unifort,PLC,pseudo,long,complex,,8,,"['Y', 'UW1', 'N', 'IH0', 'F', 'AO2', 'R', 'T']","['Y', 'UW', 'N', 'IH', 'F', 'AO', 'R', 'T']",
179,mistfully,PLC,pseudo,long,complex,,8,,"['M', 'IH1', 'S', 'T', 'F', 'AH0', 'L', 'IY0']","['M', 'IH', 'S', 'T', 'F', 'AH', 'L', 'IY']",
180,dydenist,PLC,pseudo,long,complex,,8,,"['D', 'AY1', 'D', 'AH0', 'N', 'IH0', 'S', 'T']","['D', 'AY', 'D', 'AH', 'N', 'IH', 'S', 'T']",
181,raversold,PLC,pseudo,long,complex,,8,,"['R', 'EY1', 'V', 'ER0', 'S', 'OW0', 'L', 'D']","['R', 'EY', 'V', 'ER', 'S', 'OW', 'L', 'D']",
182,undeflate,PLC,pseudo,long,complex,,8,,"['AH1', 'N', 'D', 'AH0', 'F', 'L', 'EY2', 'T']","['AH', 'N', 'D', 'AH', 'F', 'L', 'EY', 'T']",
183,discreeler,PLC,pseudo,long,complex,,8,,"['D', 'IH0', 'S', 'K', 'R', 'IY1', 'L', 'ER0']","['D', 'IH', 'S', 'K', 'R', 'IY', 'L', 'ER']",
184,pitlessly,PLC,pseudo,long,complex,,8,,"['P', 'IH1', 'T', 'L', 'AH0', 'S', 'L', 'IY0']","['P', 'IH', 'T', 'L', 'AH', 'S', 'L', 'IY']",
185,dishonal,PLC,pseudo,long,complex,,8,,"['D', 'IH1', 'S', 'HH', 'AH0', 'N', 'AH0', 'L']","['D', 'IH', 'S', 'HH', 'AH', 'N', 'AH', 'L']",
186,skringel,PLC,pseudo,long,complex,,8,,"['S', 'K', 'R', 'IH1', 'N', 'G', 'AH0', 'L']","['S', 'K', 'R', 'IH', 'N', 'G', 'AH', 'L']",
187,reinstake,PLC,pseudo,long,complex,,8,,"['R', 'IY2', 'IH0', 'N', 'S', 'T', 'EY1', 'K']","['R', 'IY', 'IH', 'N', 'S', 'T', 'EY', 'K']",
188,sprindly,PLC,pseudo,long,complex,,8,,"['S', 'P', 'R', 'IH1', 'N', 'D', 'L', 'IY0']","['S', 'P', 'R', 'IH', 'N', 'D', 'L', 'IY']",
189,reperpast,PLC,pseudo,long,complex,,8,,"['R', 'EH1', 'P', 'ER0', 'P', 'AH0', 'S', 'T']","['R', 'EH', 'P', 'ER', 'P', 'AH', 'S', 'T']",
190,vulgarist,PLC,pseudo,long,complex,,8,,"['V', 'AH1', 'L', 'G', 'ER0', 'IH0', 'S', 'T']","['V', 'AH', 'L', 'G', 'ER', 'IH', 'S', 'T']",
191,remistate,PLC,pseudo,long,complex,,8,,"['R', 'EH1', 'M', 'AH0', 'S', 'T', 'EY2', 'T']","['R', 'EH', 'M', 'AH', 'S', 'T', 'EY', 'T']",
192,bewistic,PLC,pseudo,long,complex,,8,,"['B', 'IY0', 'W', 'IH1', 'S', 'T', 'IH0', 'K']","['B', 'IY', 'W', 'IH', 'S', 'T', 'IH', 'K']",
193,deodorist,PLC,pseudo,long,complex,,8,,"['D', 'IY1', 'OW0', 'D', 'ER0', 'IH0', 'S', 'T']","['D', 'IY', 'OW', 'D', 'ER', 'IH', 'S', 'T']",
194,strimply,PLC,pseudo,long,complex,,8,,"['S', 'T', 'R', 'IH1', 'M', 'P', 'L', 'IY0']","['S', 'T', 'R', 'IH', 'M', 'P', 'L', 'IY']",
195,womangle,PLC,pseudo,long,complex,,8,,"['W', 'UH1', 'M', 'AH0', 'N', 'G', 'AH0', 'L']","['W', 'UH', 'M', 'AH', 'N', 'G', 'AH', 'L']",
196,redefully,PLC,pseudo,long,complex,,8,,"['R', 'EH1', 'D', 'AH0', 'F', 'AH0', 'L', 'IY0']","['R', 'EH', 'D', 'AH', 'F', 'AH', 'L', 'IY']",
197,sterreact,PLC,pseudo,long,complex,,8,,"['S', 'T', 'EH1', 'R', 'IY0', 'AE2', 'K', 'T']","['S', 'T', 'EH', 'R', 'IY', 'AE', 'K', 'T']",
198,gormalone,PLC,pseudo,long,complex,,8,,"['G', 'AO1', 'R', 'M', 'AH0', 'L', 'OW2', 'N']","['G', 'AO', 'R', 'M', 'AH', 'L', 'OW', 'N']",
199,steriline,PLC,pseudo,long,complex,,8,,"['S', 'T', 'EH1', 'R', 'AH0', 'L', 'IY2', 'N']","['S', 'T', 'EH', 'R', 'AH', 'L', 'IY', 'N']",
200,episident,PLC,pseudo,long,complex,,9,,"['EH0', 'P', 'IH1', 'S', 'IH0', 'D', 'EH0', 'N', 'T']","['EH', 'P', 'IH', 'S', 'IH', 'D', 'EH', 'N', 'T']",
201,deodorism,PLC,pseudo,long,complex,,9,,"['D', 'IY1', 'AH0', 'D', 'R', 'IH2', 'Z', 'AH0', 'M']","['D', 'IY', 'AH', 'D', 'R', 'IH', 'Z', 'AH', 'M']",
202,awarliant,PLC,pseudo,long,complex,,9,,"['AH0', 'W', 'AO1', 'R', 'L', 'IY0', 'AE0', 'N', 'T']","['AH', 'W', 'AO', 'R', 'L', 'IY', 'AE', 'N', 'T']",
203,poildration,PLC,pseudo,long,complex,,9,,"['P', 'OY1', 'L', 'D', 'R', 'EY2', 'SH', 'AH0', 'N']","['P', 'OY', 'L', 'D', 'R', 'EY', 'SH', 'AH', 'N']",
204,wontifics,PLC,pseudo,long,complex,,9,,"['W', 'AH0', 'N', 'T', 'IH1', 'F', 'IH0', 'K', 'S']","['W', 'AH', 'N', 'T', 'IH', 'F', 'IH', 'K', 'S']",
205,advelatine,PLC,pseudo,long,complex,,9,,"['AE0', 'D', 'V', 'EH1', 'L', 'AH0', 'T', 'IY0', 'N']","['AE', 'D', 'V', 'EH', 'L', 'AH', 'T', 'IY', 'N']",
206,traplable,PLC,pseudo,long,complex,,9,,"['T', 'R', 'AE1', 'P', 'L', 'AH0', 'B', 'AH0', 'L']","['T', 'R', 'AE', 'P', 'L', 'AH', 'B', 'AH', 'L']",
207,aladquary,PLC,pseudo,long,complex,,9,,"['AE0', 'L', 'AH1', 'D', 'K', 'W', 'AO0', 'R', 'EY0']","['AE', 'L', 'AH', 'D', 'K', 'W', 'AO', 'R', 'EY']",
208,nomparated,PLC,pseudo,long,complex,,9,,"['N', 'AA1', 'M', 'P', 'ER0', 'EY2', 'T', 'IH0', 'D']","['N', 'AA', 'M', 'P', 'ER', 'EY', 'T', 'IH', 'D']",
209,reodeness,PLC,pseudo,long,complex,,9,,"['R', 'IY1', 'AH0', 'D', 'IY2', 'N', 'S', 'AH0', 'Z']","['R', 'IY', 'AH', 'D', 'IY', 'N', 'S', 'AH', 'Z']",
210,tradinties,PLC,pseudo,long,complex,,9,,"['T', 'R', 'AE1', 'D', 'AH0', 'N', 'T', 'IY0', 'Z']","['T', 'R', 'AE', 'D', 'AH', 'N', 'T', 'IY', 'Z']",
211,ownestrand,PLC,pseudo,long,complex,,9,,"['OW1', 'N', 'AH0', 'S', 'T', 'R', 'AE2', 'N', 'D']","['OW', 'N', 'AH', 'S', 'T', 'R', 'AE', 'N', 'D']",
212,coliciely,PLC,pseudo,long,complex,,9,,"['K', 'AH0', 'L', 'IH1', 'S', 'IY0', 'AH0', 'L', 'IY0']","['K', 'AH', 'L', 'IH', 'S', 'IY', 'AH', 'L', 'IY']",
213,exclural,PLC,pseudo,long,complex,,9,,"['EH1', 'K', 'S', 'K', 'L', 'UH1', 'R', 'AA0', 'L']","['EH', 'K', 'S', 'K', 'L', 'UH', 'R', 'AA', 'L']",
214,misembody,PLC,pseudo,long,complex,,9,,"['M', 'IH0', 'S', 'AH0', 'M', 'B', 'EY1', 'D', 'IY0']","['M', 'IH', 'S', 'AH', 'M', 'B', 'EY', 'D', 'IY']",
215,reodenest,PLC,pseudo,long,complex,,9,,"['R', 'IY2', 'OW0', 'D', 'EH1', 'N', 'AH0', 'S', 'T']","['R', 'IY', 'OW', 'D', 'EH', 'N', 'AH', 'S', 'T']",
216,havivited,PLC,pseudo,long,complex,,9,,"['HH', 'AE1', 'V', 'AH0', 'V', 'EY2', 'T', 'IH0', 'D']","['HH', 'AE', 'V', 'AH', 'V', 'EY', 'T', 'IH', 'D']",
217,tensenest,PLC,pseudo,long,complex,,9,,"['T', 'EH1', 'N', 'S', 'AH0', 'N', 'AH0', 'S', 'T']","['T', 'EH', 'N', 'S', 'AH', 'N', 'AH', 'S', 'T']",
218,entiquary,PLC,pseudo,long,complex,,9,,"['EH0', 'N', 'T', 'IH1', 'K', 'W', 'AA2', 'R', 'IY0']","['EH', 'N', 'T', 'IH', 'K', 'W', 'AA', 'R', 'IY']",
219,vesernated,PLC,pseudo,long,complex,,9,,"['V', 'EH1', 'S', 'ER0', 'N', 'EY2', 'T', 'IH0', 'D']","['V', 'EH', 'S', 'ER', 'N', 'EY', 'T', 'IH', 'D']",
220,uniforist,PLC,pseudo,long,complex,,9,,"['Y', 'UW1', 'N', 'AH0', 'F', 'AO2', 'R', 'S', 'T']","['Y', 'UW', 'N', 'AH', 'F', 'AO', 'R', 'S', 'T']",
221,winyufact,PLC,pseudo,long,complex,,9,,"['W', 'IH1', 'N', 'Y', 'UW0', 'F', 'AE2', 'K', 'T']","['W', 'IH', 'N', 'Y', 'UW', 'F', 'AE', 'K', 'T']",
222,explific,PLC,pseudo,long,complex,,9,,"['EH0', 'K', 'S', 'P', 'L', 'IH1', 'F', 'IH0', 'K']","['EH', 'K', 'S', 'P', 'L', 'IH', 'F', 'IH', 'K']",
223,deoutsell,PLC,pseudo,long,complex,,9,,"['D', 'EH1', 'T', 'W', 'AH0', 'S', 'T', 'AH0', 'L']","['D', 'EH', 'T', 'W', 'AH', 'S', 'T', 'AH', 'L']",
224,deodeness,PLC,pseudo,long,complex,,9,,"['D', 'IY1', 'D', 'AH0', 'N', 'IH2', 'S', 'AH0', 'Z']","['D', 'IY', 'D', 'AH', 'N', 'IH', 'S', 'AH', 'Z']",
225,puzuking,PLC,pseudo,long,complex,,9,,"['P', 'Y', 'UW1', 'Z', 'K', 'IH0', 'V', 'IH0', 'NG']","['P', 'Y', 'UW', 'Z', 'K', 'IH', 'V', 'IH', 'NG']",
226,countriand,PLC,pseudo,long,complex,,9,,"['K', 'AA1', 'N', 'T', 'R', 'IY0', 'AH0', 'N', 'D']","['K', 'AA', 'N', 'T', 'R', 'IY', 'AH', 'N', 'D']",
227,botinsled,PLC,pseudo,long,complex,,9,,"['B', 'OW1', 'T', 'IH0', 'N', 'S', 'L', 'EH2', 'D']","['B', 'OW', 'T', 'IH', 'N', 'S', 'L', 'EH', 'D']",
228,deliaumnal,PLC,pseudo,long,complex,,9,,"['D', 'EH1', 'L', 'IY0', 'AH0', 'M', 'N', 'AH0', 'L']","['D', 'EH', 'L', 'IY', 'AH', 'M', 'N', 'AH', 'L']",
229,invoribute,PLC,pseudo,long,complex,,9,,"['IH0', 'N', 'V', 'AO1', 'R', 'AH0', 'B', 'AH0', 'T']","['IH', 'N', 'V', 'AO', 'R', 'AH', 'B', 'AH', 'T']",
230,unfornity,PLC,pseudo,long,complex,,9,,"['AH0', 'N', 'F', 'AO1', 'R', 'N', 'IH0', 'T', 'IY0']","['AH', 'N', 'F', 'AO', 'R', 'N', 'IH', 'T', 'IY']",
231,didamplate,PLC,pseudo,long,complex,,9,,"['D', 'IH1', 'D', 'AH0', 'M', 'P', 'L', 'EY2', 'T']","['D', 'IH', 'D', 'AH', 'M', 'P', 'L', 'EY', 'T']",
232,weirdnest,PLC,pseudo,long,complex,,9,,"['W', 'ER1', 'D', 'AH0', 'N', 'S', 'T', 'AH0', 'T']","['W', 'ER', 'D', 'AH', 'N', 'S', 'T', 'AH', 'T']",
233,yug,PSS,pseudo,short,simple,,3,,"['Y', 'AH1', 'G']","['Y', 'AH', 'G']",
234,dop,PSS,pseudo,short,simple,,3,,"['D', 'AA1', 'P']","['D', 'AA', 'P']",
235,fed,PSS,pseudo,short,simple,,3,,"['F', 'EH1', 'D']","['F', 'EH', 'D']",
236,fut,PSS,pseudo,short,simple,,3,,"['F', 'AH1', 'T']","['F', 'AH', 'T']",
237,wid,PSS,pseudo,short,simple,,3,,"['W', 'IH1', 'D']","['W', 'IH', 'D']",
238,tob,PSS,pseudo,short,simple,,3,,"['T', 'AA1', 'B']","['T', 'AA', 'B']",
239,asy,PSS,pseudo,short,simple,,3,,"['EY1', 'S', 'IY0']","['EY', 'S', 'IY']",
240,dav,PSS,pseudo,short,simple,,3,,"['D', 'AA1', 'V']","['D', 'AA', 'V']",
241,terth,PSS,pseudo,short,simple,,3,,"['T', 'ER1', 'DH']","['T', 'ER', 'DH']",
242,jerf,PSS,pseudo,short,simple,,3,,"['JH', 'ER1', 'F']","['JH', 'ER', 'F']",
243,tog,PSS,pseudo,short,simple,,3,,"['T', 'AO1', 'G']","['T', 'AO', 'G']",
244,mim,PSS,pseudo,short,simple,,3,,"['M', 'IH1', 'M']","['M', 'IH', 'M']",
245,thurse,PSS,pseudo,short,simple,,3,,"['TH', 'ER1', 'S']","['TH', 'ER', 'S']",
246,fug,PSS,pseudo,short,simple,,3,,"['F', 'AH1', 'G']","['F', 'AH', 'G']",
247,clow,PSS,pseudo,short,simple,,3,,"['K', 'L', 'OW1']","['K', 'L', 'OW']",
248,gerf,PSS,pseudo,short,simple,,3,,"['G', 'ER1', 'F']","['G', 'ER', 'F']",
249,choune,PSS,pseudo,short,simple,,3,,"['CH', 'UW1', 'N']","['CH', 'UW', 'N']",
250,shoide,PSS,pseudo,short,simple,,3,,"['SH', 'OY1', 'D']","['SH', 'OY', 'D']",
251,spee,PSS,pseudo,short,simple,,3,,"['S', 'P', 'IY1']","['S', 'P', 'IY']",
252,mun,PSS,pseudo,short,simple,,3,,"['M', 'AH1', 'N']","['M', 'AH', 'N']",
253,frew,PSS,pseudo,short,simple,,3,,"['F', 'R', 'UW1']","['F', 'R', 'UW']",
254,poin,PSS,pseudo,short,simple,,3,,"['P', 'OY1', 'N']","['P', 'OY', 'N']",
255,pash,PSS,pseudo,short,simple,,3,,"['P', 'AE1', 'SH']","['P', 'AE', 'SH']",
256,pook,PSS,pseudo,short,simple,,3,,"['P', 'UH1', 'K']","['P', 'UH', 'K']",
257,zom,PSS,pseudo,short,simple,,3,,"['Z', 'AA1', 'M']","['Z', 'AA', 'M']",
258,vin,PSS,pseudo,short,simple,,3,,"['V', 'IH1', 'N']","['V', 'IH', 'N']",
259,bia,PSS,pseudo,short,simple,,3,,"['B', 'IY1', 'AH0']","['B', 'IY', 'AH']",
260,vid,PSS,pseudo,short,simple,,3,,"['V', 'IH1', 'D']","['V', 'IH', 'D']",
261,thowl,PSS,pseudo,short,simple,,3,,"['TH', 'OW1', 'L']","['TH', 'OW', 'L']",
262,thet,PSS,pseudo,short,simple,,3,,"['TH', 'EH1', 'T']","['TH', 'EH', 'T']",
263,puz,PSS,pseudo,short,simple,,3,,"['P', 'UH1', 'Z']","['P', 'UH', 'Z']",
264,mus,PSS,pseudo,short,simple,,3,,"['M', 'AH1', 'S']","['M', 'AH', 'S']",
265,vig,PSS,pseudo,short,simple,,3,,"['V', 'IH1', 'G']","['V', 'IH', 'G']",
266,shend,PSS,pseudo,short,simple,,4,,"['SH', 'EH1', 'N', 'D']","['SH', 'EH', 'N', 'D']",
267,clore,PSS,pseudo,short,simple,,4,,"['K', 'L', 'AO1', 'R']","['K', 'L', 'AO', 'R']",
268,pren,PSS,pseudo,short,simple,,4,,"['P', 'R', 'EH1', 'N']","['P', 'R', 'EH', 'N']",
269,frel,PSS,pseudo,short,simple,,4,,"['F', 'R', 'EH1', 'L']","['F', 'R', 'EH', 'L']",
270,eitchon,PSS,pseudo,short,simple,,4,,"['AY1', 'CH', 'AH0', 'N']","['AY', 'CH', 'AH', 'N']",
271,eshing,PSS,pseudo,short,simple,,4,,"['EH1', 'SH', 'IH0', 'NG']","['EH', 'SH', 'IH', 'NG']",
272,plar,PSS,pseudo,short,simple,,4,,"['P', 'L', 'AA1', 'R']","['P', 'L', 'AA', 'R']",
273,thoulah,PSS,pseudo,short,simple,,4,,"['TH', 'UW1', 'L', 'AH0']","['TH', 'UW', 'L', 'AH']",
274,wessau,PSS,pseudo,short,simple,,4,,"['W', 'EH1', 'S', 'OW0']","['W', 'EH', 'S', 'OW']",
275,prig,PSS,pseudo,short,simple,,4,,"['P', 'R', 'IH1', 'G']","['P', 'R', 'IH', 'G']",
276,pharl,PSS,pseudo,short,simple,,4,,"['F', 'AA1', 'R', 'L']","['F', 'AA', 'R', 'L']",
277,oppard,PSS,pseudo,short,simple,,4,,"['AA0', 'P', 'ER1', 'D']","['AA', 'P', 'ER', 'D']",
278,strugh,PSS,pseudo,short,simple,,4,,"['S', 'T', 'R', 'UW1']","['S', 'T', 'R', 'UW']",
279,horm,PSS,pseudo,short,simple,,4,,"['HH', 'AO1', 'R', 'M']","['HH', 'AO', 'R', 'M']",
280,sallar,PSS,pseudo,short,simple,,4,,"['S', 'AE1', 'L', 'ER0']","['S', 'AE', 'L', 'ER']",
281,aurick,PSS,pseudo,short,simple,,4,,"['AO1', 'R', 'IH0', 'K']","['AO', 'R', 'IH', 'K']",
282,porl,PSS,pseudo,short,simple,,4,,"['P', 'AO1', 'R', 'L']","['P', 'AO', 'R', 'L']",
283,cruss,PSS,pseudo,short,simple,,4,,"['K', 'R', 'AH1', 'S']","['K', 'R', 'AH', 'S']",
284,ando,PSS,pseudo,short,simple,,4,,"['AE1', 'N', 'D', 'OW0']","['AE', 'N', 'D', 'OW']",
285,opir,PSS,pseudo,short,simple,,4,,"['OW0', 'P', 'EH1', 'R']","['OW', 'P', 'EH', 'R']",
286,fress,PSS,pseudo,short,simple,,4,,"['F', 'R', 'EH1', 'S']","['F', 'R', 'EH', 'S']",
287,heacte,PSS,pseudo,short,simple,,4,,"['HH', 'EH1', 'K', 'T']","['HH', 'EH', 'K', 'T']",
288,smag,PSS,pseudo,short,simple,,4,,"['S', 'M', 'AE1', 'G']","['S', 'M', 'AE', 'G']",
289,cangue,PSS,pseudo,short,simple,,4,,"['K', 'AE1', 'NG', 'G']","['K', 'AE', 'NG', 'G']",
290,clidge,PSS,pseudo,short,simple,,4,,"['K', 'L', 'IH1', 'JH']","['K', 'L', 'IH', 'JH']",
291,nobere,PSS,pseudo,short,simple,,4,,"['N', 'OW1', 'B', 'ER0']","['N', 'OW', 'B', 'ER']",
292,thount,PSS,pseudo,short,simple,,4,,"['TH', 'AW1', 'N', 'T']","['TH', 'AW', 'N', 'T']",
293,stut,PSS,pseudo,short,simple,,4,,"['S', 'T', 'AH1', 'T']","['S', 'T', 'AH', 'T']",
294,plass,PSS,pseudo,short,simple,,4,,"['P', 'L', 'AE1', 'S']","['P', 'L', 'AE', 'S']",
295,knound,PSS,pseudo,short,simple,,4,,"['N', 'AW1', 'N', 'D']","['N', 'AW', 'N', 'D']",
296,tungth,PSS,pseudo,short,simple,,4,,"['T', 'AH1', 'NG', 'TH']","['T', 'AH', 'NG', 'TH']",
297,traime,PSS,pseudo,short,simple,,4,,"['T', 'R', 'EY1', 'M']","['T', 'R', 'EY', 'M']",
298,swit,PSS,pseudo,short,simple,,4,,"['S', 'W', 'IH1', 'T']","['S', 'W', 'IH', 'T']",
299,agai,PSS,pseudo,short,simple,,4,,"['AH0', 'G', 'AA1', 'IY0']","['AH', 'G', 'AA', 'IY']",
300,surkine,PSS,pseudo,short,simple,,5,,"['S', 'ER1', 'K', 'AY0', 'N']","['S', 'ER', 'K', 'AY', 'N']",
301,oriva,PSS,pseudo,short,simple,,5,,"['AO0', 'R', 'IY1', 'V', 'AH0']","['AO', 'R', 'IY', 'V', 'AH']",
302,fesig,PSS,pseudo,short,simple,,5,,"['F', 'EH1', 'S', 'IH0', 'G']","['F', 'EH', 'S', 'IH', 'G']",
303,otroa,PSS,pseudo,short,simple,,5,,"['AW0', 'T', 'R', 'OW1', 'AH0']","['AW', 'T', 'R', 'OW', 'AH']",
304,mussid,PSS,pseudo,short,simple,,5,,"['M', 'AH1', 'S', 'IH0', 'D']","['M', 'AH', 'S', 'IH', 'D']",
305,basire,PSS,pseudo,short,simple,,5,,"['B', 'AH0', 'S', 'IY1', 'R']","['B', 'AH', 'S', 'IY', 'R']",
306,smazi,PSS,pseudo,short,simple,,5,,"['S', 'M', 'AA1', 'Z', 'IY0']","['S', 'M', 'AA', 'Z', 'IY']",
307,sithro,PSS,pseudo,short,simple,,5,,"['S', 'IH1', 'TH', 'R', 'OW0']","['S', 'IH', 'TH', 'R', 'OW']",
308,euris,PSS,pseudo,short,simple,,5,,"['Y', 'UW1', 'R', 'IH0', 'S']","['Y', 'UW', 'R', 'IH', 'S']",
309,naudin,PSS,pseudo,short,simple,,5,,"['N', 'AO1', 'D', 'IH0', 'N']","['N', 'AO', 'D', 'IH', 'N']",
310,telide,PSS,pseudo,short,simple,,5,,"['T', 'EH0', 'L', 'AY1', 'D']","['T', 'EH', 'L', 'AY', 'D']",
311,churact,PSS,pseudo,short,simple,,5,,"['CH', 'ER0', 'AE1', 'K', 'T']","['CH', 'ER', 'AE', 'K', 'T']",
312,althod,PSS,pseudo,short,simple,,5,,"['AE1', 'L', 'TH', 'AH0', 'D']","['AE', 'L', 'TH', 'AH', 'D']",
313,nethio,PSS,pseudo,short,simple,,5,,"['N', 'EH1', 'TH', 'IY0', 'OW0']","['N', 'EH', 'TH', 'IY', 'OW']",
314,speeho,PSS,pseudo,short,simple,,5,,"['S', 'P', 'IY1', 'HH', 'OW0']","['S', 'P', 'IY', 'HH', 'OW']",
315,favig,PSS,pseudo,short,simple,,5,,"['F', 'AA1', 'V', 'IH0', 'G']","['F', 'AA', 'V', 'IH', 'G']",
316,addrol,PSS,pseudo,short,simple,,5,,"['AE1', 'D', 'R', 'AH0', 'L']","['AE', 'D', 'R', 'AH', 'L']",
317,anaha,PSS,pseudo,short,simple,,5,,"['AE1', 'N', 'AH0', 'HH', 'AA2']","['AE', 'N', 'AH', 'HH', 'AA']",
318,hercene,PSS,pseudo,short,simple,,5,,"['HH', 'ER1', 'S', 'IY0', 'N']","['HH', 'ER', 'S', 'IY', 'N']",
319,pothol,PSS,pseudo,short,simple,,5,,"['P', 'AA1', 'TH', 'AH0', 'L']","['P', 'AA', 'TH', 'AH', 'L']",
320,sommis,PSS,pseudo,short,simple,,5,,"['S', 'AA1', 'M', 'IH0', 'S']","['S', 'AA', 'M', 'IH', 'S']",
321,durdin,PSS,pseudo,short,simple,,5,,"['D', 'ER1', 'D', 'IH0', 'N']","['D', 'ER', 'D', 'IH', 'N']",
322,estit,PSS,pseudo,short,simple,,5,,"['EH1', 'S', 'T', 'IH0', 'T']","['EH', 'S', 'T', 'IH', 'T']",
323,govior,PSS,pseudo,short,simple,,5,,"['G', 'OW1', 'V', 'Y', 'ER0']","['G', 'OW', 'V', 'Y', 'ER']",
324,slosp,PSS,pseudo,short,simple,,5,,"['S', 'L', 'AA1', 'S', 'P']","['S', 'L', 'AA', 'S', 'P']",
325,thapet,PSS,pseudo,short,simple,,5,,"['TH', 'AE1', 'P', 'AH0', 'T']","['TH', 'AE', 'P', 'AH', 'T']",
326,happos,PSS,pseudo,short,simple,,5,,"['HH', 'AE1', 'P', 'OW0', 'Z']","['HH', 'AE', 'P', 'OW', 'Z']",
327,fackda,PSS,pseudo,short,simple,,5,,"['F', 'AE1', 'K', 'D', 'AH0']","['F', 'AE', 'K', 'D', 'AH']",
328,waffit,PSS,pseudo,short,simple,,5,,"['W', 'AA1', 'F', 'IH0', 'T']","['W', 'AA', 'F', 'IH', 'T']",
329,motac,PSS,pseudo,short,simple,,5,,"['M', 'OW1', 'T', 'AH0', 'K']","['M', 'OW', 'T', 'AH', 'K']",
330,dimeth,PSS,pseudo,short,simple,,5,,"['D', 'IH1', 'M', 'IH0', 'TH']","['D', 'IH', 'M', 'IH', 'TH']",
331,mellem,PSS,pseudo,short,simple,,5,,"['M', 'EH1', 'L', 'IH0', 'M']","['M', 'EH', 'L', 'IH', 'M']",
332,seget,PSS,pseudo,short,simple,,5,,"['S', 'EH1', 'G', 'IH0', 'T']","['S', 'EH', 'G', 'IH', 'T']",
333,sinempt,PLS,pseudo,long,simple,,7,,"['S', 'IH1', 'N', 'AH0', 'M', 'P', 'T']","['S', 'IH', 'N', 'AH', 'M', 'P', 'T']",
334,admilaire,PLS,pseudo,long,simple,,7,,"['AE1', 'D', 'M', 'AH0', 'L', 'EH2', 'R']","['AE', 'D', 'M', 'AH', 'L', 'EH', 'R']",
335,shosequin,PLS,pseudo,long,simple,,7,,"['SH', 'OW1', 'S', 'K', 'W', 'IH0', 'N']","['SH', 'OW', 'S', 'K', 'W', 'IH', 'N']",
336,thamises,PLS,pseudo,long,simple,,7,,"['TH', 'AE1', 'M', 'AH0', 'S', 'AH0', 'Z']","['TH', 'AE', 'M', 'AH', 'S', 'AH', 'Z']",
337,hunfict,PLS,pseudo,long,simple,,7,,"['HH', 'AH0', 'N', 'F', 'IH1', 'K', 'T']","['HH', 'AH', 'N', 'F', 'IH', 'K', 'T']",
338,winagen,PLS,pseudo,long,simple,,7,,"['W', 'IH1', 'N', 'AH0', 'G', 'AH0', 'N']","['W', 'IH', 'N', 'AH', 'G', 'AH', 'N']",
339,hasiden,PLS,pseudo,long,simple,,7,,"['HH', 'AE1', 'Z', 'IH0', 'D', 'AH0', 'N']","['HH', 'AE', 'Z', 'IH', 'D', 'AH', 'N']",
340,manketa,PLS,pseudo,long,simple,,7,,"['M', 'AE0', 'N', 'K', 'EH1', 'T', 'AH0']","['M', 'AE', 'N', 'K', 'EH', 'T', 'AH']",
341,dristive,PLS,pseudo,long,simple,,7,,"['D', 'R', 'IH1', 'S', 'T', 'IH0', 'V']","['D', 'R', 'IH', 'S', 'T', 'IH', 'V']",
342,gazakin,PLS,pseudo,long,simple,,7,,"['G', 'AE1', 'Z', 'AH0', 'K', 'IH0', 'N']","['G', 'AE', 'Z', 'AH', 'K', 'IH', 'N']",
343,rananut,PLS,pseudo,long,simple,,7,,"['R', 'AE1', 'N', 'AH0', 'N', 'AH2', 'T']","['R', 'AE', 'N', 'AH', 'N', 'AH', 'T']",
344,eurtiance,PLS,pseudo,long,simple,,7,,"['Y', 'UH1', 'R', 'SH', 'AH0', 'N', 'S']","['Y', 'UH', 'R', 'SH', 'AH', 'N', 'S']",
345,plexan,PLS,pseudo,long,simple,,7,,"['P', 'L', 'EH1', 'K', 'S', 'AH0', 'N']","['P', 'L', 'EH', 'K', 'S', 'AH', 'N']",
346,namsessi,PLS,pseudo,long,simple,,7,,"['N', 'AA0', 'M', 'S', 'EH1', 'S', 'IY0']","['N', 'AA', 'M', 'S', 'EH', 'S', 'IY']",
