<<<<<<< Updated upstream:stimuli/handmade/real_equalized.csv
,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech
15,wonderful,RLCH,real,long,complex,7.08e-05,8,4.85,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']","['W', 'AH', 'N', 'D', 'ER', 'F', 'AH', 'L']",ADJ
16,reminds,RLCH,real,long,complex,1.66e-05,7,4.22,"['R', 'IY0', 'M', 'AY1', 'N', 'D', 'Z']","['R', 'IY', 'M', 'AY', 'N', 'D', 'Z']",VERB
17,commonwealth,RLCH,real,long,complex,2.19e-05,9,4.34,"['K', 'AA1', 'M', 'AH0', 'N', 'W', 'EH2', 'L', 'TH']","['K', 'AA', 'M', 'AH', 'N', 'W', 'EH', 'L', 'TH']",NOUN
18,investors,RLCH,real,long,complex,2.19e-05,8,4.34,"['IH0', 'N', 'V', 'EH1', 'S', 'T', 'ER0', 'Z']","['IH', 'N', 'V', 'EH', 'S', 'T', 'ER', 'Z']",NOUN
19,paintings,RLCH,real,long,complex,1.58e-05,7,4.2,"['P', 'EY1', 'N', 'T', 'IH0', 'NG', 'Z']","['P', 'EY', 'N', 'T', 'IH', 'NG', 'Z']",NOUN
20,december,RLCH,real,long,complex,0.000117,7,5.07,"['D', 'IH0', 'S', 'EH1', 'M', 'B', 'ER0']","['D', 'IH', 'S', 'EH', 'M', 'B', 'ER']",PROPN
21,newspapers,RLCH,real,long,complex,1.78e-05,8,4.25,"['N', 'UW1', 'Z', 'P', 'EY2', 'P', 'ER0', 'Z']","['N', 'UW', 'Z', 'P', 'EY', 'P', 'ER', 'Z']",NOUN
22,suspended,RLCH,real,long,complex,2.09e-05,9,4.32,"['S', 'AH0', 'S', 'P', 'EH1', 'N', 'D', 'AH0', 'D']","['S', 'AH', 'S', 'P', 'EH', 'N', 'D', 'AH', 'D']",VERB
23,exposure,RLCH,real,long,complex,2.75e-05,7,4.44,"['IH0', 'K', 'S', 'P', 'OW1', 'ZH', 'ER0']","['IH', 'K', 'S', 'P', 'OW', 'ZH', 'ER']",NOUN
24,strategic,RLCH,real,long,complex,2.69e-05,9,4.43,"['S', 'T', 'R', 'AH0', 'T', 'IY1', 'JH', 'IH0', 'K']","['S', 'T', 'R', 'AH', 'T', 'IY', 'JH', 'IH', 'K']",ADJ
25,musical,RLCH,real,long,complex,3.24e-05,8,4.51,"['M', 'Y', 'UW1', 'Z', 'IH0', 'K', 'AH0', 'L']","['M', 'Y', 'UW', 'Z', 'IH', 'K', 'AH', 'L']",ADJ
26,external,RLCH,real,long,complex,3.31e-05,8,4.52,"['IH0', 'K', 'S', 'T', 'ER1', 'N', 'AH0', 'L']","['IH', 'K', 'S', 'T', 'ER', 'N', 'AH', 'L']",ADJ
27,recording,RLCH,real,long,complex,3.24e-05,8,4.51,"['R', 'AH0', 'K', 'AO1', 'R', 'D', 'IH0', 'NG']","['R', 'AH', 'K', 'AO', 'R', 'D', 'IH', 'NG']",VERB
28,announcement,RLCH,real,long,complex,2.04e-05,9,4.31,"['AH0', 'N', 'AW1', 'N', 'S', 'M', 'AH0', 'N', 'T']","['AH', 'N', 'AW', 'N', 'S', 'M', 'AH', 'N', 'T']",NOUN
29,contained,RLCH,real,long,complex,2.82e-05,7,4.45,"['K', 'AH0', 'N', 'T', 'EY1', 'N', 'D']","['K', 'AH', 'N', 'T', 'EY', 'N', 'D']",VERB
30,problems,RLCH,real,long,complex,0.000155,8,5.19,"['P', 'R', 'AA1', 'B', 'L', 'AH0', 'M', 'Z']","['P', 'R', 'AA', 'B', 'L', 'AH', 'M', 'Z']",NOUN
31,classified,RLCH,real,long,complex,1.82e-05,8,4.26,"['K', 'L', 'AE1', 'S', 'AH0', 'F', 'AY2', 'D']","['K', 'L', 'AE', 'S', 'AH', 'F', 'AY', 'D']",VERB
32,wildlife,RLCH,real,long,complex,2.14e-05,7,4.33,"['W', 'AY1', 'L', 'D', 'L', 'AY2', 'F']","['W', 'AY', 'L', 'D', 'L', 'AY', 'F']",NOUN
33,radiation,RLCH,real,long,complex,1.86e-05,8,4.27,"['R', 'EY2', 'D', 'IY0', 'EY1', 'SH', 'AH0', 'N']","['R', 'EY', 'D', 'IY', 'EY', 'SH', 'AH', 'N']",NOUN
34,customer,RLCH,real,long,complex,4.07e-05,7,4.61,"['K', 'AH1', 'S', 'T', 'AH0', 'M', 'ER0']","['K', 'AH', 'S', 'T', 'AH', 'M', 'ER']",NOUN
35,expression,RLCH,real,long,complex,3.55e-05,9,4.55,"['IH0', 'K', 'S', 'P', 'R', 'EH1', 'SH', 'AH0', 'N']","['IH', 'K', 'S', 'P', 'R', 'EH', 'SH', 'AH', 'N']",NOUN
36,prominent,RLCH,real,long,complex,2.14e-05,9,4.33,"['P', 'R', 'AA1', 'M', 'AH0', 'N', 'AH0', 'N', 'T']","['P', 'R', 'AA', 'M', 'AH', 'N', 'AH', 'N', 'T']",ADJ
37,statement,RLCH,real,long,complex,9.33e-05,8,4.97,"['S', 'T', 'EY1', 'T', 'M', 'AH0', 'N', 'T']","['S', 'T', 'EY', 'T', 'M', 'AH', 'N', 'T']",NOUN
38,attracted,RLCH,real,long,complex,2.04e-05,8,4.31,"['AH0', 'T', 'R', 'AE1', 'K', 'T', 'AH0', 'D']","['AH', 'T', 'R', 'AE', 'K', 'T', 'AH', 'D']",VERB
39,consists,RLCH,real,long,complex,2.45e-05,8,4.39,"['K', 'AH0', 'N', 'S', 'IH1', 'S', 'T', 'S']","['K', 'AH', 'N', 'S', 'IH', 'S', 'T', 'S']",VERB
40,symptoms,RLCH,real,long,complex,3.02e-05,8,4.48,"['S', 'IH1', 'M', 'P', 'T', 'AH0', 'M', 'Z']","['S', 'IH', 'M', 'P', 'T', 'AH', 'M', 'Z']",NOUN
41,companies,RLCH,real,long,complex,0.000151,8,5.18,"['K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0', 'Z']","['K', 'AH', 'M', 'P', 'AH', 'N', 'IY', 'Z']",NOUN
42,signals,RLCH,real,long,complex,1.91e-05,7,4.28,"['S', 'IH1', 'G', 'N', 'AH0', 'L', 'Z']","['S', 'IH', 'G', 'N', 'AH', 'L', 'Z']",NOUN
43,african,RLCH,real,long,complex,6.61e-05,7,4.82,"['AE1', 'F', 'R', 'AH0', 'K', 'AH0', 'N']","['AE', 'F', 'R', 'AH', 'K', 'AH', 'N']",PROPN
44,medical,RLCH,real,long,complex,0.000145,7,5.16,"['M', 'EH1', 'D', 'AH0', 'K', 'AH0', 'L']","['M', 'EH', 'D', 'AH', 'K', 'AH', 'L']",ADJ
45,properties,RLCH,real,long,complex,4.47e-05,8,4.65,"['P', 'R', 'AA1', 'P', 'ER0', 'T', 'IY0', 'Z']","['P', 'R', 'AA', 'P', 'ER', 'T', 'IY', 'Z']",NOUN
46,transferred,RLCH,real,long,complex,2.29e-05,8,4.36,"['T', 'R', 'AE0', 'N', 'S', 'F', 'ER1', 'D']","['T', 'R', 'AE', 'N', 'S', 'F', 'ER', 'D']",VERB
47,manchester,RLCH,real,long,complex,3.39e-05,8,4.53,"['M', 'AE1', 'N', 'CH', 'EH2', 'S', 'T', 'ER0']","['M', 'AE', 'N', 'CH', 'EH', 'S', 'T', 'ER']",PROPN
48,awareness,RLCH,real,long,complex,2.75e-05,7,4.44,"['AH0', 'W', 'EH1', 'R', 'N', 'AH0', 'S']","['AH', 'W', 'EH', 'R', 'N', 'AH', 'S']",NOUN
49,occupation,RLCH,real,long,complex,1.58e-05,9,4.2,"['AA2', 'K', 'Y', 'AH0', 'P', 'EY1', 'SH', 'AH0', 'N']","['AA', 'K', 'Y', 'AH', 'P', 'EY', 'SH', 'AH', 'N']",NOUN
50,objects,RLCH,real,long,complex,3.24e-05,7,4.51,"['AA1', 'B', 'JH', 'EH0', 'K', 'T', 'S']","['AA', 'B', 'JH', 'EH', 'K', 'T', 'S']",NOUN
51,copyright,RLCH,real,long,complex,1.74e-05,7,4.24,"['K', 'AA1', 'P', 'IY0', 'R', 'AY2', 'T']","['K', 'AA', 'P', 'IY', 'R', 'AY', 'T']",NOUN
52,aircraft,RLCH,real,long,complex,4.37e-05,7,4.64,"['EH1', 'R', 'K', 'R', 'AE2', 'F', 'T']","['EH', 'R', 'K', 'R', 'AE', 'F', 'T']",NOUN
53,girlfriend,RLCH,real,long,complex,4.79e-05,8,4.68,"['G', 'ER1', 'L', 'F', 'R', 'EH2', 'N', 'D']","['G', 'ER', 'L', 'F', 'R', 'EH', 'N', 'D']",NOUN
54,directions,RLCH,real,long,complex,1.7e-05,8,4.23,"['D', 'ER0', 'EH1', 'K', 'SH', 'AH0', 'N', 'Z']","['D', 'ER', 'EH', 'K', 'SH', 'AH', 'N', 'Z']",NOUN
55,computer,RLCH,real,long,complex,9.33e-05,8,4.97,"['K', 'AH0', 'M', 'P', 'Y', 'UW1', 'T', 'ER0']","['K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER']",NOUN
56,elementary,RLCH,real,long,complex,2.14e-05,9,4.33,"['EH2', 'L', 'AH0', 'M', 'EH1', 'N', 'T', 'R', 'IY0']","['EH', 'L', 'AH', 'M', 'EH', 'N', 'T', 'R', 'IY']",PROPN
57,formerly,RLCH,real,long,complex,1.74e-05,7,4.24,"['F', 'AO1', 'R', 'M', 'ER0', 'L', 'IY0']","['F', 'AO', 'R', 'M', 'ER', 'L', 'IY']",ADV
58,controls,RLCH,real,long,complex,2.57e-05,8,4.41,"['K', 'AH0', 'N', 'T', 'R', 'OW1', 'L', 'Z']","['K', 'AH', 'N', 'T', 'R', 'OW', 'L', 'Z']",VERB
59,extension,RLCH,real,long,complex,2.88e-05,9,4.46,"['IH0', 'K', 'S', 'T', 'EH1', 'N', 'SH', 'AH0', 'N']","['IH', 'K', 'S', 'T', 'EH', 'N', 'SH', 'AH', 'N']",NOUN
60,automatic,RLCH,real,long,complex,2.29e-05,8,4.36,"['AO2', 'T', 'AH0', 'M', 'AE1', 'T', 'IH0', 'K']","['AO', 'T', 'AH', 'M', 'AE', 'T', 'IH', 'K']",ADJ
61,questions,RLCH,real,long,complex,0.000141,8,5.15,"['K', 'W', 'EH1', 'S', 'CH', 'AH0', 'N', 'Z']","['K', 'W', 'EH', 'S', 'CH', 'AH', 'N', 'Z']",NOUN
62,material,RLCH,real,long,complex,8.91e-05,8,4.95,"['M', 'AH0', 'T', 'IH1', 'R', 'IY0', 'AH0', 'L']","['M', 'AH', 'T', 'IH', 'R', 'IY', 'AH', 'L']",NOUN
63,explaining,RLCH,real,long,complex,1.7e-05,9,4.23,"['IH0', 'K', 'S', 'P', 'L', 'EY1', 'N', 'IH0', 'NG']","['IH', 'K', 'S', 'P', 'L', 'EY', 'N', 'IH', 'NG']",VERB
64,responses,RLCH,real,long,complex,1.95e-05,9,4.29,"['R', 'IH0', 'S', 'P', 'AA1', 'N', 'S', 'IH0', 'Z']","['R', 'IH', 'S', 'P', 'AA', 'N', 'S', 'IH', 'Z']",NOUN
65,existence,RLCH,real,long,complex,3.55e-05,9,4.55,"['EH0', 'G', 'Z', 'IH1', 'S', 'T', 'AH0', 'N', 'S']","['EH', 'G', 'Z', 'IH', 'S', 'T', 'AH', 'N', 'S']",NOUN
66,racism,RLCH,real,long,complex,1.78e-05,7,4.25,"['R', 'EY1', 'S', 'IH2', 'Z', 'AH0', 'M']","['R', 'EY', 'S', 'IH', 'Z', 'AH', 'M']",NOUN
67,contest,RLCH,real,long,complex,3.39e-05,7,4.53,"['K', 'AA1', 'N', 'T', 'EH0', 'S', 'T']","['K', 'AA', 'N', 'T', 'EH', 'S', 'T']",VERB
68,afternoon,RLCH,real,long,complex,5.25e-05,7,4.72,"['AE2', 'F', 'T', 'ER0', 'N', 'UW1', 'N']","['AE', 'F', 'T', 'ER', 'N', 'UW', 'N']",NOUN
69,included,RLCH,real,long,complex,0.000107,8,5.03,"['IH0', 'N', 'K', 'L', 'UW1', 'D', 'AH0', 'D']","['IH', 'N', 'K', 'L', 'UW', 'D', 'AH', 'D']",VERB
70,president,RLCH,real,long,complex,0.000282,9,5.45,"['P', 'R', 'EH1', 'Z', 'AH0', 'D', 'EH2', 'N', 'T']","['P', 'R', 'EH', 'Z', 'AH', 'D', 'EH', 'N', 'T']",PROPN
71,providing,RLCH,real,long,complex,5.25e-05,8,4.72,"['P', 'R', 'AH0', 'V', 'AY1', 'D', 'IH0', 'NG']","['P', 'R', 'AH', 'V', 'AY', 'D', 'IH', 'NG']",VERB
72,upcoming,RLCH,real,long,complex,2.19e-05,7,4.34,"['AH1', 'P', 'K', 'AH2', 'M', 'IH0', 'NG']","['AH', 'P', 'K', 'AH', 'M', 'IH', 'NG']",VERB
73,products,RLCH,real,long,complex,0.00011,8,5.04,"['P', 'R', 'AA1', 'D', 'AH0', 'K', 'T', 'S']","['P', 'R', 'AA', 'D', 'AH', 'K', 'T', 'S']",NOUN
74,surprising,RLCH,real,long,complex,1.91e-05,8,4.28,"['S', 'ER0', 'P', 'R', 'AY1', 'Z', 'IH0', 'NG']","['S', 'ER', 'P', 'R', 'AY', 'Z', 'IH', 'NG']",VERB
75,company,RLCH,real,long,complex,0.000398,7,5.6,"['K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0']","['K', 'AH', 'M', 'P', 'AH', 'N', 'IY']",NOUN
76,directors,RLCH,real,long,complex,2.82e-05,7,4.45,"['D', 'ER0', 'EH1', 'K', 'T', 'ER0', 'Z']","['D', 'ER', 'EH', 'K', 'T', 'ER', 'Z']",NOUN
77,artificial,RLCH,real,long,complex,1.74e-05,9,4.24,"['AA2', 'R', 'T', 'AH0', 'F', 'IH1', 'SH', 'AH0', 'L']","['AA', 'R', 'T', 'AH', 'F', 'IH', 'SH', 'AH', 'L']",ADJ
78,minimum,RLCH,real,long,complex,4.9e-05,7,4.69,"['M', 'IH1', 'N', 'AH0', 'M', 'AH0', 'M']","['M', 'IH', 'N', 'AH', 'M', 'AH', 'M']",ADJ
79,terrorist,RLCH,real,long,complex,2.24e-05,7,4.35,"['T', 'EH1', 'R', 'ER0', 'IH0', 'S', 'T']","['T', 'EH', 'R', 'ER', 'IH', 'S', 'T']",NOUN
80,industry,RLCH,real,long,complex,0.000155,8,5.19,"['IH1', 'N', 'D', 'AH0', 'S', 'T', 'R', 'IY0']","['IH', 'N', 'D', 'AH', 'S', 'T', 'R', 'IY']",NOUN
81,primarily,RLCH,real,long,complex,3.02e-05,9,4.48,"['P', 'R', 'AY0', 'M', 'EH1', 'R', 'AH0', 'L', 'IY0']","['P', 'R', 'AY', 'M', 'EH', 'R', 'AH', 'L', 'IY']",ADV
82,subjects,RLCH,real,long,complex,2.4e-05,8,4.38,"['S', 'AH1', 'B', 'JH', 'IH0', 'K', 'T', 'S']","['S', 'AH', 'B', 'JH', 'IH', 'K', 'T', 'S']",NOUN
83,location,RLCH,real,long,complex,7.24e-05,7,4.86,"['L', 'OW0', 'K', 'EY1', 'SH', 'AH0', 'N']","['L', 'OW', 'K', 'EY', 'SH', 'AH', 'N']",NOUN
84,extent,RLCH,real,long,complex,2.95e-05,7,4.47,"['IH0', 'K', 'S', 'T', 'EH1', 'N', 'T']","['IH', 'K', 'S', 'T', 'EH', 'N', 'T']",VERB
85,supports,RLCH,real,long,complex,2.63e-05,7,4.42,"['S', 'AH0', 'P', 'AO1', 'R', 'T', 'S']","['S', 'AH', 'P', 'AO', 'R', 'T', 'S']",VERB
86,informed,RLCH,real,long,complex,2.82e-05,7,4.45,"['IH0', 'N', 'F', 'AO1', 'R', 'M', 'D']","['IH', 'N', 'F', 'AO', 'R', 'M', 'D']",VERB
87,prepared,RLCH,real,long,complex,5.5e-05,7,4.74,"['P', 'R', 'IY0', 'P', 'EH1', 'R', 'D']","['P', 'R', 'IY', 'P', 'EH', 'R', 'D']",VERB
88,segment,RLCH,real,long,complex,1.82e-05,7,4.26,"['S', 'EH2', 'G', 'M', 'EH1', 'N', 'T']","['S', 'EH', 'G', 'M', 'EH', 'N', 'T']",NOUN
89,adopted,RLCH,real,long,complex,3.24e-05,7,4.51,"['AH0', 'D', 'AA1', 'P', 'T', 'AH0', 'D']","['AH', 'D', 'AA', 'P', 'T', 'AH', 'D']",VERB
90,anxiety,RLCH,real,long,complex,2.82e-05,7,4.45,"['AE0', 'NG', 'Z', 'AY1', 'AH0', 'T', 'IY0']","['AE', 'NG', 'Z', 'AY', 'AH', 'T', 'IY']",NOUN
91,complaints,RLCH,real,long,complex,1.7e-05,9,4.23,"['K', 'AH0', 'M', 'P', 'L', 'EY1', 'N', 'T', 'S']","['K', 'AH', 'M', 'P', 'L', 'EY', 'N', 'T', 'S']",NOUN
92,nigeria,RLCH,real,long,complex,2.14e-05,7,4.33,"['N', 'AY0', 'JH', 'IH1', 'R', 'IY0', 'AH0']","['N', 'AY', 'JH', 'IH', 'R', 'IY', 'AH']",PROPN
93,photographer,RLCH,real,long,complex,1.91e-05,9,4.28,"['F', 'AH0', 'T', 'AA1', 'G', 'R', 'AH0', 'F', 'ER0']","['F', 'AH', 'T', 'AA', 'G', 'R', 'AH', 'F', 'ER']",NOUN
94,recently,RLCH,real,long,complex,0.000105,8,5.02,"['R', 'IY1', 'S', 'AH0', 'N', 'T', 'L', 'IY0']","['R', 'IY', 'S', 'AH', 'N', 'T', 'L', 'IY']",ADV
95,sufficient,RLCH,real,long,complex,2.09e-05,8,4.32,"['S', 'AH0', 'F', 'IH1', 'SH', 'AH0', 'N', 'T']","['S', 'AH', 'F', 'IH', 'SH', 'AH', 'N', 'T']",ADJ
96,additional,RLCH,real,long,complex,9.55e-05,8,4.98,"['AH0', 'D', 'IH1', 'SH', 'AH0', 'N', 'AH0', 'L']","['AH', 'D', 'IH', 'SH', 'AH', 'N', 'AH', 'L']",ADJ
97,greatest,RLCH,real,long,complex,6.17e-05,7,4.79,"['G', 'R', 'EY1', 'T', 'AH0', 'S', 'T']","['G', 'R', 'EY', 'T', 'AH', 'S', 'T']",ADJ
98,producers,RLCH,real,long,complex,2.19e-05,8,4.34,"['P', 'R', 'AH0', 'D', 'UW1', 'S', 'ER0', 'Z']","['P', 'R', 'AH', 'D', 'UW', 'S', 'ER', 'Z']",NOUN
99,television,RLCH,real,long,complex,6.17e-05,9,4.79,"['T', 'EH1', 'L', 'AH0', 'V', 'IH2', 'ZH', 'AH0', 'N']","['T', 'EH', 'L', 'AH', 'V', 'IH', 'ZH', 'AH', 'N']",NOUN
100,venetian,RLCL,real,long,complex,2e-06,7,3.3,"['V', 'AH0', 'N', 'IY1', 'SH', 'AH0', 'N']","['V', 'AH', 'N', 'IY', 'SH', 'AH', 'N']",ADJ
101,noteworthy,RLCL,real,long,complex,3.09e-06,7,3.49,"['N', 'OW1', 'T', 'W', 'ER2', 'DH', 'IY0']","['N', 'OW', 'T', 'W', 'ER', 'DH', 'IY']",ADJ
102,markedly,RLCL,real,long,complex,1.95e-06,8,3.29,"['M', 'AA1', 'R', 'K', 'AH0', 'D', 'L', 'IY0']","['M', 'AA', 'R', 'K', 'AH', 'D', 'L', 'IY']",ADV
103,consciously,RLCL,real,long,complex,3.16e-06,8,3.5,"['K', 'AA1', 'N', 'SH', 'AH0', 'S', 'L', 'IY0']","['K', 'AA', 'N', 'SH', 'AH', 'S', 'L', 'IY']",ADV
104,parasites,RLCL,real,long,complex,3.16e-06,8,3.5,"['P', 'EH1', 'R', 'AH0', 'S', 'AY2', 'T', 'S']","['P', 'EH', 'R', 'AH', 'S', 'AY', 'T', 'S']",NOUN
105,preventive,RLCL,real,long,complex,3.16e-06,9,3.5,"['P', 'R', 'IH0', 'V', 'EH1', 'N', 'T', 'IH0', 'V']","['P', 'R', 'IH', 'V', 'EH', 'N', 'T', 'IH', 'V']",ADJ
106,vindictive,RLCL,real,long,complex,9.55e-07,9,2.98,"['V', 'IH0', 'N', 'D', 'IH1', 'K', 'T', 'IH0', 'V']","['V', 'IH', 'N', 'D', 'IH', 'K', 'T', 'IH', 'V']",ADJ
107,telemetry,RLCL,real,long,complex,1e-06,9,3.0,"['T', 'AH0', 'L', 'EH1', 'M', 'AH0', 'T', 'R', 'IY0']","['T', 'AH', 'L', 'EH', 'M', 'AH', 'T', 'R', 'IY']",NOUN
108,compulsive,RLCL,real,long,complex,1.95e-06,9,3.29,"['K', 'AH0', 'M', 'P', 'AH1', 'L', 'S', 'IH0', 'V']","['K', 'AH', 'M', 'P', 'AH', 'L', 'S', 'IH', 'V']",ADJ
109,obedience,RLCL,real,long,complex,3.16e-06,8,3.5,"['OW0', 'B', 'IY1', 'D', 'IY0', 'AH0', 'N', 'S']","['OW', 'B', 'IY', 'D', 'IY', 'AH', 'N', 'S']",NOUN
110,pretext,RLCL,real,long,complex,1.86e-06,8,3.27,"['P', 'R', 'IY1', 'T', 'EH2', 'K', 'S', 'T']","['P', 'R', 'IY', 'T', 'EH', 'K', 'S', 'T']",NOUN
>>>>>>> Stashed changes:stimuli/handmade/test_equalized.csv
111,climactic,RLCL,real,long,complex,7.41e-07,9,2.87,"['K', 'L', 'AY0', 'M', 'AE1', 'K', 'T', 'IH0', 'K']","['K', 'L', 'AY', 'M', 'AE', 'K', 'T', 'IH', 'K']",ADJ
112,galactic,RLCL,real,long,complex,3.09e-06,8,3.49,"['G', 'AH0', 'L', 'AE1', 'K', 'T', 'IH0', 'K']","['G', 'AH', 'L', 'AE', 'K', 'T', 'IH', 'K']",ADJ
113,monologue,RLCL,real,long,complex,1.86e-06,7,3.27,"['M', 'AA1', 'N', 'AH0', 'L', 'AO2', 'G']","['M', 'AA', 'N', 'AH', 'L', 'AO', 'G']",NOUN
114,suspicions,RLCL,real,long,complex,3.09e-06,9,3.49,"['S', 'AH0', 'S', 'P', 'IH1', 'SH', 'AH0', 'N', 'Z']","['S', 'AH', 'S', 'P', 'IH', 'SH', 'AH', 'N', 'Z']",NOUN
115,correspond,RLCL,real,long,complex,3.16e-06,9,3.5,"['K', 'AO2', 'R', 'AH0', 'S', 'P', 'AA1', 'N', 'D']","['K', 'AO', 'R', 'AH', 'S', 'P', 'AA', 'N', 'D']",VERB
116,woodbury,RLCL,real,long,complex,7.94e-07,7,2.9,"['W', 'UH1', 'D', 'B', 'EH2', 'R', 'IY0']","['W', 'UH', 'D', 'B', 'EH', 'R', 'IY']",PROPN
117,bulldozer,RLCL,real,long,complex,7.59e-07,7,2.88,"['B', 'UH1', 'L', 'D', 'OW2', 'Z', 'ER0']","['B', 'UH', 'L', 'D', 'OW', 'Z', 'ER']",NOUN
118,refinery,RLCL,real,long,complex,3.09e-06,7,3.49,"['R', 'IH0', 'F', 'AY1', 'N', 'ER0', 'IY0']","['R', 'IH', 'F', 'AY', 'N', 'ER', 'IY']",NOUN
119,telepathy,RLCL,real,long,complex,7.59e-07,8,2.88,"['T', 'AH0', 'L', 'EH1', 'P', 'AH0', 'TH', 'IY0']","['T', 'AH', 'L', 'EH', 'P', 'AH', 'TH', 'IY']",PROPN
120,specialize,RLCL,real,long,complex,1.91e-06,8,3.28,"['S', 'P', 'EH1', 'SH', 'AH0', 'L', 'AY2', 'Z']","['S', 'P', 'EH', 'SH', 'AH', 'L', 'AY', 'Z']",VERB
121,embarked,RLCL,real,long,complex,3.16e-06,7,3.5,"['EH0', 'M', 'B', 'AA1', 'R', 'K', 'T']","['EH', 'M', 'B', 'AA', 'R', 'K', 'T']",VERB
122,mediator,RLCL,real,long,complex,1.95e-06,7,3.29,"['M', 'IY1', 'D', 'IY0', 'EY2', 'T', 'ER0']","['M', 'IY', 'D', 'IY', 'EY', 'T', 'ER']",NOUN
123,corrupted,RLCL,real,long,complex,3.09e-06,7,3.49,"['K', 'ER0', 'AH1', 'P', 'T', 'IH0', 'D']","['K', 'ER', 'AH', 'P', 'T', 'IH', 'D']",VERB
124,traveller,RLCL,real,long,complex,3.09e-06,7,3.49,"['T', 'R', 'AE1', 'V', 'AH0', 'L', 'ER0']","['T', 'R', 'AE', 'V', 'AH', 'L', 'ER']",NOUN
125,proclaim,RLCL,real,long,complex,1.86e-06,7,3.27,"['P', 'R', 'OW0', 'K', 'L', 'EY1', 'M']","['P', 'R', 'OW', 'K', 'L', 'EY', 'M']",VERB
126,lackluster,RLCL,real,long,complex,9.77e-07,8,2.99,"['L', 'AE1', 'K', 'L', 'AH2', 'S', 'T', 'ER0']","['L', 'AE', 'K', 'L', 'AH', 'S', 'T', 'ER']",ADJ
127,allegation,RLCL,real,long,complex,3.16e-06,8,3.5,"['AE2', 'L', 'AH0', 'G', 'EY1', 'SH', 'AH0', 'N']","['AE', 'L', 'AH', 'G', 'EY', 'SH', 'AH', 'N']",NOUN
128,sequential,RLCL,real,long,complex,1.95e-06,9,3.29,"['S', 'AH0', 'K', 'W', 'EH1', 'N', 'CH', 'AH0', 'L']","['S', 'AH', 'K', 'W', 'EH', 'N', 'CH', 'AH', 'L']",ADJ
129,baritone,RLCL,real,long,complex,9.55e-07,7,2.98,"['B', 'EH1', 'R', 'AH0', 'T', 'OW2', 'N']","['B', 'EH', 'R', 'AH', 'T', 'OW', 'N']",NOUN
130,parasitic,RLCL,real,long,complex,1.86e-06,9,3.27,"['P', 'EH2', 'R', 'AH0', 'S', 'IH1', 'T', 'IH0', 'K']","['P', 'EH', 'R', 'AH', 'S', 'IH', 'T', 'IH', 'K']",ADJ
131,diabetics,RLCL,real,long,complex,7.41e-07,9,2.87,"['D', 'AY2', 'AH0', 'B', 'EH1', 'T', 'IH0', 'K', 'S']","['D', 'AY', 'AH', 'B', 'EH', 'T', 'IH', 'K', 'S']",NOUN
132,blasted,RLCL,real,long,complex,3.09e-06,7,3.49,"['B', 'L', 'AE1', 'S', 'T', 'AH0', 'D']","['B', 'L', 'AE', 'S', 'T', 'AH', 'D']",VERB
133,locomotive,RLCL,real,long,complex,3.16e-06,9,3.5,"['L', 'OW2', 'K', 'AH0', 'M', 'OW1', 'T', 'IH0', 'V']","['L', 'OW', 'K', 'AH', 'M', 'OW', 'T', 'IH', 'V']",NOUN
134,pivotal,RLCL,real,long,complex,3.16e-06,7,3.5,"['P', 'IH1', 'V', 'AH0', 'T', 'AH0', 'L']","['P', 'IH', 'V', 'AH', 'T', 'AH', 'L']",ADJ
135,trampoline,RLCL,real,long,complex,1.38e-06,9,3.14,"['T', 'R', 'AE2', 'M', 'P', 'AH0', 'L', 'IY1', 'N']","['T', 'R', 'AE', 'M', 'P', 'AH', 'L', 'IY', 'N']",NOUN
136,regression,RLCL,real,long,complex,3.16e-06,8,3.5,"['R', 'AH0', 'G', 'R', 'EH1', 'SH', 'AH0', 'N']","['R', 'AH', 'G', 'R', 'EH', 'SH', 'AH', 'N']",NOUN
137,asymmetry,RLCL,real,long,complex,7.59e-07,8,2.88,"['EY2', 'S', 'IH1', 'M', 'AH0', 'T', 'R', 'IY0']","['EY', 'S', 'IH', 'M', 'AH', 'T', 'R', 'IY']",NOUN
138,clarified,RLCL,real,long,complex,3.09e-06,8,3.49,"['K', 'L', 'EH1', 'R', 'AH0', 'F', 'AY2', 'D']","['K', 'L', 'EH', 'R', 'AH', 'F', 'AY', 'D']",VERB
139,housekeeper,RLCL,real,long,complex,1.95e-06,7,3.29,"['HH', 'AW1', 'S', 'K', 'IY2', 'P', 'ER0']","['HH', 'AW', 'S', 'K', 'IY', 'P', 'ER']",NOUN
140,egyptians,RLCL,real,long,complex,3.09e-06,8,3.49,"['IH0', 'JH', 'IH1', 'P', 'SH', 'AH0', 'N', 'Z']","['IH', 'JH', 'IH', 'P', 'SH', 'AH', 'N', 'Z']",PROPN
141,nautical,RLCL,real,long,complex,3.09e-06,7,3.49,"['N', 'AO1', 'T', 'AH0', 'K', 'AH0', 'L']","['N', 'AO', 'T', 'AH', 'K', 'AH', 'L']",ADJ
