Word,Lexicality,Zipf Frequency,Frequency,Phonemes,No Stress,Length,Size
ashamed,real,4.06,high,"['AH0', 'SH', 'EY1', 'M', 'D']","['AH', 'SH', 'EY', 'M', 'D']",5,short
onset,real,3.72,high,"['AA1', 'N', 'S', 'EH2', 'T']","['AA', 'N', 'S', 'EH', 'T']",5,short
interrelates,real,1.01,low,"['IH2', 'N', 'T', 'ER0', 'R', 'EY1', 'L', 'T', 'EY2', 'S']","['IH', 'N', 'T', 'ER', 'R', 'EY', 'L', 'T', 'EY', 'S']",10,long
misbehaves,real,2.0,low,"['M', 'IH2', 'S', 'B', 'AH0', 'HH', 'EY1', 'V', 'Z']","['M', 'IH', 'S', 'B', 'AH', 'HH', 'EY', 'V', 'Z']",9,long
instalments,real,2.75,low,"['IH0', 'N', 'S', 'T', 'AO1', 'L', 'M', 'AH0', 'N', 'T', 'S']","['IH', 'N', 'S', 'T', 'AO', 'L', 'M', 'AH', 'N', 'T', 'S']",11,long
undergrounds,real,1.41,low,"['AH1', 'N', 'D', 'ER0', 'G', 'R', 'AW2', 'N', 'D', 'Z']","['AH', 'N', 'D', 'ER', 'G', 'R', 'AW', 'N', 'D', 'Z']",10,long
retouching,real,2.37,low,"['R', 'IY0', 'T', 'AH1', 'CH', 'IH0', 'NG']","['R', 'IY', 'T', 'AH', 'CH', 'IH', 'NG']",7,long
fashionable,real,3.65,high,"['F', 'AE1', 'SH', 'AH0', 'N', 'AH0', 'B', 'AH0', 'L']","['F', 'AE', 'SH', 'AH', 'N', 'AH', 'B', 'AH', 'L']",9,long
powerless,real,3.49,low,"['P', 'AW1', 'ER0', 'L', 'AH0', 'S']","['P', 'AW', 'ER', 'L', 'AH', 'S']",6,short
Pomeranian,real,2.58,low,"['P', 'AA2', 'M', 'ER0', 'EY1', 'N', 'IY0', 'AH0', 'N']","['P', 'AA', 'M', 'ER', 'EY', 'N', 'IY', 'AH', 'N']",9,long
disfigured,real,2.93,low,"['D', 'IH0', 'S', 'F', 'IH1', 'G', 'Y', 'ER0', 'D']","['D', 'IH', 'S', 'F', 'IH', 'G', 'Y', 'ER', 'D']",9,long
adjusts,real,3.03,low,"['AH0', 'JH', 'AH1', 'S', 'T', 'S']","['AH', 'JH', 'AH', 'S', 'T', 'S']",6,short
reconsider,real,3.63,high,"['R', 'IY2', 'K', 'AH0', 'N', 'S', 'IH1', 'D', 'ER0']","['R', 'IY', 'K', 'AH', 'N', 'S', 'IH', 'D', 'ER']",9,long
renovator,real,1.59,low,"['R', 'EH1', 'N', 'AH0', 'V', 'EY2', 'T', 'ER0']","['R', 'EH', 'N', 'AH', 'V', 'EY', 'T', 'ER']",8,long
asymptotic,real,2.69,low,"['EY2', 'S', 'M', 'AH0', 'T', 'AA1', 'T', 'IH0', 'K']","['EY', 'S', 'M', 'AH', 'T', 'AA', 'T', 'IH', 'K']",9,long
reduction,real,4.39,high,"['R', 'AH0', 'D', 'AH1', 'K', 'SH', 'AH0', 'N']","['R', 'AH', 'D', 'AH', 'K', 'SH', 'AH', 'N']",8,long
enumerated,real,2.8,low,"['IH0', 'N', 'UW1', 'M', 'ER0', 'EY2', 'T', 'IH0', 'D']","['IH', 'N', 'UW', 'M', 'ER', 'EY', 'T', 'IH', 'D']",9,long
immobility,real,2.35,low,"['IH2', 'M', 'OW0', 'B', 'IH1', 'L', 'IH0', 'T', 'IY0']","['IH', 'M', 'OW', 'B', 'IH', 'L', 'IH', 'T', 'IY']",9,long
inadvertence,real,1.29,low,"['IH2', 'N', 'AH0', 'D', 'V', 'ER1', 'T', 'AH0', 'N', 'S']","['IH', 'N', 'AH', 'D', 'V', 'ER', 'T', 'AH', 'N', 'S']",10,long
distractedly,real,1.72,low,"['D', 'IH0', 'S', 'T', 'R', 'AE1', 'K', 'T', 'AH0', 'D', 'L', 'IY0']","['D', 'IH', 'S', 'T', 'R', 'AE', 'K', 'T', 'AH', 'D', 'L', 'IY']",12,long
outskirts,real,3.56,high,"['AW1', 'T', 'S', 'K', 'ER2', 'T', 'S']","['AW', 'T', 'S', 'K', 'ER', 'T', 'S']",7,long
expostulated,real,1.03,low,"['EH2', 'K', 'S', 'P', 'AH0', 'T', 'S', 'UW1', 'L', 'AH0', 'T', 'AH0', 'L']","['EH', 'K', 'S', 'P', 'AH', 'T', 'S', 'UW', 'L', 'AH', 'T', 'AH', 'L']",13,long
spongy,real,2.62,low,"['S', 'P', 'AH1', 'N', 'JH', 'IY0']","['S', 'P', 'AH', 'N', 'JH', 'IY']",6,short
redevelopment,real,3.44,low,"['R', 'IY2', 'D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P', 'M', 'AH0', 'N', 'T']","['R', 'IY', 'D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'M', 'AH', 'N', 'T']",13,long
forelegs,real,2.07,low,"['F', 'AO1', 'R', 'AH0', 'L', 'Z']","['F', 'AO', 'R', 'AH', 'L', 'Z']",6,short
swampy,real,2.76,low,"['S', 'W', 'AA1', 'M', 'P', 'IY0']","['S', 'W', 'AA', 'M', 'P', 'IY']",6,short
inspection,real,4.14,high,"['IH0', 'N', 'S', 'P', 'EH1', 'K', 'SH', 'AH0', 'N']","['IH', 'N', 'S', 'P', 'EH', 'K', 'SH', 'AH', 'N']",9,long
backbiting,real,1.99,low,"['B', 'AE1', 'K', 'B', 'AY2', 'T', 'IH0', 'NG']","['B', 'AE', 'K', 'B', 'AY', 'T', 'IH', 'NG']",8,long
unsupported,real,2.99,low,"['AH0', 'N', 'S', 'AH0', 'P', 'AO1', 'R', 'T', 'IH0', 'D']","['AH', 'N', 'S', 'AH', 'P', 'AO', 'R', 'T', 'IH', 'D']",10,long
humanized,real,2.39,low,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'AY2', 'Z', 'D']","['HH', 'Y', 'UW', 'M', 'AH', 'N', 'AY', 'Z', 'D']",9,long
exhibition,real,4.37,high,"['EH2', 'K', 'S', 'AH0', 'B', 'IH1', 'SH', 'AH0', 'N']","['EH', 'K', 'S', 'AH', 'B', 'IH', 'SH', 'AH', 'N']",9,long
proportion,real,4.11,high,"['P', 'R', 'AH0', 'P', 'AO1', 'R', 'SH', 'AH0', 'N']","['P', 'R', 'AH', 'P', 'AO', 'R', 'SH', 'AH', 'N']",9,long
reorganized,real,3.0,low,"['R', 'IY0', 'AO1', 'R', 'G', 'AH0', 'N', 'AY2', 'Z', 'D']","['R', 'IY', 'AO', 'R', 'G', 'AH', 'N', 'AY', 'Z', 'D']",10,long
metamorphosis,real,3.03,low,"['M', 'EH2', 'T', 'AH0', 'M', 'AO1', 'R', 'F', 'AH0', 'S', 'AH0', 'S']","['M', 'EH', 'T', 'AH', 'M', 'AO', 'R', 'F', 'AH', 'S', 'AH', 'S']",12,long
reflections,real,3.67,high,"['R', 'IH0', 'F', 'L', 'EH1', 'K', 'SH', 'AH0', 'N', 'Z']","['R', 'IH', 'F', 'L', 'EH', 'K', 'SH', 'AH', 'N', 'Z']",10,long
interrelations,real,1.86,low,"['IH2', 'N', 'T', 'R', 'AH0', 'L', 'EH1', 'R', 'SH', 'AH0', 'N', 'Z']","['IH', 'N', 'T', 'R', 'AH', 'L', 'EH', 'R', 'SH', 'AH', 'N', 'Z']",12,long
thousandth,real,2.55,low,"['TH', 'AW1', 'Z', 'AH0', 'N', 'D', 'TH']","['TH', 'AW', 'Z', 'AH', 'N', 'D', 'TH']",7,long
slogger,real,1.13,low,"['S', 'L', 'AA1', 'G', 'ER0']","['S', 'L', 'AA', 'G', 'ER']",5,short
impurity,real,2.69,low,"['IH0', 'M', 'P', 'Y', 'UH1', 'R', 'AH0', 'T', 'IY0']","['IH', 'M', 'P', 'Y', 'UH', 'R', 'AH', 'T', 'IY']",9,long
horrifying,real,3.46,low,"['HH', 'AO1', 'R', 'AH0', 'F', 'AY2', 'IH0', 'NG']","['HH', 'AO', 'R', 'AH', 'F', 'AY', 'IH', 'NG']",8,long
defrocking,real,1.19,low,"['D', 'IH0', 'F', 'R', 'AA1', 'K', 'IH0', 'NG']","['D', 'IH', 'F', 'R', 'AA', 'K', 'IH', 'NG']",8,long
acceptation,real,1.6,low,"['AE2', 'K', 'S', 'AH0', 'P', 'T', 'EY1', 'SH', 'AH0', 'N']","['AE', 'K', 'S', 'AH', 'P', 'T', 'EY', 'SH', 'AH', 'N']",10,long
Pakistani,real,4.01,high,"['P', 'AE2', 'K', 'IH0', 'S', 'T', 'AE1', 'N', 'IY0']","['P', 'AE', 'K', 'IH', 'S', 'T', 'AE', 'N', 'IY']",9,long
nominees,real,3.66,high,"['N', 'AA2', 'M', 'AH0', 'N', 'IY1', 'Z']","['N', 'AA', 'M', 'AH', 'N', 'IY', 'Z']",7,long
interconnectedness,real,2.31,low,"['IH2', 'N', 'T', 'ER0', 'K', 'AH0', 'D', 'EH1', 'K', 'AH0', 'N', 'T', 'S']","['IH', 'N', 'T', 'ER', 'K', 'AH', 'D', 'EH', 'K', 'AH', 'N', 'T', 'S']",13,long
prisoner,real,4.2,high,"['P', 'R', 'IH1', 'Z', 'AH0', 'N', 'ER0']","['P', 'R', 'IH', 'Z', 'AH', 'N', 'ER']",7,long
disapproved,real,2.94,low,"['D', 'IH2', 'S', 'AH0', 'P', 'R', 'UW1', 'V', 'D']","['D', 'IH', 'S', 'AH', 'P', 'R', 'UW', 'V', 'D']",9,long
modulates,real,2.33,low,"['M', 'AA1', 'JH', 'AH0', 'L', 'EY2', 'T', 'S']","['M', 'AA', 'JH', 'AH', 'L', 'EY', 'T', 'S']",8,long
reasonable,real,4.59,high,"['R', 'IY1', 'Z', 'AH0', 'N', 'AH0', 'B', 'AH0', 'L']","['R', 'IY', 'Z', 'AH', 'N', 'AH', 'B', 'AH', 'L']",9,long
somnolence,real,1.83,low,"['S', 'AA1', 'M', 'N', 'AH0', 'L', 'AH0', 'N', 'S']","['S', 'AA', 'M', 'N', 'AH', 'L', 'AH', 'N', 'S']",9,long
Taoism,real,2.49,low,"['D', 'AW1', 'IH0', 'Z', 'AH0', 'M']","['D', 'AW', 'IH', 'Z', 'AH', 'M']",6,short
Tanzanians,real,1.88,low,"['T', 'AE0', 'N', 'Z', 'EY1', 'N', 'IY0', 'AH0', 'N', 'Z']","['T', 'AE', 'N', 'Z', 'EY', 'N', 'IY', 'AH', 'N', 'Z']",10,long
overestimates,real,2.08,low,"['OW2', 'V', 'ER0', 'EH1', 'S', 'T', 'AH0', 'M', 'EY2', 'T', 'S']","['OW', 'V', 'ER', 'EH', 'S', 'T', 'AH', 'M', 'EY', 'T', 'S']",11,long
murderess,real,1.98,low,"['M', 'ER1', 'D', 'ER0', 'IH0', 'S']","['M', 'ER', 'D', 'ER', 'IH', 'S']",6,short
antedated,real,1.38,low,"['AE1', 'N', 'T', 'AH0', 'D', 'EY2', 'T', 'AH0', 'D']","['AE', 'N', 'T', 'AH', 'D', 'EY', 'T', 'AH', 'D']",9,long
volition,real,2.83,low,"['V', 'OW0', 'L', 'IH1', 'SH', 'AH0', 'N']","['V', 'OW', 'L', 'IH', 'SH', 'AH', 'N']",7,long
forehand,real,2.7,low,"['F', 'AO1', 'R', 'HH', 'AE2', 'N', 'D']","['F', 'AO', 'R', 'HH', 'AE', 'N', 'D']",7,long
sulfur,real,3.43,low,"['S', 'AH1', 'L', 'F', 'ER0']","['S', 'AH', 'L', 'F', 'ER']",5,short
salivates,real,1.27,low,"['S', 'AE1', 'L', 'AH0', 'V', 'EY2', 'T', 'S']","['S', 'AE', 'L', 'AH', 'V', 'EY', 'T', 'S']",8,long
softly,real,3.77,high,"['S', 'AO1', 'F', 'T', 'L', 'IY0']","['S', 'AO', 'F', 'T', 'L', 'IY']",6,short
convened,real,3.4,low,"['K', 'AH0', 'N', 'V', 'IY1', 'N', 'D']","['K', 'AH', 'N', 'V', 'IY', 'N', 'D']",7,long
frankfurter,real,2.65,low,"['F', 'R', 'AE1', 'NG', 'K', 'F', 'ER0', 'T', 'ER0']","['F', 'R', 'AE', 'NG', 'K', 'F', 'ER', 'T', 'ER']",9,long
acreage,real,3.05,low,"['EY1', 'K', 'ER0', 'IH0', 'JH']","['EY', 'K', 'ER', 'IH', 'JH']",5,short
snobbish,real,2.5,low,"['S', 'N', 'AA1', 'B', 'IH0', 'SH']","['S', 'N', 'AA', 'B', 'IH', 'SH']",6,short
pleadingly,real,1.52,low,"['P', 'L', 'EH1', 'D', 'IH0', 'NG', 'L', 'IY0']","['P', 'L', 'EH', 'D', 'IH', 'NG', 'L', 'IY']",8,long
vigilantes,real,2.87,low,"['V', 'IH2', 'JH', 'AH0', 'L', 'AE1', 'N', 'T', 'IY0', 'Z']","['V', 'IH', 'JH', 'AH', 'L', 'AE', 'N', 'T', 'IY', 'Z']",10,long
topical,real,3.45,low,"['T', 'AA1', 'P', 'AH0', 'K', 'AH0', 'L']","['T', 'AA', 'P', 'AH', 'K', 'AH', 'L']",7,long
midday,real,3.37,low,"['M', 'IH1', 'D', 'D', 'EY2']","['M', 'IH', 'D', 'D', 'EY']",5,short
toilsome,real,1.34,low,"['T', 'OY1', 'L', 'S', 'AH0', 'M']","['T', 'OY', 'L', 'S', 'AH', 'M']",6,short
unwillingness,real,3.11,low,"['AH0', 'N', 'W', 'IH1', 'L', 'IH0', 'NG', 'N', 'IH0', 'S']","['AH', 'N', 'W', 'IH', 'L', 'IH', 'NG', 'N', 'IH', 'S']",10,long
moisture,real,3.9,high,"['M', 'OY1', 'S', 'CH', 'ER0']","['M', 'OY', 'S', 'CH', 'ER']",5,short
entries,real,4.09,high,"['EH1', 'N', 'T', 'R', 'IY0', 'Z']","['EH', 'N', 'T', 'R', 'IY', 'Z']",6,short
subterranean,real,3.11,low,"['S', 'AH0', 'B', 'T', 'ER0', 'EY1', 'N', 'IY0', 'AH0', 'N']","['S', 'AH', 'B', 'T', 'ER', 'EY', 'N', 'IY', 'AH', 'N']",10,long
bouncers,real,2.77,low,"['B', 'AW1', 'N', 'S', 'ER0', 'Z']","['B', 'AW', 'N', 'S', 'ER', 'Z']",6,short
Russian,real,5.01,high,"['R', 'AH1', 'SH', 'AH0', 'N']","['R', 'AH', 'SH', 'AH', 'N']",5,short
inducting,real,1.98,low,"['IH0', 'N', 'D', 'AH1', 'K', 'T', 'IH0', 'NG']","['IH', 'N', 'D', 'AH', 'K', 'T', 'IH', 'NG']",8,long
bicyclist,real,2.38,low,"['B', 'AY1', 'S', 'IH2', 'K', 'L', 'IH0', 'S', 'T']","['B', 'AY', 'S', 'IH', 'K', 'L', 'IH', 'S', 'T']",9,long
thickest,real,2.62,low,"['TH', 'IH1', 'K', 'IH0', 'S', 'T']","['TH', 'IH', 'K', 'IH', 'S', 'T']",6,short
bucketfuls,real,1.18,low,"['B', 'AH1', 'K', 'IH0', 'F', 'T', 'AH0', 'K', 'S']","['B', 'AH', 'K', 'IH', 'F', 'T', 'AH', 'K', 'S']",9,long
unlovely,real,1.75,low,"['AH0', 'N', 'L', 'AA1', 'V', 'AH0', 'L', 'IY0']","['AH', 'N', 'L', 'AA', 'V', 'AH', 'L', 'IY']",8,long
beatitude,real,1.96,low,"['B', 'IY1', 'T', 'AH0', 'D', 'UW2', 'T']","['B', 'IY', 'T', 'AH', 'D', 'UW', 'T']",7,long
exemplifying,real,2.29,low,"['IH0', 'G', 'Z', 'EH1', 'M', 'P', 'L', 'AH0', 'F', 'AY2', 'IH0', 'NG']","['IH', 'G', 'Z', 'EH', 'M', 'P', 'L', 'AH', 'F', 'AY', 'IH', 'NG']",12,long
twitterers,real,1.58,low,"['T', 'W', 'IH1', 'T', 'ER0', 'ER0', 'Z']","['T', 'W', 'IH', 'T', 'ER', 'ER', 'Z']",7,long
notating,real,1.34,low,"['N', 'OW1', 'T', 'EY2', 'T', 'IH0', 'NG']","['N', 'OW', 'T', 'EY', 'T', 'IH', 'NG']",7,long
untraditional,real,1.88,low,"['AH2', 'N', 'T', 'R', 'AH0', 'D', 'IH1', 'SH', 'AH0', 'N', 'AH0', 'L']","['AH', 'N', 'T', 'R', 'AH', 'D', 'IH', 'SH', 'AH', 'N', 'AH', 'L']",12,long
inexorably,real,2.64,low,"['IH0', 'N', 'EH1', 'K', 'S', 'ER0', 'AH0', 'B', 'L', 'IY0']","['IH', 'N', 'EH', 'K', 'S', 'ER', 'AH', 'B', 'L', 'IY']",10,long
cumbersome,real,3.16,low,"['K', 'AH1', 'M', 'B', 'ER0', 'S', 'AH0', 'M']","['K', 'AH', 'M', 'B', 'ER', 'S', 'AH', 'M']",8,long
hazy,real,3.14,low,"['HH', 'EY1', 'Z', 'IY0']","['HH', 'EY', 'Z', 'IY']",4,short
lightened,real,2.63,low,"['L', 'AY1', 'T', 'AH0', 'N', 'D']","['L', 'AY', 'T', 'AH', 'N', 'D']",6,short
saddest,real,3.24,low,"['S', 'AE1', 'D', 'AH0', 'S', 'T']","['S', 'AE', 'D', 'AH', 'S', 'T']",6,short
unconditioned,real,2.0,low,"['AH2', 'N', 'K', 'AH0', 'N', 'D', 'IH1', 'SH', 'AH0', 'N', 'D']","['AH', 'N', 'K', 'AH', 'N', 'D', 'IH', 'SH', 'AH', 'N', 'D']",11,long
serenely,real,2.34,low,"['S', 'ER0', 'IY1', 'N', 'AH0', 'L', 'IY0']","['S', 'ER', 'IY', 'N', 'AH', 'L', 'IY']",7,long
poverty,real,4.46,high,"['P', 'AA1', 'V', 'ER0', 'T', 'IY0']","['P', 'AA', 'V', 'ER', 'T', 'IY']",6,short
elevenses,real,1.57,low,"['IH0', 'L', 'EH1', 'V', 'AH0', 'N', 'Z', 'IH0', 'Z']","['IH', 'L', 'EH', 'V', 'AH', 'N', 'Z', 'IH', 'Z']",9,long
interrogate,real,2.9,low,"['IH0', 'N', 'T', 'EH1', 'R', 'AH0', 'G', 'EY2', 'T']","['IH', 'N', 'T', 'EH', 'R', 'AH', 'G', 'EY', 'T']",9,long
Pacers,real,3.31,low,"['P', 'EY1', 'S', 'ER0', 'Z']","['P', 'EY', 'S', 'ER', 'Z']",5,short
monosyllables,real,1.59,low,"['M', 'AH0', 'N', 'AA1', 'S', 'AH0', 'L', 'AH0', 'B', 'AH0', 'L', 'Z']","['M', 'AH', 'N', 'AA', 'S', 'AH', 'L', 'AH', 'B', 'AH', 'L', 'Z']",12,long
interjecting,real,1.89,low,"['IH1', 'N', 'T', 'ER0', 'JH', 'EH2', 'K', 'T', 'IH0', 'NG']","['IH', 'N', 'T', 'ER', 'JH', 'EH', 'K', 'T', 'IH', 'NG']",10,long
deterrent,real,3.33,low,"['D', 'IH0', 'T', 'ER1', 'R', 'AH0', 'N', 'T']","['D', 'IH', 'T', 'ER', 'R', 'AH', 'N', 'T']",8,long
perpetration,real,1.97,low,"['P', 'ER2', 'P', 'AH0', 'T', 'R', 'EY1', 'SH', 'AH0', 'N']","['P', 'ER', 'P', 'AH', 'T', 'R', 'EY', 'SH', 'AH', 'N']",10,long
dubious,real,3.49,low,"['D', 'UW1', 'B', 'IY0', 'AH0', 'S']","['D', 'UW', 'B', 'IY', 'AH', 'S']",6,short
fraternal,real,3.07,low,"['F', 'R', 'AH0', 'T', 'ER1', 'N', 'AH0', 'L']","['F', 'R', 'AH', 'T', 'ER', 'N', 'AH', 'L']",8,long
ignite,real,3.35,low,"['IH0', 'G', 'N', 'AY1', 'T']","['IH', 'G', 'N', 'AY', 'T']",5,short
objective,real,4.36,high,"['AH0', 'B', 'JH', 'EH1', 'K', 'T', 'IH0', 'V']","['AH', 'B', 'JH', 'EH', 'K', 'T', 'IH', 'V']",8,long
disorientated,real,2.09,low,"['D', 'IH2', 'S', 'ER0', 'EY1', 'SH', 'AH0', 'N', 'T', 'IH0', 'D']","['D', 'IH', 'S', 'ER', 'EY', 'SH', 'AH', 'N', 'T', 'IH', 'D']",11,long
patriots,real,3.96,high,"['P', 'EY1', 'T', 'R', 'IY0', 'AH0', 'T', 'S']","['P', 'EY', 'T', 'R', 'IY', 'AH', 'T', 'S']",8,long
refection,real,1.38,low,"['R', 'IY0', 'F', 'EH1', 'K', 'SH', 'AH0', 'N']","['R', 'IY', 'F', 'EH', 'K', 'SH', 'AH', 'N']",8,long
INCLOSED,real,1.61,low,"['IH0', 'N', 'K', 'L', 'OW1', 'S', 'T']","['IH', 'N', 'K', 'L', 'OW', 'S', 'T']",7,long
thrillers,real,2.97,low,"['TH', 'R', 'IH1', 'L', 'ER0', 'Z']","['TH', 'R', 'IH', 'L', 'ER', 'Z']",6,short
puckish,real,1.5,low,"['P', 'AH1', 'K', 'IH0', 'SH']","['P', 'AH', 'K', 'IH', 'SH']",5,short
smoothest,real,2.65,low,"['S', 'M', 'UW1', 'DH', 'AH0', 'S', 'T']","['S', 'M', 'UW', 'DH', 'AH', 'S', 'T']",7,long
undertaking,real,3.72,high,"['AH1', 'N', 'D', 'ER0', 'T', 'EY2', 'K', 'IH0', 'NG']","['AH', 'N', 'D', 'ER', 'T', 'EY', 'K', 'IH', 'NG']",9,long
personas,real,2.8,low,"['P', 'ER0', 'S', 'OW1', 'N', 'AH0', 'Z']","['P', 'ER', 'S', 'OW', 'N', 'AH', 'Z']",7,long
arresters,real,1.41,low,"['EH1', 'R', 'AH0', 'S', 'T', 'ER0', 'Z']","['EH', 'R', 'AH', 'S', 'T', 'ER', 'Z']",7,long
abolition,real,3.51,high,"['AE2', 'B', 'AH0', 'L', 'IH1', 'SH', 'AH0', 'N']","['AE', 'B', 'AH', 'L', 'IH', 'SH', 'AH', 'N']",8,long
discomforts,real,2.16,low,"['D', 'IH1', 'S', 'K', 'AH0', 'M', 'F', 'AO2', 'R', 'T', 'S']","['D', 'IH', 'S', 'K', 'AH', 'M', 'F', 'AO', 'R', 'T', 'S']",11,long
aerobic,real,3.19,low,"['EH0', 'R', 'OW1', 'B', 'IH0', 'K']","['EH', 'R', 'OW', 'B', 'IH', 'K']",6,short
pretest,real,2.01,low,"['P', 'R', 'IY1', 'T', 'EH2', 'S', 'T']","['P', 'R', 'IY', 'T', 'EH', 'S', 'T']",7,long
formative,real,3.27,low,"['F', 'AO1', 'R', 'M', 'AH0', 'T', 'IH0', 'V']","['F', 'AO', 'R', 'M', 'AH', 'T', 'IH', 'V']",8,long
institutions,real,4.58,high,"['IH2', 'N', 'S', 'T', 'IH0', 'T', 'UW1', 'SH', 'AH0', 'N', 'Z']","['IH', 'N', 'S', 'T', 'IH', 'T', 'UW', 'SH', 'AH', 'N', 'Z']",11,long
corrupted,real,3.49,low,"['K', 'ER0', 'AH1', 'P', 'T', 'IH0', 'D']","['K', 'ER', 'AH', 'P', 'T', 'IH', 'D']",7,long
happily,real,4.11,high,"['HH', 'AE1', 'P', 'AH0', 'L', 'IY0']","['HH', 'AE', 'P', 'AH', 'L', 'IY']",6,short
brigadiers,real,1.78,low,"['B', 'R', 'IH0', 'G', 'EY1', 'D', 'ER0', 'Z']","['B', 'R', 'IH', 'G', 'EY', 'D', 'ER', 'Z']",8,long
overcompensate,real,2.19,low,"['OW2', 'V', 'ER0', 'K', 'AH0', 'M', 'P', 'EH1', 'N', 'CH', 'EY2', 'T', 'S']","['OW', 'V', 'ER', 'K', 'AH', 'M', 'P', 'EH', 'N', 'CH', 'EY', 'T', 'S']",13,long
outcasts,real,2.83,low,"['AW1', 'T', 'K', 'AE2', 'S', 'T', 'S']","['AW', 'T', 'K', 'AE', 'S', 'T', 'S']",7,long
coincident,real,2.53,low,"['K', 'OW0', 'IH1', 'N', 'S', 'AH0', 'D', 'AH0', 'N', 'T']","['K', 'OW', 'IH', 'N', 'S', 'AH', 'D', 'AH', 'N', 'T']",10,long
unbutton,real,2.15,low,"['AH0', 'N', 'B', 'AH1', 'T', 'AH0', 'N']","['AH', 'N', 'B', 'AH', 'T', 'AH', 'N']",7,long
Englander,real,2.38,low,"['IH1', 'NG', 'G', 'L', 'AH0', 'N', 'D', 'ER0']","['IH', 'NG', 'G', 'L', 'AH', 'N', 'D', 'ER']",8,long
conflagrations,real,1.64,low,"['K', 'AA2', 'N', 'F', 'L', 'AH0', 'G', 'R', 'EY1', 'SH', 'AH0', 'N', 'Z']","['K', 'AA', 'N', 'F', 'L', 'AH', 'G', 'R', 'EY', 'SH', 'AH', 'N', 'Z']",13,long
revives,real,2.8,low,"['R', 'IY0', 'V', 'AY1', 'V', 'Z']","['R', 'IY', 'V', 'AY', 'V', 'Z']",6,short
threefold,real,2.69,low,"['TH', 'R', 'IY1', 'F', 'OW2', 'L', 'D']","['TH', 'R', 'IY', 'F', 'OW', 'L', 'D']",7,long
irrevocable,real,2.76,low,"['IH0', 'R', 'EH1', 'V', 'AH0', 'K', 'AH0', 'B', 'AH0', 'L']","['IH', 'R', 'EH', 'V', 'AH', 'K', 'AH', 'B', 'AH', 'L']",10,long
titanic,real,3.59,high,"['T', 'AY0', 'T', 'AE1', 'N', 'IH0', 'K']","['T', 'AY', 'T', 'AE', 'N', 'IH', 'K']",7,long
resistive,real,2.61,low,"['R', 'IH0', 'Z', 'IH1', 'S', 'T', 'IH0', 'V']","['R', 'IH', 'Z', 'IH', 'S', 'T', 'IH', 'V']",8,long
temporal,real,3.63,high,"['T', 'EH1', 'M', 'P', 'ER0', 'AH0', 'L']","['T', 'EH', 'M', 'P', 'ER', 'AH', 'L']",7,long
rediscovering,real,2.64,low,"['R', 'IY0', 'D', 'IH0', 'S', 'K', 'AH1', 'V', 'ER0', 'IH0', 'NG']","['R', 'IY', 'D', 'IH', 'S', 'K', 'AH', 'V', 'ER', 'IH', 'NG']",11,long
threesomes,real,2.54,low,"['TH', 'R', 'IY1', 'S', 'AH0', 'M', 'Z']","['TH', 'R', 'IY', 'S', 'AH', 'M', 'Z']",7,long
psychoses,real,1.88,low,"['S', 'AY1', 'K', 'OW2', 'S', 'AH0', 'Z']","['S', 'AY', 'K', 'OW', 'S', 'AH', 'Z']",7,long
valuer,real,2.13,low,"['V', 'AE1', 'L', 'Y', 'ER0']","['V', 'AE', 'L', 'Y', 'ER']",5,short
confusion,real,4.19,high,"['K', 'AH0', 'N', 'F', 'Y', 'UW1', 'ZH', 'AH0', 'N']","['K', 'AH', 'N', 'F', 'Y', 'UW', 'ZH', 'AH', 'N']",9,long
arabesques,real,1.88,low,"['ER0', 'EY1', 'B', 'AH2', 'K', 'S', 'IH0', 'Z']","['ER', 'EY', 'B', 'AH', 'K', 'S', 'IH', 'Z']",8,long
chasten,real,1.72,low,"['CH', 'EY1', 'S', 'AH0', 'N']","['CH', 'EY', 'S', 'AH', 'N']",5,short
mommas,real,2.04,low,"['M', 'AA1', 'M', 'AH0', 'Z']","['M', 'AA', 'M', 'AH', 'Z']",5,short
frailer,real,1.41,low,"['F', 'R', 'EY1', 'L', 'ER0']","['F', 'R', 'EY', 'L', 'ER']",5,short
unfinished,real,3.72,high,"['AH0', 'N', 'F', 'IH1', 'N', 'IH0', 'SH', 'T']","['AH', 'N', 'F', 'IH', 'N', 'IH', 'SH', 'T']",8,long
appending,real,2.12,low,"['AH0', 'P', 'EH1', 'N', 'D', 'IH0', 'NG']","['AH', 'P', 'EH', 'N', 'D', 'IH', 'NG']",7,long
connective,real,3.01,low,"['K', 'AH0', 'N', 'EH1', 'K', 'T', 'IH0', 'V']","['K', 'AH', 'N', 'EH', 'K', 'T', 'IH', 'V']",8,long
astutely,real,2.13,low,"['AH0', 'S', 'T', 'UW1', 'T', 'L', 'IY0']","['AH', 'S', 'T', 'UW', 'T', 'L', 'IY']",7,long
widen,real,3.25,low,"['W', 'AY1', 'D', 'AH0', 'N']","['W', 'AY', 'D', 'AH', 'N']",5,short
scribblers,real,1.59,low,"['S', 'K', 'R', 'IH1', 'B', 'L', 'ER0', 'Z']","['S', 'K', 'R', 'IH', 'B', 'L', 'ER', 'Z']",8,long
