Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Condition,Morphology,No Stress
assault,real,4.44,high,"['AH0', 'S', 'AO1', 'L', 'T']",5,short,RSSH,simple,"['AH', 'S', 'AO', 'L', 'T']"
soldier,real,4.46,high,"['S', 'OW1', 'L', 'JH', 'ER0']",5,short,RSSH,simple,"['S', 'OW', 'L', 'JH', 'ER']"
thames,real,3.73,high,"['T', 'EH1', 'M', 'Z']",4,short,RSSH,simple,"['T', 'EH', 'M', 'Z']"
omega,real,3.78,high,"['OW0', 'M', 'EH1', 'G', 'AH0']",5,short,RSSH,simple,"['OW', 'M', 'EH', 'G', 'AH']"
caught,real,4.9,high,"['K', 'AA1', 'T']",3,short,RSSH,simple,"['K', 'AA', 'T']"
cox,real,3.94,high,"['K', 'AA1', 'K', 'S']",4,short,RSSH,simple,"['K', 'AA', 'K', 'S']"
prove,real,4.77,high,"['P', 'R', 'UW1', 'V']",4,short,RSSH,simple,"['P', 'R', 'UW', 'V']"
cant,real,4.35,high,"['K', 'AE1', 'N', 'T']",4,short,RSSH,simple,"['K', 'AE', 'N', 'T']"
reel,real,3.68,high,"['R', 'IY1', 'L']",3,short,RSSH,simple,"['R', 'IY', 'L']"
tight,real,4.57,high,"['T', 'AY1', 'T']",3,short,RSSH,simple,"['T', 'AY', 'T']"
philly,real,3.63,high,"['F', 'IH1', 'L', 'IY0']",4,short,RSSH,simple,"['F', 'IH', 'L', 'IY']"
oyster,real,3.54,high,"['OY1', 'S', 'T', 'ER0']",4,short,RSSH,simple,"['OY', 'S', 'T', 'ER']"
abuse,real,4.66,high,"['AH0', 'B', 'Y', 'UW1', 'S']",5,short,RSSH,simple,"['AH', 'B', 'Y', 'UW', 'S']"
tone,real,4.49,high,"['T', 'OW1', 'N']",3,short,RSSH,simple,"['T', 'OW', 'N']"
weir,real,3.52,high,"['W', 'IY1', 'R']",3,short,RSSH,simple,"['W', 'IY', 'R']"
nut,real,4.04,high,"['N', 'AH1', 'T']",3,short,RSSH,simple,"['N', 'AH', 'T']"
holy,real,4.88,high,"['HH', 'OW1', 'L', 'IY0']",4,short,RSSH,simple,"['HH', 'OW', 'L', 'IY']"
intense,real,4.39,high,"['IH0', 'N', 'T', 'EH1', 'N', 'S']",6,short,RSSH,simple,"['IH', 'N', 'T', 'EH', 'N', 'S']"
joyce,real,3.86,high,"['JH', 'OY1', 'S']",3,short,RSSH,simple,"['JH', 'OY', 'S']"
kindle,real,3.81,high,"['K', 'IH1', 'N', 'D', 'AH0', 'L']",6,short,RSSH,simple,"['K', 'IH', 'N', 'D', 'AH', 'L']"
lap,real,4.18,high,"['L', 'AE1', 'P']",3,short,RSSH,simple,"['L', 'AE', 'P']"
combat,real,4.56,high,"['K', 'AA1', 'M', 'B', 'AE0', 'T']",6,short,RSSH,simple,"['K', 'AA', 'M', 'B', 'AE', 'T']"
urine,real,3.84,high,"['Y', 'ER1', 'AH0', 'N']",4,short,RSSH,simple,"['Y', 'ER', 'AH', 'N']"
valve,real,4.13,high,"['V', 'AE1', 'L', 'V']",4,short,RSSH,simple,"['V', 'AE', 'L', 'V']"
announce,real,4.26,high,"['AH0', 'N', 'AW1', 'N', 'S']",5,short,RSSH,simple,"['AH', 'N', 'AW', 'N', 'S']"
