Word,Lexicality,Zipf Frequency,Frequency,Phonemes,No Stress,Length,Size
mitt,real,3.33,low,"['M', 'IH1', 'T']","['M', 'IH', 'T']",3,short
mix,real,4.71,high,"['M', 'IH1', 'K', 'S']","['M', 'IH', 'K', 'S']",4,short
medlar,real,1.58,low,"['M', 'EH1', 'D', 'L', 'ER0']","['M', 'EH', 'D', 'L', 'ER']",5,short
medley,real,3.28,low,"['M', 'EH1', 'D', 'L', 'IY0']","['M', 'EH', 'D', 'L', 'IY']",5,short
meed,real,1.93,low,"['M', 'IY1', 'D']","['M', 'IY', 'D']",3,short
melamine,real,2.4,low,"['M', 'EH1', 'L', 'AH0', 'M', 'IY2', 'N']","['M', 'EH', 'L', 'AH', 'M', 'IY', 'N']",7,long
melange,real,2.28,low,"['M', 'EH1', 'L', 'AE0', 'NG']","['M', 'EH', 'L', 'AE', 'NG']",5,short
melcher,real,2.2,low,"['M', 'EH1', 'L', 'CH', 'ER0']","['M', 'EH', 'L', 'CH', 'ER']",5,short
meld,real,2.72,low,"['M', 'EH1', 'L', 'D']","['M', 'EH', 'L', 'D']",4,short
melee,real,3.22,low,"['M', 'EY1', 'L', 'EY2']","['M', 'EY', 'L', 'EY']",4,short
meliorate,real,1.1,low,"['M', 'EH0', 'L', 'IY0', 'AO1', 'R', 'AH0', 'T']","['M', 'EH', 'L', 'IY', 'AO', 'R', 'AH', 'T']",8,long
mellow,real,3.32,low,"['M', 'EH1', 'L', 'OW0']","['M', 'EH', 'L', 'OW']",4,short
melon,real,3.32,low,"['M', 'EH1', 'L', 'AH0', 'N']","['M', 'EH', 'L', 'AH', 'N']",5,short
melt,real,3.96,high,"['M', 'EH1', 'L', 'T']","['M', 'EH', 'L', 'T']",4,short
melville,real,3.22,low,"['M', 'EH1', 'L', 'V', 'IH0', 'L']","['M', 'EH', 'L', 'V', 'IH', 'L']",6,short
melvin,real,3.34,low,"['M', 'EH1', 'L', 'V', 'IH0', 'N']","['M', 'EH', 'L', 'V', 'IH', 'N']",6,short
membrane,real,3.82,high,"['M', 'EH1', 'M', 'B', 'R', 'EY2', 'N']","['M', 'EH', 'M', 'B', 'R', 'EY', 'N']",7,long
memorandum,real,3.47,low,"['M', 'EH2', 'M', 'ER0', 'AE1', 'N', 'D', 'AH0', 'M']","['M', 'EH', 'M', 'ER', 'AE', 'N', 'D', 'AH', 'M']",9,long
menace,real,3.54,high,"['M', 'EH1', 'N', 'AH0', 'S']","['M', 'EH', 'N', 'AH', 'S']",5,short
menage,real,2.28,low,"['M', 'EH1', 'N', 'AH0', 'JH']","['M', 'EH', 'N', 'AH', 'JH']",5,short
menagerie,real,2.85,low,"['M', 'AH0', 'N', 'AE1', 'JH', 'ER0', 'IY0']","['M', 'AH', 'N', 'AE', 'JH', 'ER', 'IY']",7,long
mendelssohn,real,2.72,low,"['M', 'EH1', 'N', 'D', 'AH0', 'L', 'S', 'AH0', 'N']","['M', 'EH', 'N', 'D', 'AH', 'L', 'S', 'AH', 'N']",9,long
mendicant,real,2.18,low,"['M', 'EH1', 'N', 'D', 'AH0', 'K', 'AH0', 'N', 'T']","['M', 'EH', 'N', 'D', 'AH', 'K', 'AH', 'N', 'T']",9,long
mendoza,real,3.24,low,"['M', 'EH0', 'N', 'D', 'OW1', 'Z', 'AH0']","['M', 'EH', 'N', 'D', 'OW', 'Z', 'AH']",7,long
mend,real,3.33,low,"['M', 'EH1', 'N', 'D']","['M', 'EH', 'N', 'D']",4,short
menial,real,2.84,low,"['M', 'IY1', 'N', 'IY0', 'AH0', 'L']","['M', 'IY', 'N', 'IY', 'AH', 'L']",6,short
meniscus,real,2.77,low,"['M', 'EH1', 'N', 'IH0', 'K', 'S', 'AH0', 'S']","['M', 'EH', 'N', 'IH', 'K', 'S', 'AH', 'S']",8,long
menlo,real,2.8,low,"['M', 'EH1', 'N', 'L', 'OW0']","['M', 'EH', 'N', 'L', 'OW']",5,short
mentor,real,3.93,high,"['M', 'EH1', 'N', 'T', 'AO2', 'R']","['M', 'EH', 'N', 'T', 'AO', 'R']",6,short
merc,real,2.81,low,"['M', 'ER1', 'K']","['M', 'ER', 'K']",3,short
mercator,real,2.38,low,"['M', 'ER0', 'K', 'EY1', 'T', 'ER0']","['M', 'ER', 'K', 'EY', 'T', 'ER']",6,short
mercer,real,3.47,low,"['M', 'ER1', 'S', 'ER0']","['M', 'ER', 'S', 'ER']",4,short
merchandise,real,3.93,high,"['M', 'ER1', 'CH', 'AH0', 'N', 'D', 'AY2', 'Z']","['M', 'ER', 'CH', 'AH', 'N', 'D', 'AY', 'Z']",8,long
mercier,real,2.69,low,"['M', 'ER1', 'S', 'IY0', 'ER0']","['M', 'ER', 'S', 'IY', 'ER']",5,short
mercy,real,4.25,high,"['M', 'ER1', 'S', 'IY0']","['M', 'ER', 'S', 'IY']",4,short
meridian,real,3.38,low,"['M', 'ER0', 'IH1', 'D', 'IY0', 'AH0', 'N']","['M', 'ER', 'IH', 'D', 'IY', 'AH', 'N']",7,long
meringue,real,2.79,low,"['M', 'ER0', 'IY1', 'NG', 'G']","['M', 'ER', 'IY', 'NG', 'G']",5,short
meridional,real,1.93,low,"['M', 'ER0', 'IH1', 'D', 'IY0', 'AH0', 'N', 'AH0', 'L']","['M', 'ER', 'IH', 'D', 'IY', 'AH', 'N', 'AH', 'L']",9,long
merit,real,4.08,high,"['M', 'EH1', 'R', 'AH0', 'T']","['M', 'EH', 'R', 'AH', 'T']",5,short
merle,real,3.04,low,"['M', 'ER1', 'L']","['M', 'ER', 'L']",3,short
mermaid,real,3.47,low,"['M', 'ER1', 'M', 'EY2', 'D']","['M', 'ER', 'M', 'EY', 'D']",5,short
merrick,real,3.11,low,"['M', 'EH1', 'R', 'IH0', 'K']","['M', 'EH', 'R', 'IH', 'K']",5,short
merrill,real,3.51,high,"['M', 'EH1', 'R', 'AH0', 'L']","['M', 'EH', 'R', 'AH', 'L']",5,short
merrimack,real,2.5,low,"['M', 'EH1', 'R', 'IH0', 'M', 'AE2', 'K']","['M', 'EH', 'R', 'IH', 'M', 'AE', 'K']",7,long
merritt,real,3.14,low,"['M', 'EH1', 'R', 'IH0', 'T']","['M', 'EH', 'R', 'IH', 'T']",5,short
merton,real,3.02,low,"['M', 'ER1', 'T', 'AH0', 'N']","['M', 'ER', 'T', 'AH', 'N']",5,short
mervin,real,2.11,low,"['M', 'ER1', 'V', 'IH0', 'N']","['M', 'ER', 'V', 'IH', 'N']",5,short
mesa,real,3.5,low,"['M', 'EY1', 'S', 'AH0']","['M', 'EY', 'S', 'AH']",4,short
mescaline,real,2.33,low,"['M', 'EH1', 'S', 'K', 'AH0', 'L', 'IY2', 'N']","['M', 'EH', 'S', 'K', 'AH', 'L', 'IY', 'N']",8,long
mescal,real,1.92,low,"['M', 'EH1', 'S', 'K', 'AH0', 'L']","['M', 'EH', 'S', 'K', 'AH', 'L']",6,short
mesh,real,3.75,high,"['M', 'EH1', 'SH']","['M', 'EH', 'SH']",3,short
meson,real,2.14,low,"['M', 'EY1', 'Z', 'AA2', 'N']","['M', 'EY', 'Z', 'AA', 'N']",5,short
messiah,real,3.55,high,"['M', 'AH0', 'S', 'AY1', 'AH0']","['M', 'AH', 'S', 'AY', 'AH']",5,short
messieurs,real,2.1,low,"['M', 'EY0', 'S', 'Y', 'ER1', 'Z']","['M', 'EY', 'S', 'Y', 'ER', 'Z']",6,short
messina,real,2.83,low,"['M', 'IH0', 'S', 'IY1', 'N', 'AH0']","['M', 'IH', 'S', 'IY', 'N', 'AH']",6,short
messrs,real,2.88,low,"['M', 'EH1', 'S', 'ER0', 'Z']","['M', 'EH', 'S', 'ER', 'Z']",5,short
metal,real,4.82,high,"['M', 'EH1', 'T', 'AH0', 'L']","['M', 'EH', 'T', 'AH', 'L']",5,short
mete,real,2.41,low,"['M', 'IY1', 'T']","['M', 'IY', 'T']",3,short
methinks,real,2.84,low,"['M', 'EH1', 'TH', 'IH0', 'NG', 'K', 'S']","['M', 'EH', 'TH', 'IH', 'NG', 'K', 'S']",7,long
meths,real,1.43,low,"['M', 'EH1', 'TH', 'S']","['M', 'EH', 'TH', 'S']",4,short
methuselah,real,2.21,low,"['M', 'AH0', 'TH', 'Y', 'UW1', 'Z', 'AH0', 'L', 'AH0']","['M', 'AH', 'TH', 'Y', 'UW', 'Z', 'AH', 'L', 'AH']",9,long
metier,real,1.64,low,"['M', 'EH1', 'T', 'Y', 'ER0']","['M', 'EH', 'T', 'Y', 'ER']",5,short
metre,real,3.76,high,"['M', 'EH1', 'T', 'R', 'EY2']","['M', 'EH', 'T', 'R', 'EY']",5,short
metronome,real,2.62,low,"['M', 'EH1', 'T', 'R', 'AH0', 'N', 'OW2', 'M']","['M', 'EH', 'T', 'R', 'AH', 'N', 'OW', 'M']",8,long
metro,real,4.18,high,"['M', 'EH1', 'T', 'R', 'OW2']","['M', 'EH', 'T', 'R', 'OW']",5,short
mew,real,3.0,low,"['M', 'Y', 'UW1']","['M', 'Y', 'UW']",3,short
meyer,real,3.69,high,"['M', 'AY1', 'ER0']","['M', 'AY', 'ER']",3,short
meyers,real,3.28,low,"['M', 'AY1', 'ER0', 'Z']","['M', 'AY', 'ER', 'Z']",4,short
mezzanine,real,2.81,low,"['M', 'EH1', 'Z', 'AH0', 'N', 'IY2', 'N']","['M', 'EH', 'Z', 'AH', 'N', 'IY', 'N']",7,long
mezzo,real,2.6,low,"['M', 'EH1', 'Z', 'OW0']","['M', 'EH', 'Z', 'OW']",4,short
mi,real,4.3,high,"['M', 'IY1']","['M', 'IY']",2,short
miaow,real,1.83,low,"['M', 'AY1', 'AW2']","['M', 'AY', 'AW']",3,short
miasma,real,2.27,low,"['M', 'IY0', 'AE1', 'Z', 'M', 'AH0']","['M', 'IY', 'AE', 'Z', 'M', 'AH']",6,short
micawber,real,1.78,low,"['M', 'AY1', 'K', 'AO2', 'R', 'B']","['M', 'AY', 'K', 'AO', 'R', 'B']",6,short
michaelson,real,2.21,low,"['M', 'AY1', 'K', 'AH0', 'L', 'S', 'AH0', 'N']","['M', 'AY', 'K', 'AH', 'L', 'S', 'AH', 'N']",8,long
michelson,real,2.39,low,"['M', 'AY1', 'K', 'AH0', 'L', 'S', 'AH0', 'N']","['M', 'AY', 'K', 'AH', 'L', 'S', 'AH', 'N']",8,long
mick,real,3.83,high,"['M', 'IH1', 'K']","['M', 'IH', 'K']",3,short
microbe,real,2.63,low,"['M', 'AY1', 'K', 'R', 'OW2', 'B']","['M', 'AY', 'K', 'R', 'OW', 'B']",6,short
mid,real,4.82,high,"['M', 'IH1', 'D']","['M', 'IH', 'D']",3,short
midden,real,2.23,low,"['M', 'IH1', 'D', 'AH0', 'N']","['M', 'IH', 'D', 'AH', 'N']",5,short
middle,real,5.18,high,"['M', 'IH1', 'D', 'AH0', 'L']","['M', 'IH', 'D', 'AH', 'L']",5,short
midge,real,2.76,low,"['M', 'IH1', 'JH']","['M', 'IH', 'JH']",3,short
midget,real,3.27,low,"['M', 'IH1', 'JH', 'AH0', 'T']","['M', 'IH', 'JH', 'AH', 'T']",5,short
midi,real,3.38,low,"['M', 'IY1', 'D', 'IY0']","['M', 'IY', 'D', 'IY']",4,short
midland,real,3.42,low,"['M', 'IH1', 'D', 'L', 'AE2', 'N', 'D']","['M', 'IH', 'D', 'L', 'AE', 'N', 'D']",7,long
mien,real,2.31,low,"['M', 'IY1', 'N']","['M', 'IY', 'N']",3,short
mig,real,3.11,low,"['M', 'IH1', 'G']","['M', 'IH', 'G']",3,short
might,real,5.66,high,"['M', 'AY1', 'T']","['M', 'AY', 'T']",3,short
mignon,real,2.66,low,"['M', 'IH1', 'G', 'N', 'AH0', 'N']","['M', 'IH', 'G', 'N', 'AH', 'N']",6,short
migraine,real,3.33,low,"['M', 'AY1', 'G', 'R', 'EY2', 'N']","['M', 'AY', 'G', 'R', 'EY', 'N']",6,short
mikado,real,2.49,low,"['M', 'IH0', 'K', 'AA1', 'D', 'OW0']","['M', 'IH', 'K', 'AA', 'D', 'OW']",6,short
mike,real,4.8,high,"['M', 'AY1', 'K']","['M', 'AY', 'K']",3,short
mikhail,real,3.38,low,"['M', 'IH0', 'K', 'EY1', 'L']","['M', 'IH', 'K', 'EY', 'L']",5,short
mark,real,5.05,high,"['M', 'AA1', 'R', 'K']","['M', 'AA', 'R', 'K']",4,short
marcello,real,2.91,low,"['M', 'AA2', 'R', 'S', 'EH1', 'L', 'OW0']","['M', 'AA', 'R', 'S', 'EH', 'L', 'OW']",7,long
marchioness,real,2.37,low,"['M', 'AA1', 'R', 'SH', 'AH0', 'N', 'IH0', 'S']","['M', 'AA', 'R', 'SH', 'AH', 'N', 'IH', 'S']",8,long
marcos,real,3.47,low,"['M', 'AA1', 'R', 'K', 'OW0', 'S']","['M', 'AA', 'R', 'K', 'OW', 'S']",6,short
margo,real,3.03,low,"['M', 'AA1', 'R', 'G', 'OW0']","['M', 'AA', 'R', 'G', 'OW']",5,short
marguerite,real,3.1,low,"['M', 'AA2', 'R', 'G', 'ER0', 'IY1', 'T']","['M', 'AA', 'R', 'G', 'ER', 'IY', 'T']",7,long
marietta,real,3.04,low,"['M', 'EH2', 'R', 'IY0', 'EH1', 'T', 'AH0']","['M', 'EH', 'R', 'IY', 'EH', 'T', 'AH']",7,long
marigold,real,2.75,low,"['M', 'EH1', 'R', 'AH0', 'G', 'OW2', 'L', 'D']","['M', 'EH', 'R', 'AH', 'G', 'OW', 'L', 'D']",8,long
marimba,real,2.29,low,"['M', 'ER0', 'IH1', 'M', 'B', 'AH0']","['M', 'ER', 'IH', 'M', 'B', 'AH']",6,short
marin,real,3.29,low,"['M', 'EH1', 'R', 'IH0', 'N']","['M', 'EH', 'R', 'IH', 'N']",5,short
marion,real,3.8,high,"['M', 'EH1', 'R', 'IY0', 'AH0', 'N']","['M', 'EH', 'R', 'IY', 'AH', 'N']",6,short
marjoram,real,2.13,low,"['M', 'AA1', 'JH', 'ER0', 'AH0', 'M']","['M', 'AA', 'JH', 'ER', 'AH', 'M']",6,short
marjorie,real,3.25,low,"['M', 'AA1', 'R', 'JH', 'ER0', 'IY0']","['M', 'AA', 'R', 'JH', 'ER', 'IY']",6,short
markel,real,2.21,low,"['M', 'AA1', 'R', 'K', 'AH0', 'L']","['M', 'AA', 'R', 'K', 'AH', 'L']",6,short
marlowe,real,3.03,low,"['M', 'AA1', 'R', 'L', 'OW2']","['M', 'AA', 'R', 'L', 'OW']",5,short
marmot,real,2.4,low,"['M', 'AA1', 'R', 'M', 'AH0', 'T']","['M', 'AA', 'R', 'M', 'AH', 'T']",6,short
maroon,real,3.35,low,"['M', 'ER0', 'UW1', 'N']","['M', 'ER', 'UW', 'N']",4,short
marque,real,2.59,low,"['M', 'AA1', 'R', 'K']","['M', 'AA', 'R', 'K']",4,short
marquess,real,2.82,low,"['M', 'AA1', 'R', 'K', 'W', 'AH0', 'S']","['M', 'AA', 'R', 'K', 'W', 'AH', 'S']",7,long
marquetry,real,2.05,low,"['M', 'AE1', 'R', 'K', 'AH0', 'T', 'R', 'IY0']","['M', 'AE', 'R', 'K', 'AH', 'T', 'R', 'IY']",8,long
marquette,real,3.08,low,"['M', 'AA0', 'R', 'K', 'EH1', 'T']","['M', 'AA', 'R', 'K', 'EH', 'T']",6,short
marquis,real,3.45,low,"['M', 'AA2', 'R', 'K', 'IY1']","['M', 'AA', 'R', 'K', 'IY']",5,short
marr,real,3.11,low,"['M', 'AA1', 'R']","['M', 'AA', 'R']",3,short
marrow,real,3.53,high,"['M', 'EH1', 'R', 'OW0']","['M', 'EH', 'R', 'OW']",4,short
marsden,real,3.01,low,"['M', 'AA1', 'R', 'S', 'D', 'AH0', 'N']","['M', 'AA', 'R', 'S', 'D', 'AH', 'N']",7,long
marseilles,real,2.89,low,"['M', 'AA0', 'R', 'S', 'AY1', 'L', 'AH0', 'S']","['M', 'AA', 'R', 'S', 'AY', 'L', 'AH', 'S']",8,long
marshall,real,4.24,high,"['M', 'AA1', 'R', 'SH', 'AH0', 'L']","['M', 'AA', 'R', 'SH', 'AH', 'L']",6,short
marsupial,real,2.41,low,"['M', 'AA0', 'R', 'S', 'UW1', 'P', 'IY0', 'AH0', 'L']","['M', 'AA', 'R', 'S', 'UW', 'P', 'IY', 'AH', 'L']",9,long
marten,real,2.66,low,"['M', 'AA1', 'R', 'T', 'AH0', 'N']","['M', 'AA', 'R', 'T', 'AH', 'N']",6,short
martens,real,2.79,low,"['M', 'AA1', 'R', 'T', 'AH0', 'N', 'Z']","['M', 'AA', 'R', 'T', 'AH', 'N', 'Z']",7,long
martinet,real,2.07,low,"['M', 'AA0', 'R', 'T', 'IY1', 'N', 'T', 'IY0']","['M', 'AA', 'R', 'T', 'IY', 'N', 'T', 'IY']",8,long
martinez,real,3.69,high,"['M', 'AA0', 'R', 'T', 'IY1', 'N', 'EH0', 'Z']","['M', 'AA', 'R', 'T', 'IY', 'N', 'EH', 'Z']",8,long
martingale,real,2.22,low,"['M', 'AA1', 'R', 'T', 'IH0', 'NG', 'EY2', 'L']","['M', 'AA', 'R', 'T', 'IH', 'NG', 'EY', 'L']",8,long
martinique,real,2.78,low,"['M', 'AA0', 'R', 'T', 'IH0', 'N', 'IY1', 'K']","['M', 'AA', 'R', 'T', 'IH', 'N', 'IY', 'K']",8,long
martin,real,4.74,high,"['M', 'AA1', 'R', 'T', 'AH0', 'N']","['M', 'AA', 'R', 'T', 'AH', 'N']",6,short
martyr,real,3.46,low,"['M', 'AA1', 'R', 'T', 'ER0']","['M', 'AA', 'R', 'T', 'ER']",5,short
marvel,real,4.16,high,"['M', 'AA1', 'R', 'V', 'AH0', 'L']","['M', 'AA', 'R', 'V', 'AH', 'L']",6,short
marzipan,real,2.46,low,"['M', 'AA1', 'R', 'Z', 'IH0', 'P', 'AH0', 'N']","['M', 'AA', 'R', 'Z', 'IH', 'P', 'AH', 'N']",8,long
mascot,real,3.62,high,"['M', 'AE1', 'S', 'K', 'AH0', 'T']","['M', 'AE', 'S', 'K', 'AH', 'T']",6,short
maser,real,2.12,low,"['M', 'EY1', 'Z', 'ER0']","['M', 'EY', 'Z', 'ER']",4,short
mash,real,3.55,high,"['M', 'AE1', 'SH']","['M', 'AE', 'SH']",3,short
mashie,real,1.3,low,"['M', 'AE1', 'SH', 'IY0']","['M', 'AE', 'SH', 'IY']",4,short
masque,real,2.62,low,"['M', 'AE1', 'S', 'K']","['M', 'AE', 'S', 'K']",4,short
masquerade,real,3.05,low,"['M', 'AE2', 'S', 'K', 'ER0', 'EY1', 'D']","['M', 'AE', 'S', 'K', 'ER', 'EY', 'D']",7,long
massacre,real,3.91,high,"['M', 'AE1', 'S', 'AH0', 'K', 'ER0']","['M', 'AE', 'S', 'AH', 'K', 'ER']",6,short
massage,real,4.01,high,"['M', 'AH0', 'S', 'AA1', 'ZH']","['M', 'AH', 'S', 'AA', 'ZH']",5,short
masseur,real,2.35,low,"['M', 'AE1', 'S', 'ER0']","['M', 'AE', 'S', 'ER']",4,short
masseuse,real,2.62,low,"['M', 'AH0', 'S', 'UW1', 'S']","['M', 'AH', 'S', 'UW', 'S']",5,short
massif,real,2.6,low,"['M', 'AE0', 'S', 'IY1', 'F']","['M', 'AE', 'S', 'IY', 'F']",5,short
mastic,real,2.21,low,"['M', 'AE1', 'S', 'T', 'IH0', 'K']","['M', 'AE', 'S', 'T', 'IH', 'K']",6,short
mastiff,real,2.58,low,"['M', 'AE1', 'S', 'T', 'AH0', 'F']","['M', 'AE', 'S', 'T', 'AH', 'F']",6,short
mastoid,real,1.9,low,"['M', 'AE1', 'S', 'T', 'OY0', 'D']","['M', 'AE', 'S', 'T', 'OY', 'D']",6,short
masturbate,real,3.18,low,"['M', 'AE1', 'S', 'T', 'ER0', 'B', 'EY2', 'T']","['M', 'AE', 'S', 'T', 'ER', 'B', 'EY', 'T']",8,long
matador,real,2.77,low,"['M', 'AE1', 'T', 'AH0', 'D', 'AO2', 'R']","['M', 'AE', 'T', 'AH', 'D', 'AO', 'R']",7,long
mater,real,3.47,low,"['M', 'AA1', 'T', 'ER0']","['M', 'AA', 'T', 'ER']",4,short
materiel,real,2.8,low,"['M', 'AH0', 'T', 'IH2', 'R', 'IY0', 'EH1', 'L']","['M', 'AH', 'T', 'IH', 'R', 'IY', 'EH', 'L']",8,long
matheson,real,2.98,low,"['M', 'AE1', 'TH', 'AH0', 'S', 'AH0', 'N']","['M', 'AE', 'TH', 'AH', 'S', 'AH', 'N']",7,long
mathewson,real,2.3,low,"['M', 'AE1', 'TH', 'Y', 'UW0', 'S', 'AH0', 'N']","['M', 'AE', 'TH', 'Y', 'UW', 'S', 'AH', 'N']",8,long
mathias,real,3.08,low,"['M', 'AH0', 'TH', 'AY1', 'AH0', 'S']","['M', 'AH', 'TH', 'AY', 'AH', 'S']",6,short
maths,real,3.75,high,"['M', 'AE1', 'TH', 'S']","['M', 'AE', 'TH', 'S']",4,short
matinee,real,2.82,low,"['M', 'AE1', 'T', 'IH0', 'N', 'EY2']","['M', 'AE', 'T', 'IH', 'N', 'EY']",6,short
matins,real,2.04,low,"['M', 'AE1', 'T', 'IH0', 'N', 'Z']","['M', 'AE', 'T', 'IH', 'N', 'Z']",6,short
matrices,real,3.18,low,"['M', 'EY1', 'T', 'R', 'IH0', 'S', 'IH0', 'Z']","['M', 'EY', 'T', 'R', 'IH', 'S', 'IH', 'Z']",8,long
mature,real,4.28,high,"['M', 'AH0', 'CH', 'UH1', 'R']","['M', 'AH', 'CH', 'UH', 'R']",5,short
matrix,real,4.07,high,"['M', 'EY1', 'T', 'R', 'IH0', 'K', 'S']","['M', 'EY', 'T', 'R', 'IH', 'K', 'S']",7,long
matron,real,3.01,low,"['M', 'EY1', 'T', 'R', 'AH0', 'N']","['M', 'EY', 'T', 'R', 'AH', 'N']",6,short
matson,real,2.51,low,"['M', 'AA1', 'T', 'S', 'AH0', 'N']","['M', 'AA', 'T', 'S', 'AH', 'N']",6,short
matter,real,5.38,high,"['M', 'AE1', 'T', 'ER0']","['M', 'AE', 'T', 'ER']",4,short
mattock,real,1.81,low,"['M', 'AE1', 'T', 'AH0', 'K']","['M', 'AE', 'T', 'AH', 'K']",5,short
maudlin,real,2.39,low,"['M', 'AO1', 'D', 'L', 'IH0', 'N']","['M', 'AO', 'D', 'L', 'IH', 'N']",6,short
maul,real,2.9,low,"['M', 'AO1', 'L']","['M', 'AO', 'L']",3,short
maunder,real,1.97,low,"['M', 'AO1', 'N', 'D', 'ER0']","['M', 'AO', 'N', 'D', 'ER']",5,short
mauritian,real,2.15,low,"['M', 'AO2', 'R', 'IH1', 'SH', 'IY0', 'AH0', 'N']","['M', 'AO', 'R', 'IH', 'SH', 'IY', 'AH', 'N']",8,long
mauritius,real,3.21,low,"['M', 'AO0', 'R', 'IH1', 'T', 'IY0', 'AH0', 'S']","['M', 'AO', 'R', 'IH', 'T', 'IY', 'AH', 'S']",8,long
mausoleum,real,2.94,low,"['M', 'AO2', 'S', 'AH0', 'L', 'IY1', 'AH0', 'M']","['M', 'AO', 'S', 'AH', 'L', 'IY', 'AH', 'M']",8,long
mauve,real,2.71,low,"['M', 'AO1', 'V']","['M', 'AO', 'V']",3,short
mavis,real,2.87,low,"['M', 'EY1', 'V', 'IH0', 'S']","['M', 'EY', 'V', 'IH', 'S']",5,short
maw,real,2.96,low,"['M', 'AO1']","['M', 'AO']",2,short
mawkish,real,1.93,low,"['M', 'AO1', 'K', 'IH0', 'SH']","['M', 'AO', 'K', 'IH', 'SH']",5,short
maxim,real,3.39,low,"['M', 'AE1', 'K', 'S', 'AH0', 'M']","['M', 'AE', 'K', 'S', 'AH', 'M']",6,short
mayer,real,3.59,high,"['M', 'EY1', 'ER0']","['M', 'EY', 'ER']",3,short
may,real,5.98,high,"['M', 'EY1']","['M', 'EY']",2,short
maynard,real,3.28,low,"['M', 'EY1', 'N', 'ER0', 'D']","['M', 'EY', 'N', 'ER', 'D']",5,short
mayor,real,4.62,high,"['M', 'EY1', 'ER0']","['M', 'EY', 'ER']",3,short
maze,real,3.65,high,"['M', 'EY1', 'Z']","['M', 'EY', 'Z']",3,short
mazurka,real,1.84,low,"['M', 'AH0', 'Z', 'ER1', 'K', 'AH0']","['M', 'AH', 'Z', 'ER', 'K', 'AH']",6,short
mccarthy,real,3.74,high,"['M', 'AH0', 'K', 'AA1', 'R', 'TH', 'IY0']","['M', 'AH', 'K', 'AA', 'R', 'TH', 'IY']",7,long
mccormack,real,3.02,low,"['M', 'AH0', 'K', 'AO1', 'R', 'M', 'AH0', 'K']","['M', 'AH', 'K', 'AO', 'R', 'M', 'AH', 'K']",8,long
mccormick,real,3.2,low,"['M', 'AH0', 'K', 'AO1', 'R', 'M', 'IH0', 'K']","['M', 'AH', 'K', 'AO', 'R', 'M', 'IH', 'K']",8,long
meads,real,2.32,low,"['M', 'IY1', 'D', 'Z']","['M', 'IY', 'D', 'Z']",4,short
meagre,real,2.86,low,"['M', 'IY1', 'G', 'R', 'EY2']","['M', 'IY', 'G', 'R', 'EY']",5,short
meander,real,2.69,low,"['M', 'IY0', 'AE1', 'N', 'D', 'ER0']","['M', 'IY', 'AE', 'N', 'D', 'ER']",6,short
means,real,5.44,high,"['M', 'IY1', 'N', 'Z']","['M', 'IY', 'N', 'Z']",4,short
mecca,real,3.38,low,"['M', 'EH1', 'K', 'AH0']","['M', 'EH', 'K', 'AH']",4,short
meddle,real,2.85,low,"['M', 'EH1', 'D', 'AH0', 'L']","['M', 'EH', 'D', 'AH', 'L']",5,short
medea,real,2.76,low,"['M', 'AH0', 'D', 'IY1', 'AH0']","['M', 'AH', 'D', 'IY', 'AH']",5,short
median,real,4.05,high,"['M', 'IY1', 'D', 'IY0', 'AH0', 'N']","['M', 'IY', 'D', 'IY', 'AH', 'N']",6,short
mediate,real,3.13,low,"['M', 'IY1', 'D', 'IY0', 'EY2', 'T']","['M', 'IY', 'D', 'IY', 'EY', 'T']",6,short
medici,real,3.0,low,"['M', 'EH0', 'D', 'IY1', 'S', 'IY0']","['M', 'EH', 'D', 'IY', 'S', 'IY']",6,short
medic,real,3.42,low,"['M', 'EH1', 'D', 'IH0', 'K']","['M', 'EH', 'D', 'IH', 'K']",5,short
meditate,real,3.26,low,"['M', 'EH1', 'D', 'AH0', 'T', 'EY2', 'T']","['M', 'EH', 'D', 'AH', 'T', 'EY', 'T']",7,long
macerate,real,1.51,low,"['M', 'AE1', 'K', 'ER0', 'EY2', 'T']","['M', 'AE', 'K', 'ER', 'EY', 'T']",6,short
mace,real,3.33,low,"['M', 'EY1', 'S']","['M', 'EY', 'S']",3,short
mach,real,3.25,low,"['M', 'AA1', 'K']","['M', 'AA', 'K']",3,short
machete,real,3.15,low,"['M', 'AH0', 'SH', 'EH1', 'T', 'IY2']","['M', 'AH', 'SH', 'EH', 'T', 'IY']",6,short
machine,real,4.9,high,"['M', 'AH0', 'SH', 'IY1', 'N']","['M', 'AH', 'SH', 'IY', 'N']",5,short
mackerel,real,3.08,low,"['M', 'AE1', 'K', 'ER0', 'AH0', 'L']","['M', 'AE', 'K', 'ER', 'AH', 'L']",6,short
mackey,real,2.94,low,"['M', 'AE1', 'K', 'IY0']","['M', 'AE', 'K', 'IY']",4,short
macmillan,real,3.56,high,"['M', 'AH0', 'K', 'M', 'IH1', 'L', 'AH0', 'N']","['M', 'AH', 'K', 'M', 'IH', 'L', 'AH', 'N']",8,long
macon,real,3.13,low,"['M', 'EY1', 'K', 'AH0', 'N']","['M', 'EY', 'K', 'AH', 'N']",5,short
mac,real,4.45,high,"['M', 'AE1', 'K']","['M', 'AE', 'K']",3,short
