Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Condition,Morphology,No Stress
smythe,real,2.78,low,"['S', 'M', 'AY1', 'DH']",4,short,RSSL,simple,"['S', 'M', 'AY', 'DH']"
hap,real,3.04,low,"['HH', 'AE1', 'P']",3,short,RSSL,simple,"['HH', 'AE', 'P']"
cordage,real,1.94,low,"['K', 'AO1', 'R', 'D', 'AH0', 'JH']",6,short,RSSL,simple,"['K', 'AO', 'R', 'D', 'AH', 'JH']"
spank,real,3.08,low,"['S', 'P', 'AE1', 'NG', 'K']",5,short,RSSL,simple,"['S', 'P', 'AE', 'NG', 'K']"
chide,real,2.18,low,"['CH', 'AY1', 'D']",3,short,RSSL,simple,"['CH', 'AY', 'D']"
macerate,real,1.51,low,"['M', 'AE1', 'K', 'ER0', 'EY2', 'T']",6,short,RSSL,simple,"['M', 'AE', 'K', 'ER', 'EY', 'T']"
drowse,real,1.34,low,"['D', 'R', 'AW1', 'S']",4,short,RSSL,simple,"['D', 'R', 'AW', 'S']"
sill,real,3.0,low,"['S', 'IH1', 'L']",3,short,RSSL,simple,"['S', 'IH', 'L']"
fledge,real,1.98,low,"['F', 'L', 'EH1', 'JH']",4,short,RSSL,simple,"['F', 'L', 'EH', 'JH']"
aghast,real,2.64,low,"['AH0', 'G', 'AE1', 'S', 'T']",5,short,RSSL,simple,"['AH', 'G', 'AE', 'S', 'T']"
phew,real,3.14,low,"['F', 'Y', 'UW1']",3,short,RSSL,simple,"['F', 'Y', 'UW']"
palliate,real,1.33,low,"['P', 'AE1', 'L', 'IY0', 'AH0', 'T']",6,short,RSSL,simple,"['P', 'AE', 'L', 'IY', 'AH', 'T']"
mecca,real,3.38,low,"['M', 'EH1', 'K', 'AH0']",4,short,RSSL,simple,"['M', 'EH', 'K', 'AH']"
flatus,real,1.47,low,"['F', 'L', 'AE1', 'T', 'AH0', 'S']",6,short,RSSL,simple,"['F', 'L', 'AE', 'T', 'AH', 'S']"
veld,real,2.28,low,"['V', 'EH1', 'L', 'D']",4,short,RSSL,simple,"['V', 'EH', 'L', 'D']"
currant,real,2.51,low,"['K', 'ER1', 'AH0', 'N', 'T']",5,short,RSSL,simple,"['K', 'ER', 'AH', 'N', 'T']"
snuff,real,3.15,low,"['S', 'N', 'AH1', 'F']",4,short,RSSL,simple,"['S', 'N', 'AH', 'F']"
flange,real,2.92,low,"['F', 'L', 'AE1', 'N', 'JH']",5,short,RSSL,simple,"['F', 'L', 'AE', 'N', 'JH']"
epistle,real,2.9,low,"['IH0', 'P', 'IH1', 'S', 'AH0', 'L']",6,short,RSSL,simple,"['IH', 'P', 'IH', 'S', 'AH', 'L']"
molest,real,2.73,low,"['M', 'AH0', 'L', 'EH1', 'S', 'T']",6,short,RSSL,simple,"['M', 'AH', 'L', 'EH', 'S', 'T']"
lisp,real,3.0,low,"['L', 'IH1', 'S', 'P']",4,short,RSSL,simple,"['L', 'IH', 'S', 'P']"
sob,real,3.27,low,"['S', 'AA1', 'B']",3,short,RSSL,simple,"['S', 'AA', 'B']"
troth,real,2.14,low,"['T', 'R', 'OW1', 'TH']",4,short,RSSL,simple,"['T', 'R', 'OW', 'TH']"
aegis,real,3.06,low,"['IY1', 'JH', 'AH0', 'S']",4,short,RSSL,simple,"['IY', 'JH', 'AH', 'S']"
arouse,real,2.9,low,"['ER0', 'AW1', 'Z']",3,short,RSSL,simple,"['ER', 'AW', 'Z']"
